Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (kPa absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
5718,14.40,7,1,26,0.94,896,0.00,3776,50.93,1.30,0.6170,4.61,4.0083,100.00,15.00,28,15.43,10.59,0.0000
5823,14.48,7,1,25,0.95,991,0.00,3648,53.55,1.29,0.6502,4.61,4.0550,100.00,15.00,28,16.16,9.41,0.0000
5926,14.32,7,1,25,0.96,1018,0.00,3776,53.31,1.30,0.6170,4.61,4.0563,100.00,15.00,28,16.82,9.41,0.0000
6031,14.48,7,1,25,0.97,1056,0.00,2176,53.47,1.28,0.6265,4.61,4.1218,100.00,15.00,28,17.51,9.41,0.0000
6134,14.48,7,1,25,0.98,1090,0.00,2112,53.15,1.29,0.6573,4.86,4.1178,100.00,15.00,28,18.07,9.80,0.0000
6239,14.56,7,1,25,0.98,1126,0.00,3840,52.59,1.27,0.6573,4.86,4.0925,100.00,15.00,28,18.59,9.80,0.0000
6342,14.48,7,1,25,0.98,1159,0.00,3712,51.56,1.27,0.6525,4.61,4.0930,100.00,15.00,28,18.80,9.80,0.0000
6446,14.48,7,1,25,0.98,1182,0.00,3712,50.61,1.26,0.6312,4.61,4.0245,100.00,15.00,28,18.99,9.80,0.0000
6551,14.48,7,1,25,0.97,1200,0.00,3712,49.89,1.24,0.6218,4.61,3.9963,100.00,15.00,28,19.04,9.80,0.0000
6654,14.48,7,1,25,0.97,1208,0.00,3712,49.34,1.24,0.6240,4.61,3.9160,100.00,15.00,28,18.79,9.80,0.0000
6759,14.40,7,1,25,0.95,1219,0.00,3776,48.73,1.22,0.6265,4.35,3.8065,100.00,15.00,28,18.76,9.80,0.0000
6862,14.40,7,1,25,0.94,1220,0.00,3648,47.75,1.21,0.6573,4.35,3.7303,100.00,15.00,28,18.40,9.80,0.0000
6966,14.32,7,1,25,0.93,1225,0.00,3712,47.27,1.20,0.6312,4.35,3.6545,100.00,15.00,28,18.23,9.80,0.0000
7070,14.48,7,1,25,0.92,1222,0.00,3712,47.11,1.19,0.6478,4.10,3.5595,100.00,15.00,28,18.34,9.80,0.0000
7174,14.48,7,1,25,0.91,1219,0.00,3584,47.11,1.18,0.6288,4.10,3.5265,100.00,15.00,28,18.43,9.80,0.0000
7277,14.48,7,1,25,0.91,1279,0.00,3584,47.35,1.17,0.6170,4.10,3.4903,100.00,15.00,28,18.37,9.80,0.0000
7382,14.48,7,1,25,0.91,1215,0.00,3648,47.43,1.17,0.6265,4.10,3.4780,100.00,15.00,28,18.36,9.80,0.0000
7486,14.40,7,1,25,0.91,1218,0.00,3584,47.43,1.17,0.6382,4.10,3.4552,100.00,15.00,28,18.37,9.80,0.0000
7589,14.32,7,1,25,0.91,1228,0.00,3584,47.51,1.16,0.6408,4.10,3.4348,100.00,15.00,28,18.55,10.20,0.0000
7694,14.56,7,1,25,0.91,1236,0.00,3520,47.94,1.16,0.6335,4.10,3.4337,100.00,15.00,28,18.64,10.20,0.0000
7798,14.48,7,1,25,0.91,1254,0.00,3584,47.51,1.15,0.6312,4.10,3.4098,100.00,15.00,28,18.66,9.80,0.0000
7901,14.48,7,1,25,0.90,1260,0.00,3520,47.19,1.14,0.6288,4.10,3.3767,100.00,15.00,28,18.62,9.80,0.0000
8006,14.40,7,1,25,0.90,1263,0.00,3584,46.80,1.14,0.6288,4.10,3.3598,100.00,15.00,28,18.47,9.80,0.0000
8109,14.48,7,1,25,0.89,1266,0.00,3328,46.48,1.13,0.6265,3.84,3.2963,100.00,15.00,28,18.50,9.80,0.0000
8213,14.48,7,1,25,0.89,1261,0.00,1984,46.16,1.13,0.6312,3.84,3.2520,100.00,15.00,29,18.28,9.80,0.0000
8318,14.48,7,1,25,0.88,1262,0.00,5184,46.08,1.12,0.6240,3.84,3.2270,100.00,15.00,29,18.42,10.20,0.0000
8421,14.48,7,1,25,0.88,1271,0.00,3520,46.24,1.12,0.6478,3.84,3.2052,100.00,15.00,29,18.44,10.20,0.0000
8526,14.40,7,1,25,0.88,1262,0.00,3520,46.48,1.11,0.6335,3.84,3.1845,100.00,15.00,29,18.45,10.20,0.0000
8628,14.48,7,1,25,0.88,1269,0.00,3584,46.32,1.11,0.6288,3.84,3.1790,100.00,15.00,29,18.37,10.20,0.0000
8733,14.24,7,1,25,0.87,1278,0.00,3584,46.56,1.11,0.6382,3.84,3.1685,100.00,15.00,29,18.72,10.20,0.0000
8837,14.40,7,1,25,0.88,1288,0.00,3520,46.40,1.11,0.6240,3.84,3.1643,100.00,15.00,29,18.61,10.20,0.0000
8940,14.48,7,1,25,0.88,1290,0.00,3584,46.40,1.11,0.6265,3.84,3.1580,100.00,15.00,29,18.49,10.20,0.0000
9045,14.24,7,1,25,0.87,1290,0.00,3648,46.24,1.10,0.6312,3.84,3.1368,100.00,15.00,29,18.76,10.20,0.0000
9149,14.40,7,1,25,0.87,1295,0.00,3456,46.24,1.10,0.6312,3.84,3.1227,100.00,15.00,29,18.82,10.20,0.0000
9252,14.48,7,1,25,0.87,1299,0.00,34816,46.08,1.10,0.6335,3.84,3.1082,100.00,15.00,29,18.65,10.20,0.0000
9357,14.48,7,1,25,0.87,1305,15.34,33408,45.92,1.09,0.6265,3.84,3.0873,100.00,15.00,29,18.67,10.20,0.0000
9461,14.48,7,1,25,0.86,1304,15.19,33280,45.84,1.07,0.6288,3.58,3.0682,100.00,15.00,29,18.57,10.20,0.0000
9564,14.40,7,1,25,0.86,1306,15.28,36288,45.84,1.07,0.6382,3.58,3.0125,100.00,15.00,29,18.55,10.20,0.0000
9669,14.40,7,1,25,0.86,1312,15.21,33344,45.84,1.07,0.6192,3.58,3.0002,100.00,15.00,29,18.56,10.20,0.0000
9772,14.48,7,1,25,0.86,1315,15.08,33216,45.66,1.07,0.6382,3.58,2.9903,100.00,15.00,29,18.75,10.20,0.0000
9877,14.40,7,1,25,0.86,1315,15.20,33216,46.00,1.07,0.6265,3.58,2.9900,100.00,15.00,29,18.90,10.20,0.0000
9981,14.48,7,1,25,0.86,1320,15.06,33408,46.00,1.06,0.6288,3.58,2.9835,100.00,15.00,29,18.84,10.20,0.0000
10084,14.24,7,1,25,0.86,1319,14.98,33216,45.84,1.06,0.6288,3.58,2.9768,100.00,15.00,29,18.65,10.20,0.0000
10187,14.40,7,1,25,0.86,1317,15.66,36416,45.92,1.06,0.6240,3.58,2.9752,100.00,15.00,29,18.87,10.20,0.0000
10292,14.40,7,1,25,0.86,1319,15.06,31744,46.00,1.06,0.6312,3.58,2.9708,100.00,15.00,29,18.87,10.20,0.0000
10395,14.48,7,1,25,0.86,1316,15.31,34624,46.08,1.06,0.6288,3.58,2.9675,100.00,15.00,29,18.81,10.20,0.0000
10500,14.48,7,1,25,0.86,1327,15.05,34112,46.08,1.06,0.6265,3.58,2.9683,100.00,15.00,29,19.02,10.20,0.0000
10604,14.48,7,1,25,0.86,1322,15.44,34240,46.08,1.06,0.6218,3.58,2.9672,100.00,15.00,29,18.98,10.20,0.0000
10709,14.48,7,1,25,0.86,1325,15.19,36032,46.08,1.06,0.6312,3.58,2.9640,100.00,15.00,29,18.93,10.20,0.0000
10811,14.48,7,1,25,0.86,1338,15.54,36416,46.08,1.06,0.6502,3.58,2.9750,100.00,15.00,29,18.98,10.20,0.0000
10916,14.48,7,1,25,0.86,1336,15.56,36288,45.92,1.06,0.6288,3.58,2.9520,100.00,15.00,29,19.09,10.20,0.0000
11019,14.24,7,1,25,0.86,1343,15.54,36480,45.84,1.05,0.6360,3.58,2.9443,100.00,15.00,29,19.10,10.20,0.0000
11124,14.48,7,1,25,0.85,1352,15.55,36352,45.84,1.05,0.6218,3.58,2.9343,100.00,15.00,29,18.95,10.20,0.0000
11228,14.24,7,1,25,0.85,1406,15.56,36288,45.76,1.05,0.6360,3.58,2.9247,100.00,15.00,29,19.19,10.20,0.0000
11331,14.48,7,1,25,0.85,1406,15.53,36480,45.68,1.05,0.6265,3.58,2.9170,100.00,15.00,29,18.95,10.20,0.0000
11435,14.24,7,1,25,0.85,1350,15.45,36224,45.60,1.05,0.6382,3.58,2.9078,100.00,15.00,29,18.95,10.20,0.0000
11540,14.48,7,1,25,0.85,1349,15.90,37056,45.52,1.05,0.6240,3.58,2.9022,100.00,15.00,29,19.03,10.20,0.0000
11643,14.32,7,1,25,0.84,1408,15.54,36416,45.37,1.05,0.6430,3.58,2.8923,100.00,15.00,29,18.79,10.20,0.0000
11747,14.40,7,1,25,0.84,1284,15.57,36352,45.13,1.05,0.6218,3.58,2.8818,100.00,15.00,29,18.75,10.20,0.0000
11851,14.24,7,1,25,0.84,1330,15.55,36544,45.29,1.05,0.6288,3.58,2.8725,100.00,15.00,29,18.71,10.20,0.0000
11955,14.48,7,1,25,0.84,1325,15.57,36352,45.13,1.05,0.6382,3.58,2.8683,100.00,15.00,29,18.63,10.20,0.0000
12059,14.40,7,1,25,0.84,1334,15.20,33472,45.29,1.05,0.6455,3.58,2.8683,100.00,15.00,29,18.62,10.20,0.0000
12164,14.48,7,1,25,0.84,1328,15.55,36416,45.21,1.04,0.6265,3.58,2.8658,100.00,15.00,29,18.46,10.20,0.0000
12268,14.40,7,1,25,0.84,1326,15.10,33280,45.21,1.04,0.6382,3.58,2.8628,100.00,15.00,29,18.44,10.20,0.0000
12373,14.40,7,1,25,0.84,1327,15.06,33216,45.13,1.04,0.6265,3.58,2.8575,100.00,15.00,29,18.57,10.20,0.0000
12478,14.40,7,1,25,0.84,1324,14.86,31680,45.13,1.04,0.6335,3.58,2.8518,100.00,15.00,29,18.41,9.80,0.0000
12583,14.40,7,1,25,0.84,1321,15.07,33344,45.29,1.04,0.6265,3.58,2.8510,100.00,15.00,29,18.46,9.80,0.0000
12687,14.40,7,1,25,0.84,1321,14.98,33408,44.89,1.04,0.6312,3.58,2.8462,100.00,15.00,29,18.41,9.80,0.0000
12792,14.48,7,1,25,0.83,1326,15.11,33216,44.73,1.04,0.6218,3.58,2.8363,100.00,15.00,29,18.25,9.80,0.0000
12896,14.40,7,1,25,0.84,1324,15.07,33472,44.65,1.04,0.6288,3.33,2.8253,100.00,15.00,29,18.29,9.80,0.0000
12999,14.48,7,1,25,0.83,1316,15.09,33280,44.65,1.04,0.6408,3.33,2.8157,100.00,15.00,29,18.15,9.80,0.0000
13104,14.48,7,1,25,0.83,1314,15.20,33408,44.57,1.04,0.6360,3.33,2.8115,100.00,15.00,29,18.11,9.80,0.0000
13208,14.24,7,1,25,0.83,1303,15.07,36544,44.65,1.04,0.6312,3.58,2.8083,100.00,15.00,29,18.10,9.80,0.0000
13311,14.40,7,1,25,0.83,1296,15.46,29696,44.65,1.04,0.6312,3.33,2.8102,100.00,15.00,29,18.04,9.80,0.0000
13415,14.40,7,1,25,0.83,1294,14.53,31616,44.65,1.04,0.6335,3.33,2.8077,100.00,15.00,29,17.95,9.80,0.0000
13520,14.48,7,1,25,0.83,1295,14.56,29760,44.86,1.04,0.6335,3.58,2.8135,100.00,15.00,29,18.20,10.20,0.0000
13623,14.48,7,1,25,0.83,1292,15.23,33344,45.45,1.04,0.6335,3.58,2.8275,100.00,15.00,29,18.45,10.20,0.0043
13727,14.40,7,1,25,0.84,1295,14.53,29824,45.60,1.04,0.6382,3.58,2.8672,100.00,15.00,29,18.48,10.20,0.0072
13832,14.48,7,1,25,0.85,1304,15.11,33216,45.76,1.04,0.6312,3.58,2.8828,100.00,15.00,29,18.50,10.20,0.0084
13937,14.48,7,1,25,0.85,1316,14.55,30016,45.76,1.04,0.6288,3.58,2.8940,100.00,15.00,29,18.54,10.20,0.0091
14041,14.40,7,1,25,0.85,1314,15.66,36480,45.76,1.04,0.6335,3.58,2.8952,100.00,15.00,29,18.86,10.20,0.0088
14146,14.48,7,1,25,0.85,1317,14.63,29888,45.68,1.04,0.6335,3.58,2.8920,100.00,15.00,29,18.69,10.20,0.0079
14249,14.40,7,1,25,0.85,1328,14.55,30016,45.52,1.04,0.6408,3.58,2.8858,100.00,15.00,29,18.55,10.20,0.0068
14353,14.40,7,1,25,0.85,1324,14.58,32064,45.45,1.04,0.6312,3.58,2.8775,100.00,15.00,29,18.71,10.20,0.0056
14457,14.40,7,1,25,0.85,1332,15.11,33280,45.52,1.04,0.6525,3.58,2.8695,100.00,15.00,29,18.83,10.20,0.0045
14562,14.48,7,1,25,0.85,1331,14.87,28480,45.52,1.03,0.6192,3.58,2.8540,100.00,15.00,29,18.97,10.20,0.0000
14666,14.48,7,1,25,0.85,1342,14.33,29760,45.68,1.03,0.6335,3.58,2.8538,100.00,15.00,29,18.83,10.20,0.0000
14770,14.48,7,1,25,0.85,1338,14.55,29952,45.76,1.03,0.6288,3.58,2.8542,100.00,15.00,29,19.08,10.20,0.0000
14874,14.48,7,1,25,0.85,1341,14.57,29824,45.84,1.03,0.6288,3.58,2.8540,100.00,15.00,29,18.91,10.20,0.0000
14977,14.48,7,1,25,0.85,1348,14.57,29824,45.68,1.03,0.6312,3.58,2.8495,100.00,15.00,29,18.93,10.20,0.0000
15082,14.48,7,1,25,0.85,1345,14.54,29952,45.68,1.03,0.6312,3.58,2.8450,100.00,15.00,29,18.98,10.20,0.0000
15185,14.48,7,1,25,0.85,1350,14.57,29760,45.68,1.03,0.6288,3.58,2.8410,100.00,15.00,29,19.00,10.20,0.0000
15290,14.48,7,1,25,0.85,1359,14.54,29888,45.79,1.03,0.6312,3.58,2.8375,100.00,15.00,29,19.04,10.20,0.0000
15393,14.48,7,1,25,0.84,1354,14.55,29824,45.45,1.03,0.6218,3.58,2.8310,100.00,15.00,29,18.93,10.20,0.0000
15496,14.48,7,1,25,0.84,1356,14.56,29760,45.45,1.03,0.6478,3.58,2.8255,100.00,15.00,29,18.84,10.20,0.0000
15601,14.40,7,1,25,0.84,1353,14.80,29952,45.52,1.03,0.6192,3.33,2.8197,100.00,15.00,29,19.01,10.20,0.0000
15704,14.40,7,1,25,0.84,1357,14.57,29824,45.45,1.03,0.6335,3.33,2.8175,100.00,15.00,29,18.92,10.20,0.0000
15809,14.40,7,1,25,0.84,1365,14.56,29760,45.45,1.02,0.6335,3.33,2.8095,100.00,15.00,29,18.92,10.20,0.0000
15913,14.40,7,1,25,0.84,1362,14.56,30016,45.37,1.02,0.6408,3.33,2.8045,100.00,15.00,29,18.96,10.20,0.0000
16017,14.48,7,1,25,0.84,1360,15.12,33344,45.29,1.02,0.6360,3.33,2.7978,100.00,15.00,29,18.93,10.20,0.0000
16121,14.32,7,1,25,0.84,1364,14.57,30016,45.21,1.02,0.6312,3.33,2.7902,100.00,15.00,29,18.94,10.20,0.0000
16224,14.48,7,1,25,0.83,1362,14.56,29888,45.21,1.02,0.6218,3.33,2.7850,100.00,15.00,29,18.97,10.20,0.0000
16329,14.48,7,1,25,0.83,1363,14.58,29888,45.21,1.02,0.6550,3.33,2.7815,100.00,15.00,29,18.95,10.20,0.0000
16432,14.48,7,1,25,0.83,1371,14.54,30016,44.97,1.02,0.6408,3.33,2.7763,100.00,15.00,29,18.84,10.20,0.0000
16536,14.56,7,1,25,0.83,1362,14.58,29824,44.81,1.02,0.6360,3.33,2.7690,100.00,15.00,29,18.70,10.20,0.0000
16641,14.48,7,1,25,0.83,1364,14.54,25600,44.54,1.02,0.6288,3.33,2.7622,100.00,15.00,29,18.62,10.20,0.0000
16744,14.48,7,1,25,0.82,1362,13.86,28352,44.65,1.02,0.6240,3.33,2.7515,100.00,15.00,29,18.78,10.20,0.0000
16848,14.40,7,1,25,0.82,1358,14.64,26752,44.65,1.02,0.6382,3.33,2.7460,100.00,15.00,29,18.62,10.20,0.0000
16952,14.48,7,1,25,0.82,1357,14.08,26880,44.65,1.02,0.6312,3.33,2.7462,100.00,15.00,29,18.53,10.20,0.0000
17057,14.32,7,1,25,0.82,1348,14.11,26944,44.81,1.02,0.6288,3.33,2.7502,100.00,15.00,29,18.72,10.20,0.0000
17162,14.48,7,1,25,0.82,1343,14.10,26944,44.97,1.02,0.6288,3.33,2.7568,100.00,15.00,29,18.60,10.20,0.0000
17265,14.32,7,1,25,0.83,1348,14.36,29824,44.97,1.02,0.6312,3.33,2.7637,100.00,15.00,29,18.77,10.20,0.0000
17369,14.48,7,1,25,0.83,1344,14.18,26816,45.13,1.02,0.6288,3.33,2.7730,100.00,15.00,29,18.67,10.20,0.0000
17474,14.32,7,1,25,0.83,1346,14.10,27008,45.21,1.02,0.6312,3.33,2.7782,100.00,15.00,29,18.78,10.20,0.0000
17578,14.48,7,1,25,0.83,1353,14.35,28544,45.13,1.03,0.6312,3.33,2.7948,100.00,15.00,29,18.77,10.20,0.0041
17681,14.24,7,1,25,0.83,1344,14.19,26816,45.29,1.03,0.6288,3.33,2.7840,100.00,15.00,29,18.85,10.20,0.0044
17786,14.56,7,1,25,0.83,1348,14.08,27008,45.29,1.03,0.6288,3.33,2.7985,100.00,15.00,29,18.78,10.20,0.0039
17890,14.24,7,1,25,0.84,1349,14.11,26816,45.21,1.03,0.6335,3.33,2.8015,100.00,15.00,29,18.78,10.20,0.0039
17993,14.48,7,1,25,0.84,1348,14.08,26944,45.29,1.02,0.6240,3.33,2.7920,100.00,15.00,29,18.84,10.20,0.0000
18098,14.24,7,1,25,0.84,1350,14.09,26944,45.45,1.02,0.6335,3.33,2.7933,100.00,15.00,29,18.63,10.20,0.0000
18202,14.48,7,1,25,0.84,1354,14.11,26816,45.10,1.02,0.6240,3.33,2.7930,100.00,15.00,29,18.66,10.20,0.0000
18306,14.24,7,1,25,0.84,1348,14.08,27008,45.29,1.02,0.6430,3.33,2.7927,100.00,15.00,29,18.91,10.20,0.0000
18411,14.56,7,1,25,0.84,1352,14.11,26816,45.55,1.02,0.6218,3.33,2.7933,100.00,15.00,29,18.84,10.20,0.0000
18514,14.40,7,1,25,0.84,1356,14.11,26880,45.21,1.02,0.6550,3.33,2.7930,100.00,15.00,29,18.83,10.20,0.0000
18619,14.48,7,1,25,0.84,1352,14.08,27008,45.32,1.02,0.6312,3.33,2.7923,100.00,15.00,29,18.92,10.20,0.0000
18722,14.56,7,1,25,0.84,1354,14.12,26624,45.21,1.02,0.6288,3.33,2.7910,100.00,15.00,29,18.85,10.20,0.0000
18827,14.48,7,1,25,0.84,1358,13.86,25472,45.29,1.02,0.6455,3.33,2.7905,100.00,15.00,29,18.82,10.20,0.0000
18932,14.48,7,1,25,0.84,1351,13.87,26752,45.21,1.02,0.6218,3.33,2.7887,100.00,15.00,29,18.93,10.20,0.0000
19036,14.40,7,1,25,0.83,1350,14.11,26880,45.29,1.02,0.6525,3.33,2.7868,100.00,15.00,29,18.82,10.20,0.0000
