Time (msec),AVCS Normal Output Duty Bank 0 (D2WD610H diagnostic)* (%),AVCS Normal Output Duty Bank 1 (D2WD610H diagnostic)* (%),Accelerator Pedal Angle (%),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Intake OCV Current Left (mA),Intake OCV Current Right (mA),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h)
1039,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1143,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1247,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1351,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,94.844,7.45,0
1456,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1559,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1662,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1767,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1870,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
1975,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
2078,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
2183,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
2286,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
2391,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
2495,0.00,0.00,0.00,24,0,13.31,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,94.844,7.45,0
2598,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,94.527,7.45,0
2703,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,94.844,7.45,0
2806,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,93.891,7.45,0
2910,0.00,0.00,0.00,24,0,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0,0,93.256,7.45,0
3014,0.00,0.00,0.00,24,0,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0,0,94.209,7.45,0
3117,0.00,0.00,0.00,24,138,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0,0,93.256,7.45,0
3222,0.00,0.00,0.00,24,146,0.00,0.00,0.00,12.03,0.0000,15.00,0,0,0,0,0,0,86.902,7.45,0
3326,0.00,0.00,0.00,24,582,0.00,0.00,0.00,9.73,0.0000,15.00,0,0,0,0,0,0,78.325,7.45,0
3430,0.00,0.00,0.00,24,870,0.00,0.00,0.00,8.19,0.0000,15.00,0,0,0,0,0,0,68.477,7.84,0
3534,9.37,9.38,0.00,24,1013,0.00,0.00,0.00,6.91,0.0000,15.50,0,96,0,0,0,0,61.488,8.24,0
3638,9.39,9.39,0.00,24,1104,0.00,0.00,0.00,6.40,0.0000,15.00,0,96,96,0,0,0,56.405,8.24,0
3741,9.39,9.38,0.00,24,1130,0.00,0.00,0.00,5.89,0.0000,15.00,0,96,96,0,0,0,53.229,8.63,0
3845,9.37,9.36,0.00,24,1156,0.00,0.00,0.00,5.63,0.0000,15.00,0,96,96,0,0,0,50.687,8.63,0
3949,9.35,9.33,0.00,24,1174,0.00,0.00,0.00,5.12,0.0000,15.00,0,96,96,0,0,0,49.099,8.24,0
4053,9.33,9.31,0.00,24,1168,0.00,0.00,0.00,4.86,0.0000,15.00,0,96,96,0,0,0,48.146,8.63,0
4157,9.31,9.28,0.00,24,1151,0.00,0.00,0.00,4.61,0.0000,15.00,0,96,96,0,0,0,47.510,8.24,0
4261,9.28,9.25,0.00,24,1140,0.00,0.00,0.00,4.61,0.0000,15.00,0,96,96,0,0,0,47.193,8.24,0
4365,9.26,9.23,0.00,24,1126,0.00,0.00,0.00,4.35,0.0000,15.00,0,96,96,0,0,0,46.875,8.24,0
4469,9.24,9.20,0.00,24,1110,0.00,0.00,0.00,4.35,0.0000,15.00,0,96,96,0,0,0,46.875,8.63,0
4573,9.22,9.18,0.00,24,1094,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,47.510,8.24,0
4677,9.19,9.15,0.00,24,1085,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,47.510,8.63,0
4781,9.17,9.13,0.00,24,1075,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,47.193,8.24,0
4885,9.15,9.10,0.00,24,1070,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,47.510,8.24,0
4989,9.13,9.08,0.00,24,1070,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,47.193,8.24,0
5093,9.10,9.05,0.00,24,1066,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,47.510,8.24,0
5197,9.09,9.03,0.00,24,1066,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,46.875,8.24,0
5301,9.06,9.00,0.00,24,1072,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,47.193,8.24,0
5404,9.04,8.98,0.00,24,1079,0.00,0.00,0.00,4.10,0.0000,15.00,0,96,96,0,0,0,46.875,8.24,0
5508,9.02,8.96,0.00,24,1082,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,47.510,9.80,0
5612,9.01,8.94,0.00,24,1090,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,49.734,9.41,0
5716,8.98,8.91,0.00,24,1106,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,49.416,9.41,0
5820,8.97,8.89,0.00,24,1132,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,49.416,9.80,0
5924,8.95,8.87,0.00,24,1160,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,49.416,9.80,0
6028,8.93,8.85,0.00,24,1190,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,49.099,9.80,0
6132,8.91,8.83,0.00,24,1224,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,47.828,9.41,0
6235,8.89,8.81,0.00,24,1258,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,47.193,9.41,0
6339,8.87,8.79,0.00,24,1279,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,45.922,9.41,0
6444,8.86,8.77,0.00,24,1289,0.00,0.00,0.00,3.84,0.0000,15.00,0,96,96,0,0,0,45.287,9.41,0
6548,8.84,8.75,0.00,24,1299,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.969,9.41,0
6652,8.82,8.74,0.00,24,1302,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.651,9.41,0
6756,8.81,8.72,0.00,24,1310,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.016,9.41,0
6860,8.79,8.70,0.00,24,1302,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,43.698,9.41,0
6963,8.77,8.68,0.00,24,1298,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.016,9.41,0
7068,8.76,8.66,0.00,24,1301,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.334,9.41,0
7171,8.74,8.65,0.00,24,1300,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.651,9.80,0
7275,8.73,8.63,0.00,24,1296,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.651,9.80,0
7379,8.71,8.61,0.00,24,1303,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.651,9.80,0
7484,8.70,8.60,0.00,24,1310,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,44.969,9.80,0
7588,8.68,8.58,0.00,24,1314,0.00,0.00,0.00,3.58,0.0000,15.00,0,96,96,0,0,0,45.287,9.80,0
7693,8.67,8.56,0.00,24,1315,0.00,0.00,0.00,3.58,0.0000,14.50,0,96,96,0,0,0,45.287,9.80,0
7799,8.66,8.55,0.00,24,1326,0.00,0.00,0.00,3.58,0.0000,14.50,0,96,96,0,0,0,44.969,9.80,0
7902,8.64,8.53,0.00,24,1335,0.00,0.00,0.00,3.58,0.0000,14.00,0,96,96,0,0,0,45.287,9.80,0
8007,8.63,8.52,0.00,24,1332,0.00,0.00,0.00,3.58,0.0000,14.00,0,96,96,0,0,0,45.287,9.80,0
8110,8.61,8.50,0.00,24,1338,0.00,0.00,0.00,3.58,0.0000,13.50,0,96,96,0,0,0,45.287,9.80,0
8213,8.60,8.49,0.00,24,1350,0.00,0.00,0.00,3.58,0.0000,13.00,0,96,96,0,0,0,45.287,9.80,0
8317,8.59,8.48,0.00,24,1347,0.00,0.00,0.00,3.58,0.0000,13.00,0,96,96,0,0,0,45.287,9.80,0
8422,8.58,8.46,0.00,24,1354,0.00,0.00,0.00,3.58,0.0000,12.50,0,96,96,0,0,0,45.604,10.20,0
8526,8.56,8.45,0.00,24,1359,0.00,0.00,0.00,3.58,0.0000,12.50,0,96,96,0,0,0,45.604,10.20,0
8630,8.55,8.44,0.00,24,1352,0.00,0.00,0.00,3.58,0.0000,12.00,0,96,96,0,0,0,45.604,10.20,0
8734,8.54,8.42,0.00,24,1359,0.00,0.00,0.00,3.58,0.0000,12.00,0,96,96,0,0,0,45.922,10.20,0
8837,8.53,8.41,0.00,24,1362,0.00,0.00,0.00,3.58,0.0000,11.50,0,96,64,0,0,0,45.922,10.20,0
8941,8.52,8.40,0.00,24,1356,0.00,0.00,0.00,3.58,0.0000,11.50,0,96,96,0,0,0,45.922,10.20,0
9045,8.51,8.38,0.00,24,1363,18.11,0.00,0.00,3.58,0.0000,11.00,0,96,96,0,0,0,45.922,10.20,0
9150,8.49,8.37,0.00,24,1366,18.56,0.00,0.00,3.58,0.0000,11.00,0,96,96,0,0,0,45.604,10.20,0
9254,8.48,8.36,0.00,24,1374,18.10,0.00,0.00,3.58,0.0000,10.50,0,96,96,0,0,0,45.604,10.20,0
9358,8.47,8.35,0.00,24,1381,18.10,0.00,0.00,3.58,0.0000,10.50,0,96,96,0,0,0,45.604,10.20,0
9463,8.46,8.34,0.00,24,1373,17.54,0.00,0.00,3.58,0.0000,10.00,0,96,96,0,0,0,45.922,10.20,0
9565,8.45,8.33,0.00,24,1374,17.08,0.00,0.00,3.58,0.0000,9.50,0,64,64,0,0,0,45.922,10.20,0
9669,8.44,8.32,0.00,24,1383,17.10,0.00,0.00,3.33,0.0000,9.50,0,96,96,0,0,0,45.922,10.20,0
9774,8.43,8.31,0.00,24,1374,17.40,0.00,0.00,3.58,0.0000,9.00,0,96,96,0,0,0,45.922,10.20,0
9878,8.42,8.30,0.00,24,1374,16.96,0.00,0.00,3.33,0.0000,9.00,0,96,64,0,0,0,45.922,10.20,0
9981,8.41,8.29,0.00,24,1361,17.02,0.00,0.00,3.33,0.0000,8.50,0,96,96,0,0,0,45.922,10.20,0
10085,8.40,8.28,0.00,24,1357,16.32,0.00,0.00,3.58,0.0000,8.50,0,96,96,0,0,0,46.557,10.20,0
10189,8.39,8.27,0.00,24,1367,17.08,0.00,0.00,3.58,0.0000,8.00,0,96,96,0,0,0,46.557,10.20,0
10293,8.39,8.26,0.00,24,1362,16.53,0.00,0.00,3.58,0.0000,7.50,0,64,64,0,0,0,46.875,10.20,0
10398,8.38,8.25,0.00,24,1363,16.56,0.00,0.00,3.58,0.0000,7.50,0,96,96,0,0,0,47.193,10.20,0
10502,8.37,8.24,0.00,24,1363,16.53,0.00,0.00,3.58,0.0000,7.50,0,96,96,0,0,0,47.510,10.20,0
10605,8.36,8.23,0.00,24,1352,16.57,0.00,0.00,3.58,0.0000,7.00,0,64,64,0,0,0,47.828,10.20,0
10710,8.35,8.22,0.00,24,1343,16.53,0.00,0.00,3.58,0.0000,7.00,0,64,96,0,0,0,48.146,10.59,0
10813,8.34,8.21,0.00,24,1353,16.56,0.00,0.00,3.58,0.0000,7.00,0,96,96,0,0,0,48.781,10.59,0
10916,8.33,8.20,0.00,24,1345,16.54,0.00,0.00,3.58,0.0000,6.00,0,96,64,0,0,0,49.099,10.59,0
11021,8.32,8.19,0.00,24,1342,16.55,0.00,0.00,3.58,0.0000,6.50,0,64,64,0,0,0,49.099,10.59,0
11125,8.32,8.19,0.00,24,1355,16.55,0.00,0.00,3.58,0.0000,5.50,0,96,96,0,0,0,49.416,10.59,0
11229,8.31,8.18,0.00,24,1352,16.54,0.00,0.00,3.58,0.0000,5.50,0,96,96,0,0,0,49.734,10.59,0
11332,8.30,8.17,0.00,24,1348,16.53,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.734,10.59,0
11436,8.29,8.16,0.00,24,1367,16.54,0.00,0.00,3.58,0.0000,5.00,0,64,96,0,0,0,49.416,10.59,0
11541,8.29,8.15,0.00,24,1363,16.57,0.00,0.00,3.58,0.0000,5.00,0,96,96,0,0,0,49.416,10.59,0
11645,8.28,8.15,0.00,24,1362,16.54,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,49.416,10.59,0
11750,8.27,8.14,0.00,24,1363,16.57,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.781,10.59,0
11853,8.26,8.13,0.00,24,1359,16.55,0.00,0.00,3.58,0.0000,5.50,0,96,96,0,0,0,48.781,10.59,0
11957,8.26,8.12,0.00,24,1372,16.12,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.781,10.59,0
12062,8.25,8.12,0.00,24,1360,16.07,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.781,10.59,0
12165,8.24,8.11,0.00,24,1362,15.87,0.00,0.00,3.58,0.0000,5.00,0,64,96,0,0,0,48.781,10.59,0
12269,8.23,8.10,0.00,24,1369,15.83,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.59,0
12374,8.23,8.10,0.00,24,1362,15.58,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
12477,8.22,8.09,0.00,24,1358,15.55,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.463,10.20,0
12581,8.22,8.08,0.00,24,1362,15.56,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.463,10.20,0
12685,8.21,8.07,0.00,24,1357,15.56,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
12789,8.20,8.07,0.00,24,1356,15.56,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.463,10.20,0
12893,8.20,8.06,0.00,24,1348,15.56,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.59,0
12997,8.19,8.06,0.00,24,1347,15.09,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.781,10.20,0
13101,8.18,8.05,0.00,24,1355,15.10,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13206,8.18,8.04,0.00,24,1350,15.11,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13311,8.17,8.04,0.00,24,1346,15.57,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13414,8.16,8.03,0.00,24,1353,15.09,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13519,8.16,8.02,0.00,24,1348,15.10,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13622,8.15,8.02,0.00,24,1338,14.76,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13727,8.15,8.01,0.00,24,1353,14.57,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13830,8.14,8.01,0.00,24,1336,14.54,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
13935,8.14,8.00,0.00,24,1346,15.10,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
14038,8.13,8.00,0.00,24,1349,15.09,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
14142,8.13,7.99,0.00,24,1351,14.58,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.146,10.20,0
14247,8.12,7.99,0.00,24,1338,14.53,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.463,10.20,0
14350,8.12,7.98,0.00,24,1343,14.33,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
14453,8.11,7.98,0.00,24,1327,15.11,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.781,10.20,0
14558,8.11,7.97,0.00,24,1334,14.56,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
14662,8.10,7.97,0.00,24,1332,14.57,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,49.099,10.20,0
14766,8.10,7.96,0.00,24,1332,14.55,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,49.099,10.20,0
14870,8.09,7.96,0.00,24,1336,14.56,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,49.099,10.20,0
14973,8.09,7.95,0.00,24,1336,14.54,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
15078,8.09,7.95,0.00,24,1346,14.11,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.781,10.20,0
15181,8.08,7.95,0.00,24,1330,14.32,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
15286,8.08,7.94,0.00,24,1338,14.81,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
15389,8.07,7.94,0.00,24,1344,14.54,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
15493,8.07,7.94,0.00,24,1341,14.57,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.463,10.20,0
15598,8.06,7.93,0.00,24,1330,14.17,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
15702,8.06,7.93,0.00,24,1346,14.53,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.463,10.20,0
15806,8.06,7.92,0.00,24,1335,14.09,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.146,10.20,0
15910,8.05,7.92,0.00,24,1343,14.09,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.146,10.20,0
16014,8.05,7.92,0.00,24,1342,14.56,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.146,10.20,0
16118,8.05,7.91,0.00,24,1330,14.09,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.146,10.20,0
16223,8.04,7.91,0.00,24,1324,14.09,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.463,10.20,0
16327,8.04,7.91,0.00,24,1327,14.07,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.463,10.20,0
16431,8.04,7.90,0.00,24,1319,13.88,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
16536,8.03,7.90,0.00,24,1322,13.85,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.781,10.20,0
16640,8.03,7.89,0.00,24,1331,14.10,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
16744,8.03,7.89,0.00,24,1338,15.08,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.781,10.20,0
16848,8.02,7.89,0.00,24,1336,14.11,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
16951,8.02,7.89,0.00,24,1323,14.07,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
17055,8.02,7.88,0.00,24,1332,14.57,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
17159,8.01,7.88,0.00,24,1320,14.55,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
17264,8.01,7.88,0.00,24,1331,14.35,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
17367,8.01,7.87,0.00,24,1336,14.44,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
17471,8.00,7.87,0.00,24,1325,14.10,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
17575,8.00,7.87,0.00,24,1312,14.09,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.781,10.20,0
17679,8.00,7.86,0.00,24,1321,14.09,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
17783,8.00,7.86,0.00,24,1324,14.10,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,49.099,10.20,0
17887,7.99,7.86,0.00,24,1316,14.08,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,49.099,10.20,0
17991,7.99,7.86,0.00,24,1335,14.10,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.781,10.20,0
18095,7.99,7.85,0.00,24,1326,14.55,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
18200,7.98,7.85,0.00,24,1330,14.10,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.781,10.20,0
18304,7.98,7.85,0.00,24,1331,14.08,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.463,10.20,0
18408,7.98,7.85,0.00,24,1346,14.11,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,48.463,10.20,0
18511,7.98,7.84,0.00,24,1325,14.06,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
18616,7.97,7.84,0.00,24,1328,14.34,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.463,10.20,0
18719,7.97,7.84,0.00,24,1328,14.09,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
18823,7.97,7.84,0.00,24,1323,14.11,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
18928,7.96,7.83,0.00,24,1330,14.08,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
19031,7.96,7.83,0.00,24,1320,15.10,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.099,10.20,0
19136,7.96,7.83,0.00,24,1334,14.10,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.099,10.20,0
19239,7.96,7.83,0.00,24,1322,14.27,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.099,10.20,0
19343,7.95,7.82,0.00,24,1318,14.23,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
19447,7.95,7.82,0.00,24,1324,14.34,0.00,0.00,3.58,0.0000,6.00,0,64,64,0,0,0,48.781,10.20,0
19551,7.95,7.82,0.00,24,1319,14.11,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
19655,7.95,7.82,0.00,24,1317,14.08,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,49.099,10.20,0
19759,7.94,7.82,0.00,24,1331,14.59,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.099,10.20,0
19863,7.94,7.81,0.00,24,1333,14.06,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.099,10.20,0
19966,7.94,7.81,0.00,24,1325,14.59,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.099,10.20,0
20071,7.94,7.81,0.00,24,1328,14.09,0.00,0.00,3.58,0.0000,5.00,0,64,64,0,0,0,49.099,10.20,0
20175,7.94,7.81,0.00,24,1330,14.58,0.00,0.00,3.58,0.0000,5.50,0,64,64,0,0,0,48.781,10.20,0
20278,7.93,7.81,0.00,24,1333,14.09,0.00,0.00,3.58,0.0000,4.50,0,64,64,0,0,0,48.781,10.20,0
