Time (msec),Accelerator Pedal Angle (%),Battery Voltage (V),CL/OL Fueling* (status),Combined Throttle Request (D2WD610H diagnostic)* (%),Coolant Temperature (C),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (kPa),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
3432,0.00,14.16,7,4.28,68,850.0,0.48,844,14.54,29760,1.02,1.6193,9,15.00,29,31,6.81,4.31,0.0000
3536,0.00,14.32,7,4.24,68,850.0,0.48,840,14.53,29696,1.02,1.6168,9,15.00,29,31,6.71,4.31,0.0000
3640,0.00,14.24,7,4.24,68,850.0,0.48,837,14.52,29632,1.02,1.6138,9,15.00,29,31,6.70,4.31,0.0000
3744,0.00,14.16,7,4.21,68,850.0,0.48,832,14.53,29888,1.02,1.6128,9,15.00,29,31,6.77,4.31,0.0000
3849,0.00,14.16,7,4.23,68,850.0,0.48,831,14.55,29760,1.02,1.6113,9,15.00,29,31,6.63,4.31,0.0000
3954,0.00,14.00,7,4.21,68,850.0,0.48,827,14.55,29888,1.02,1.6113,9,15.00,29,31,6.69,4.31,0.0000
4057,0.00,14.16,7,4.22,68,850.0,0.48,824,14.51,29632,1.02,1.6130,9,15.00,29,31,6.69,4.31,0.0000
4162,0.00,14.32,7,4.19,68,850.0,0.48,823,14.54,29824,1.02,1.6165,9,15.00,29,31,6.73,4.31,0.0000
4267,0.00,14.32,7,4.18,68,850.0,0.48,822,14.56,29824,1.02,1.6193,9,15.00,29,31,6.62,4.31,0.0000
4370,0.00,14.16,7,4.18,68,850.0,0.49,820,14.53,29760,1.02,1.6242,9,15.00,29,31,6.71,4.31,0.0000
4475,0.00,14.16,7,4.17,68,850.0,0.49,818,14.52,29504,1.02,1.6273,9,15.00,29,31,6.71,4.31,0.0000
4578,0.00,14.16,7,4.16,68,850.0,0.49,819,14.56,29824,1.02,1.6295,9,15.00,29,31,6.70,4.31,0.0000
4682,0.00,14.24,7,4.15,68,850.0,0.49,816,14.37,28736,1.02,1.6313,9,15.00,29,31,6.68,4.31,0.0000
4786,0.00,14.16,7,4.15,68,850.0,0.49,817,14.30,28352,1.02,1.6330,9,15.00,29,31,6.68,4.31,0.0000
4890,0.00,14.24,7,4.16,68,850.0,0.49,817,14.51,29440,1.02,1.6347,9,15.00,29,31,6.66,4.31,0.0000
4995,0.00,14.32,7,4.15,68,850.0,0.49,818,14.55,29824,1.02,1.6340,9,15.00,29,31,6.68,4.31,0.0000
5098,0.00,14.32,7,4.15,68,850.0,0.49,816,14.53,29760,1.02,1.6305,9,15.00,29,31,6.59,4.31,0.0000
5202,0.00,14.16,7,4.16,68,850.0,0.49,811,14.53,29760,1.02,1.6245,9,15.00,29,31,6.51,4.31,0.0000
5306,0.00,14.16,7,4.16,67,850.0,0.48,811,14.53,29760,1.02,1.6195,9,15.00,29,31,6.48,4.31,0.0000
5410,0.00,14.16,7,4.16,67,850.0,0.48,804,14.56,29888,1.02,1.6178,9,15.00,29,31,6.51,4.31,0.0000
5514,0.00,14.24,7,4.17,67,850.0,0.48,800,14.57,30080,1.02,1.6170,9,15.00,29,31,6.51,4.31,0.0000
5618,0.00,13.92,7,4.29,67,850.0,0.48,800,14.54,29888,1.02,1.6162,9,15.00,29,31,6.45,4.31,0.0000
5722,0.00,14.16,7,4.41,67,850.0,0.49,796,14.78,31296,1.02,1.6178,9,15.00,29,31,6.50,4.31,0.0000
5826,0.00,14.16,7,4.48,67,850.0,0.49,796,14.55,29824,1.02,1.6262,9,15.00,29,32,6.59,4.71,0.0000
5930,0.00,14.16,7,4.52,67,850.0,0.49,801,14.54,29824,1.02,1.6360,9,15.00,29,32,6.66,4.71,0.0000
6034,0.00,14.24,7,4.47,67,850.0,0.49,808,14.53,29888,1.05,1.6890,9,15.00,29,33,6.87,4.71,0.0019
6139,0.00,14.32,7,4.58,67,850.0,0.50,816,14.53,29760,1.05,1.7138,9,15.00,29,33,7.02,4.71,0.0283
6242,0.00,14.24,7,4.58,67,850.0,0.51,824,14.56,29696,1.02,1.6885,9,15.00,29,33,7.13,4.71,0.0038
6347,0.00,14.16,7,4.56,67,850.0,0.51,838,14.56,29888,1.05,1.7428,9,15.00,29,33,7.30,4.71,0.0247
6450,0.00,14.16,7,4.55,67,850.0,0.52,850,14.54,29888,1.05,1.7592,9,15.00,29,33,7.40,4.71,0.0261
6554,0.00,14.16,7,4.59,67,850.0,0.52,862,14.53,29824,1.03,1.7398,9,15.00,29,33,7.57,4.71,0.0058
6658,0.00,14.32,7,4.51,67,850.0,0.52,880,14.55,29888,1.03,1.7478,9,15.00,29,33,7.65,4.71,0.0059
6762,0.00,14.16,7,4.54,67,850.0,0.52,898,14.54,29696,1.03,1.7498,9,15.00,29,32,7.69,4.71,0.0056
6866,0.00,14.24,7,4.56,67,850.0,0.52,912,14.29,28096,1.02,1.7432,9,15.00,29,32,7.72,4.71,0.0049
6970,0.00,14.24,7,4.58,67,850.0,0.52,926,14.56,29696,1.02,1.7263,9,15.00,28,31,7.78,4.71,0.0033
7073,0.00,14.08,7,4.59,67,850.0,0.51,931,14.57,30144,1.01,1.7065,9,15.00,28,31,7.69,4.71,-0.0108
7178,0.00,14.32,7,4.54,67,850.0,0.50,939,14.56,29824,1.00,1.6575,9,15.00,28,30,7.65,4.71,-0.0140
7282,0.00,14.16,7,4.55,67,850.0,0.50,944,14.54,29760,1.00,1.6370,9,15.00,28,30,7.52,4.71,-0.0151
7385,0.00,14.24,7,4.57,67,850.0,0.49,942,14.54,29824,1.00,1.6150,9,15.00,28,30,7.44,4.71,-0.0149
7489,0.00,14.16,7,4.55,67,850.0,0.49,944,14.57,29952,1.00,1.5935,9,15.00,28,30,7.36,4.71,-0.0155
7594,0.00,14.16,7,4.46,67,850.0,0.48,939,14.55,29696,1.02,1.6018,9,15.00,28,30,7.36,4.71,-0.0026
7697,0.00,14.16,7,4.45,67,850.0,0.48,935,14.53,29760,1.02,1.5942,9,15.00,28,30,7.40,4.71,-0.0022
7802,0.00,14.16,7,4.43,67,850.0,0.48,930,14.76,31168,1.02,1.5902,9,15.00,28,30,7.38,4.71,0.0000
7905,0.00,14.24,7,4.42,67,850.0,0.48,932,14.56,29888,1.02,1.5828,9,15.00,28,29,7.33,4.71,0.0000
8009,0.00,14.16,7,7.90,67,850.0,0.47,923,14.56,29760,1.02,1.5737,9,15.00,28,29,7.15,4.31,0.0000
8113,8.63,14.24,7,25.43,67,850.0,0.48,922,14.52,29568,1.18,1.5777,0,18.00,28,56,7.39,13.73,0.0000
8217,20.78,14.16,7,15.46,67,850.0,0.60,970,14.57,29952,1.60,2.9908,0,16.50,28,90,16.78,26.67,0.4248
8322,2.75,13.92,7,4.72,67,850.0,0.80,1304,14.57,29952,1.34,3.5570,0,14.50,28,71,23.43,8.63,0.4706
8425,0.00,14.16,7,5.86,67,850.0,0.96,1522,14.54,29760,1.13,3.8575,0,15.00,28,48,28.42,5.49,0.2231
8529,3.53,14.16,7,14.05,67,850.0,0.92,1532,14.52,29568,0.97,3.0570,0,18.50,28,42,22.02,8.24,-0.0315
8632,9.41,14.24,7,14.20,67,850.0,0.88,1435,14.56,29696,1.11,2.9125,0,18.00,28,55,19.81,14.90,-0.0210
8737,9.41,14.16,7,14.20,67,850.0,0.94,1396,14.58,30016,1.20,3.5180,0,18.00,28,62,25.27,14.90,0.1017
8841,9.41,14.16,7,14.36,67,850.0,1.02,1343,14.56,29760,1.23,4.0570,0,18.50,28,67,27.07,14.90,0.1243
8944,9.41,14.16,7,15.43,67,850.0,1.10,1220,14.32,28288,1.24,4.3838,0,18.50,28,70,27.46,14.90,0.1188
9049,9.41,14.16,7,19.01,67,850.0,1.14,1024,14.32,28160,1.22,4.6130,0,18.00,28,82,24.59,17.25,0.1107
9152,9.41,14.08,7,19.80,67,850.0,1.16,836,14.59,30144,1.21,4.5773,0,18.00,28,90,18.65,20.78,0.0799
9257,9.41,13.84,7,19.80,67,850.0,1.17,670,14.58,30080,1.20,4.6240,0,18.00,28,92,15.08,20.78,0.0814
9360,9.41,13.04,7,19.84,67,850.0,1.16,514,14.51,29504,1.16,4.5553,0,18.00,28,94,11.61,20.78,0.0648
9465,9.41,13.84,7,19.68,67,850.0,1.15,540,14.59,30080,1.16,4.3530,0,18.00,28,95,9.07,21.57,0.0247
9570,9.41,14.56,7,19.56,67,850.0,1.15,738,14.55,29824,1.19,4.4638,0,18.00,28,93,12.41,20.78,0.0419
9673,7.06,14.16,7,9.08,67,850.0,1.17,934,14.55,29888,1.20,4.6117,0,18.00,28,85,16.84,16.86,0.0752
9777,0.00,14.24,7,5.53,67,850.0,1.19,1195,14.55,29696,1.21,4.6390,0,19.00,28,67,21.19,8.24,0.0632
9881,0.00,14.24,7,5.89,67,850.0,1.19,1452,14.58,29952,1.06,4.4372,0,20.00,28,51,26.49,5.88,0.0224
9985,0.00,14.24,7,7.12,67,850.0,1.08,1536,14.82,31616,0.91,3.4090,13,20.00,28,40,22.11,6.27,-0.1251
10090,3.92,14.16,7,29.00,67,850.0,0.93,1467,14.54,29760,0.94,2.6713,4,18.00,28,52,17.01,12.55,-0.1907
10194,23.14,14.24,7,29.55,67,850.0,0.99,1522,14.58,29952,1.24,3.9040,4,18.00,28,90,32.18,30.59,0.1045
10299,23.14,14.24,7,31.80,67,850.0,1.13,1794,14.58,30016,1.23,4.5907,4,10.50,28,91,37.63,31.37,0.1308
10402,25.10,14.24,7,15.43,67,850.0,1.25,1967,14.57,30016,1.22,4.9598,4,10.50,28,89,43.93,32.94,0.0892
10507,5.49,14.00,7,12.56,67,850.0,1.30,1986,14.55,29824,1.17,5.0400,4,10.50,28,67,44.39,14.12,0.0408
10610,5.49,14.24,7,14.14,67,850.0,1.27,1838,14.58,29952,1.09,4.6517,4,19.00,28,58,39.73,13.33,-0.0214
10715,8.24,14.24,7,15.74,67,850.0,1.21,1705,14.58,30016,1.13,4.3472,4,17.50,28,61,33.26,15.69,-0.0507
10818,9.02,14.16,7,16.96,67,850.0,1.22,1637,14.57,30144,1.17,4.6020,4,17.00,27,67,34.49,16.86,0.0120
10922,10.20,14.16,7,16.78,67,850.0,1.27,1568,14.55,29888,1.20,4.9135,4,16.00,27,72,36.08,17.65,0.0489
11027,10.20,14.16,7,16.55,67,850.0,1.33,1470,14.54,29888,1.20,5.1833,4,15.50,27,76,36.31,17.65,0.0562
11130,10.20,14.16,7,16.25,67,850.0,1.34,1330,14.35,28416,1.18,5.1982,4,15.50,27,79,32.45,17.25,0.0337
11234,10.20,14.32,7,15.78,67,850.0,1.34,1212,14.58,30080,1.16,5.1530,4,15.50,27,81,27.66,16.47,0.0234
11338,10.20,14.16,7,15.96,67,850.0,1.33,1281,14.55,29888,1.17,5.0400,4,15.50,27,80,26.18,16.47,0.0069
11443,10.20,14.24,7,15.81,67,850.0,1.33,1430,14.59,30016,1.18,5.0842,4,15.50,27,78,30.45,16.47,0.0162
11546,10.20,14.16,7,15.88,67,850.0,1.35,1405,14.59,30080,1.18,5.1860,4,15.50,27,77,32.88,16.86,0.0250
11651,10.20,14.24,7,15.92,67,850.0,1.35,1418,14.56,29888,1.17,5.1770,4,15.50,27,77,31.60,16.86,0.0153
11754,10.20,14.24,7,16.13,67,850.0,1.36,1533,14.56,29824,1.18,5.2460,4,15.50,27,75,33.74,16.47,0.0204
11859,10.20,14.16,7,16.44,67,850.0,1.39,1586,14.58,30080,1.19,5.3617,4,15.50,27,74,36.99,17.25,0.0260
11963,10.20,14.16,7,16.42,67,850.0,1.41,1593,14.58,30016,1.18,5.4310,4,15.00,27,74,37.81,17.25,0.0229
12067,10.20,14.08,7,16.50,67,850.0,1.42,1628,14.80,31488,1.18,5.4728,4,15.00,27,73,38.21,17.25,0.0187
12172,10.20,14.24,7,16.68,67,850.0,1.42,1701,14.56,29696,1.18,5.4575,4,15.50,27,72,39.59,17.25,0.0109
12275,10.20,14.08,7,16.80,67,850.0,1.40,1758,14.57,30080,1.15,5.3068,4,15.50,27,71,40.21,17.65,-0.0077
12380,10.20,14.16,7,8.97,67,850.0,1.39,1776,14.58,30144,1.15,5.2180,4,16.00,27,70,40.52,17.65,-0.0102
12483,1.57,14.16,7,7.89,67,850.0,1.33,1818,14.57,30144,0.99,4.7008,4,17.00,27,51,37.77,9.02,-0.0468
12588,1.18,14.16,7,7.66,67,850.0,1.17,1749,14.56,29760,0.87,3.5213,4,18.50,27,42,27.24,8.24,-0.2135
12691,1.18,14.24,7,7.27,67,850.0,0.98,1740,14.59,30080,0.85,2.8098,4,18.50,27,37,20.49,7.84,-0.2230
12796,0.78,14.16,7,6.51,67,850.0,0.83,1838,14.59,30016,0.84,2.3193,4,20.00,27,31,18.40,7.06,-0.1774
12899,0.00,14.24,7,6.65,67,850.0,0.68,1826,14.56,29696,0.85,0.0000,4,20.00,27,25,14.82,6.67,-0.1804
13004,0.00,14.24,7,6.42,67,850.0,0.57,1737,14.57,30080,0.88,0.0000,4,20.00,27,24,12.23,7.06,-0.1406
13107,0.00,14.24,7,6.41,67,850.0,0.50,1605,14.60,29952,0.92,0.0000,13,20.00,27,24,11.33,7.06,-0.1011
13212,0.00,14.16,7,5.98,67,850.0,0.46,1546,14.32,28160,0.98,0.0000,13,20.00,27,26,10.70,7.06,-0.0638
13315,0.00,14.24,7,5.96,67,850.0,0.45,1451,14.33,28224,0.99,0.0000,13,20.00,27,26,10.94,6.27,-0.0211
13418,0.00,14.16,7,5.62,67,850.0,0.45,1371,14.59,30080,1.00,0.0000,13,20.00,27,27,10.41,6.27,0.0000
13523,0.00,14.24,7,5.33,67,850.0,0.45,1286,14.60,30144,1.00,0.0000,13,20.00,27,27,9.76,5.88,0.0000
13626,0.00,14.16,7,5.12,67,850.0,0.45,1210,14.58,29952,1.00,1.4708,13,20.00,27,28,9.25,5.49,0.0000
13731,0.00,14.24,7,5.00,67,850.0,0.45,1202,14.58,29952,1.00,1.4763,13,20.00,27,28,9.12,5.10,0.0000
13834,0.00,14.00,7,4.88,67,850.0,0.45,1165,14.59,30144,1.00,1.4763,13,19.50,27,27,8.92,5.10,0.0000
13939,0.00,14.16,7,4.85,67,850.0,0.45,1131,14.58,29952,1.00,1.4715,13,19.00,27,27,8.52,5.10,0.0000
14043,0.00,14.24,7,4.68,67,850.0,0.45,1101,14.57,30144,1.00,1.4632,13,18.00,27,27,8.23,5.10,0.0000
14146,0.00,14.24,7,4.60,67,850.0,0.44,1055,14.56,29888,1.00,1.4572,13,16.50,27,27,7.83,4.71,0.0000
14251,0.00,14.24,7,4.37,67,850.0,0.44,1006,14.69,30784,1.00,1.4498,13,15.50,27,28,7.55,4.71,0.0000
14354,0.00,14.16,7,4.41,67,850.0,0.44,968,14.59,30016,1.00,1.4492,13,15.00,27,28,7.29,4.31,0.0000
14459,0.00,14.24,7,4.50,67,850.0,0.44,916,14.56,29888,1.00,1.4485,13,15.00,27,28,7.03,4.31,0.0000
14562,0.00,14.32,7,4.53,67,850.0,0.44,882,14.57,30080,1.00,1.4492,13,15.00,27,29,6.75,4.71,0.0000
14666,0.00,14.16,7,4.48,67,850.0,0.45,854,14.60,30144,1.02,1.4625,13,15.00,27,30,6.71,4.71,0.0000
14770,0.00,14.16,7,4.48,67,850.0,0.46,834,14.12,26880,1.04,1.5275,13,15.00,27,31,6.73,4.71,0.0299
14874,0.00,14.00,7,4.48,67,850.0,0.46,818,14.10,27072,1.04,1.5677,13,15.00,27,31,6.87,4.71,0.0381
14978,0.00,14.16,7,4.49,67,850.0,0.47,804,14.12,27008,1.05,1.6182,13,15.00,27,32,6.93,4.71,0.0448
15082,0.00,14.16,7,4.48,67,850.0,0.48,801,14.12,27072,1.05,1.6643,13,15.00,27,33,6.99,4.71,0.0468
15186,0.00,14.24,7,4.48,67,850.0,0.50,801,14.09,26816,1.05,1.6970,13,15.00,27,34,7.13,4.71,0.0483
15290,0.00,14.32,7,4.48,67,850.0,0.51,814,14.08,26752,1.05,1.7295,13,15.00,27,34,7.28,4.71,0.0463
15394,0.00,14.32,7,4.49,67,850.0,0.52,824,13.88,25408,1.04,1.7538,13,15.00,27,34,7.50,4.71,0.0420
15498,0.00,14.16,7,4.49,67,850.0,0.52,836,14.13,26880,1.03,1.7743,13,15.00,27,34,7.58,4.71,0.0367
15601,0.00,14.16,7,4.50,67,850.0,0.53,841,14.12,26880,1.03,1.7797,13,15.00,27,34,7.58,4.71,0.0286
15706,0.00,14.16,7,4.50,67,850.0,0.53,846,14.11,26944,1.01,1.7595,13,15.00,27,34,7.64,4.71,0.0101
15809,0.00,14.24,7,4.50,67,850.0,0.53,856,14.12,27072,1.01,1.7668,13,15.00,27,33,7.69,4.71,0.0098
15913,0.00,14.24,7,4.48,67,850.0,0.53,865,14.11,26944,1.01,1.7657,13,15.00,27,33,7.58,4.71,0.0091
16018,0.00,14.16,7,4.50,67,850.0,0.53,868,14.10,26880,1.01,1.7635,13,15.00,27,33,7.67,4.71,0.0085
16121,0.00,14.16,7,4.51,67,850.0,0.53,871,14.14,27328,1.01,1.7575,13,15.00,27,33,7.63,4.71,0.0076
16226,0.00,14.24,7,4.48,67,850.0,0.53,873,14.37,28672,1.01,1.7472,13,15.00,27,32,7.65,4.71,0.0069
16329,0.00,14.24,7,4.48,67,850.0,0.53,873,14.12,26944,1.01,1.7380,13,15.00,27,33,7.54,4.71,0.0059
16433,0.00,14.16,7,4.26,67,850.0,0.53,875,14.10,26944,1.01,1.7363,13,15.00,27,33,7.67,4.71,0.0055
16537,0.00,14.24,7,4.28,67,850.0,0.53,879,14.12,27008,1.01,1.7388,9,15.00,27,33,7.80,4.31,0.0052
16641,0.00,14.24,7,4.24,67,850.0,0.53,888,14.10,26880,1.01,1.7370,9,15.00,27,32,7.74,4.31,0.0048
16745,0.00,14.16,7,4.24,67,850.0,0.53,894,14.10,26944,1.01,1.7292,9,15.00,27,32,7.76,4.31,0.0042
16849,0.00,14.16,7,4.26,67,850.0,0.52,894,14.09,26688,1.01,1.7185,9,15.00,27,32,7.60,4.31,0.0034
16953,0.00,14.24,7,4.28,67,850.0,0.52,895,14.13,27072,1.00,1.7045,9,15.00,27,31,7.61,4.31,0.0028
17057,0.00,14.16,7,4.27,67,850.0,0.51,890,14.12,26880,1.00,1.6653,9,15.00,27,31,7.43,4.31,0.0018
17161,0.00,14.16,7,4.24,67,850.0,0.51,881,14.11,27072,1.00,1.6485,9,15.00,27,31,7.30,4.31,-0.0126
17264,0.00,14.24,7,4.26,67,850.0,0.51,880,14.10,26880,1.00,1.6567,9,15.00,27,31,7.26,4.31,0.0000
17369,0.00,14.24,7,4.24,67,850.0,0.50,872,14.11,26880,1.00,1.6515,9,15.00,27,31,7.33,4.31,0.0000
17472,0.00,14.24,7,4.25,67,850.0,0.50,869,13.90,25536,1.00,1.6493,9,15.00,27,31,7.33,4.31,0.0000
17577,0.00,14.24,7,4.28,67,850.0,0.50,871,13.87,25344,1.00,1.6487,9,15.00,27,31,7.29,4.31,0.0000
17680,0.00,14.32,7,4.25,67,850.0,0.50,868,14.10,27008,1.00,1.6440,9,15.00,27,31,7.26,4.31,0.0000
17784,0.00,14.16,7,4.27,67,850.0,0.50,861,14.13,26880,1.00,1.6400,9,15.00,27,31,7.15,4.31,0.0000
17889,0.00,14.24,7,4.29,67,850.0,0.50,852,14.13,26880,1.00,1.6360,9,15.00,27,31,7.11,4.31,0.0000
17992,0.00,14.16,7,4.23,67,850.0,0.50,849,14.10,27008,1.00,1.6335,9,15.00,27,31,7.02,4.31,0.0000
18097,0.00,14.16,7,4.27,67,850.0,0.50,843,14.10,27072,1.00,1.6340,9,15.00,27,31,7.04,4.31,0.0000
18200,0.00,14.32,7,4.27,67,850.0,0.50,848,14.12,27072,1.00,1.6370,9,15.00,27,31,7.17,4.31,0.0000
18304,0.00,14.24,7,4.31,67,850.0,0.50,840,14.37,28608,1.00,1.6393,9,15.00,27,31,7.10,4.31,0.0000
18408,0.00,14.16,7,4.29,67,850.0,0.50,840,14.36,28608,1.00,1.6407,9,15.00,27,32,7.02,4.31,0.0000
18512,0.00,14.08,7,4.30,67,850.0,0.50,833,14.13,27008,1.00,1.6418,9,15.00,27,32,6.99,4.31,0.0000
18616,0.00,14.16,7,4.29,67,850.0,0.50,828,14.12,27008,1.00,1.6455,9,15.00,27,32,7.02,4.31,0.0000
18720,0.00,14.24,7,4.30,67,850.0,0.50,829,14.10,27008,1.00,1.6485,9,15.00,27,32,6.97,4.31,0.0000
18824,0.00,14.32,7,4.31,67,850.0,0.50,834,13.55,23424,1.00,1.6507,9,15.00,27,32,6.99,4.31,0.0000
18927,0.00,14.24,7,4.30,67,850.0,0.50,835,13.59,23680,1.00,1.6530,9,15.00,27,32,7.04,4.31,0.0000
19032,0.00,14.16,7,4.32,67,850.0,0.51,832,13.60,23616,1.00,1.6567,9,15.00,27,32,7.13,4.31,0.0000
19135,0.00,14.24,7,4.31,67,850.0,0.51,834,13.58,23360,1.00,1.6613,9,15.00,27,32,7.12,4.31,0.0000
19239,0.00,14.16,7,4.34,67,850.0,0.51,831,13.57,23424,1.00,1.6663,9,15.00,27,32,7.11,4.31,0.0000
19344,0.00,14.24,7,4.32,67,850.0,0.51,840,13.58,23296,1.00,1.6680,9,15.00,27,32,7.07,4.31,0.0000
19448,0.00,14.32,7,4.33,67,850.0,0.51,842,13.58,23488,1.00,1.6730,9,15.00,27,32,7.17,4.31,0.0013
19551,0.00,14.16,7,4.33,67,850.0,0.51,849,13.54,23040,1.00,1.6758,9,15.00,27,32,7.23,4.31,0.0014
19656,0.00,14.24,7,4.33,67,850.0,0.51,846,13.36,22016,1.00,1.6723,9,15.00,27,32,7.19,4.31,0.0000
19759,0.00,14.24,7,4.34,67,850.0,0.51,844,13.60,23552,1.00,1.6700,9,15.00,27,32,7.15,4.31,0.0000
19863,0.00,14.24,7,4.33,67,850.0,0.51,846,13.59,23680,1.00,1.6687,9,15.00,27,32,7.14,4.31,0.0000
19967,0.00,14.32,7,4.33,67,850.0,0.51,845,13.56,23488,1.00,1.6673,9,15.00,27,32,7.11,4.31,0.0000
