Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure Estimate (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Factory Processed MAP (4-byte)* (kPa absolute),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%)
1042,0.00,0.00,0.00,0.00,712,14.32,7,48,0.61,1300,14.52,29888,50.0,35.84,0.6550,2.56,2.0303,100.00,15.00,22,13.14,7.84
1146,0.00,0.00,0.00,0.00,712,14.40,7,48,0.61,1299,14.56,29824,50.0,35.76,0.6455,2.82,2.0248,100.00,15.00,22,13.18,7.84
1249,0.00,0.00,0.00,0.00,712,14.24,7,48,0.61,1294,14.54,29632,50.0,35.68,0.6668,2.56,2.0202,100.00,15.00,22,13.05,7.84
1354,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1292,14.52,29888,50.0,35.68,0.6455,2.56,2.0173,100.00,15.00,22,12.98,7.84
1458,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1284,14.56,29888,50.0,35.76,0.6525,2.56,2.0152,100.00,15.00,22,12.89,7.84
1561,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1277,14.56,29632,50.0,35.76,0.6478,2.56,2.0095,100.00,15.00,22,12.78,7.84
1666,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1275,14.53,29888,50.0,35.84,0.6408,2.56,2.0088,100.00,15.00,22,12.89,7.84
1769,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1280,14.55,29888,50.0,35.68,0.6478,2.56,2.0068,100.00,15.00,22,12.79,7.84
1873,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1280,14.57,29632,50.0,35.76,0.6455,2.56,2.0048,100.00,15.00,22,12.83,7.84
1977,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1268,14.52,29696,50.0,35.68,0.6382,2.56,2.0020,100.00,15.00,22,12.82,7.84
2081,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1271,14.31,28288,50.0,35.91,0.6430,2.56,2.0017,100.00,15.00,22,12.89,7.84
2186,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1268,14.34,29824,50.0,35.84,0.6550,2.56,2.0013,100.00,15.00,22,12.70,7.84
2291,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1266,14.53,29824,50.0,35.84,0.6645,2.56,1.9988,100.00,15.00,22,12.70,7.84
2394,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1262,14.55,29952,50.0,35.76,0.6478,2.56,1.9943,100.00,15.00,22,12.60,7.84
2499,0.00,0.00,0.00,0.00,712,14.24,7,48,0.60,1258,14.56,29696,50.0,35.68,0.6525,2.56,1.9875,100.00,15.00,22,12.43,7.84
2603,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1252,14.55,29824,50.0,35.68,0.6573,2.56,1.9895,100.00,15.00,22,12.65,7.84
2708,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1247,14.54,29952,50.0,35.76,0.6478,2.56,1.9898,100.00,15.00,22,12.50,7.84
2812,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1254,14.56,29760,50.0,35.84,0.6430,2.56,1.9905,100.00,15.00,22,12.45,7.84
2917,0.00,0.00,0.00,0.00,712,14.16,7,48,0.60,1252,14.55,29760,50.0,35.92,0.6620,2.56,1.9918,100.00,15.00,22,12.48,7.84
3021,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1245,14.54,31232,50.0,35.92,0.6645,2.56,1.9905,100.00,15.00,22,12.47,7.84
3125,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1249,14.58,29760,50.0,35.92,0.6455,2.56,1.9890,100.00,15.00,22,12.49,7.84
3229,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1253,14.53,29760,50.0,35.92,0.6455,2.56,1.9892,100.00,15.00,22,12.67,7.84
3332,0.00,0.00,0.00,0.00,712,14.16,7,48,0.60,1252,14.54,29824,50.0,35.92,0.6645,2.56,1.9890,100.00,15.00,22,12.47,7.84
3437,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1250,14.56,29888,50.0,35.92,0.6668,2.56,1.9895,100.00,15.00,22,12.49,7.84
3541,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1249,14.56,29760,50.0,35.92,0.6360,2.56,1.9905,100.00,15.00,22,12.54,7.84
3644,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1248,14.53,29952,50.0,35.92,0.6430,2.56,1.9908,100.00,15.00,22,12.55,7.84
3749,0.00,0.00,0.00,0.00,712,14.16,7,48,0.60,1245,14.57,29824,50.0,35.92,0.6620,2.56,1.9915,100.00,15.00,22,12.53,7.84
3852,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1248,14.56,29824,50.0,35.92,0.6598,2.56,1.9928,100.00,15.00,22,12.45,7.84
3956,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1245,14.54,29888,50.0,35.99,0.6478,2.56,1.9938,100.00,15.00,22,12.56,7.84
4060,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1255,14.56,29952,50.0,35.92,0.6382,2.56,1.9932,100.00,15.00,22,12.58,7.84
4164,0.00,0.00,0.00,0.00,712,14.24,7,48,0.60,1254,14.55,28096,50.0,35.84,0.6573,2.56,1.9903,100.00,15.00,22,12.50,7.84
4269,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1248,14.30,28352,50.0,35.92,0.6598,2.56,1.9895,100.00,15.00,22,12.63,7.84
4372,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1248,14.57,29888,50.0,35.92,0.6430,2.56,1.9875,100.00,15.00,22,12.51,7.84
4475,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1245,14.57,29760,50.0,35.92,0.6478,2.56,1.9843,100.00,15.00,22,12.49,7.84
4580,0.00,0.00,0.00,0.00,712,14.16,7,48,0.60,1250,14.54,29888,50.0,35.92,0.6598,2.56,1.9840,100.00,15.00,22,12.57,7.84
4684,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1253,14.56,29952,50.0,35.92,0.6573,2.56,1.9843,100.00,15.00,22,12.61,7.84
4788,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1253,14.57,29696,50.0,35.92,0.6430,2.56,1.9850,100.00,15.00,22,12.58,7.84
4892,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1252,14.54,29888,50.0,35.92,0.6455,2.56,1.9872,100.00,15.00,22,12.44,7.84
4995,0.00,0.00,0.00,0.00,712,14.16,7,48,0.60,1253,14.56,29888,50.0,35.92,0.6620,2.56,1.9868,100.00,15.00,22,12.57,7.84
5100,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1252,14.57,29824,50.0,35.84,0.6645,2.56,1.9840,100.00,15.00,22,12.59,7.84
5203,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1254,14.80,31424,50.0,35.92,0.6408,2.56,1.9812,100.00,15.00,22,12.52,7.84
5307,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1260,14.55,29952,50.0,35.84,0.6455,2.56,1.9798,100.00,15.00,22,12.50,7.84
5412,0.00,0.00,0.00,0.00,712,14.32,7,48,0.60,1264,14.58,29760,50.0,35.76,0.6430,2.56,1.9770,100.00,15.00,22,12.47,7.84
5515,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1261,14.52,29824,50.0,35.76,0.6502,2.56,1.9775,100.00,15.00,22,12.63,7.84
5620,0.00,0.00,0.00,0.00,712,14.40,7,48,0.60,1261,14.55,30016,50.0,35.60,0.6455,2.56,1.9768,100.00,15.00,22,12.66,7.84
5723,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1257,14.56,29824,50.0,35.68,0.6693,2.56,1.9745,100.00,15.00,22,12.62,7.84
5827,0.00,0.00,0.00,0.00,712,14.40,7,49,0.60,1258,14.56,29760,50.0,35.68,0.6430,2.56,1.9712,100.00,15.00,22,12.38,7.45
5932,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1257,14.55,30016,50.0,35.60,0.6455,2.56,1.9660,100.00,15.00,22,12.40,7.45
6035,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1250,14.57,29760,50.0,35.36,0.6478,2.56,1.9583,100.00,15.00,22,12.32,7.45
6138,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1245,14.55,29760,50.0,35.44,0.6455,2.56,1.9527,100.00,15.00,22,12.27,7.45
6243,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1243,14.53,29824,50.0,35.36,0.6430,2.56,1.9503,100.00,15.00,22,12.34,7.45
6347,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1238,14.33,28352,50.0,35.44,0.6430,2.56,1.9505,100.00,15.00,22,12.34,7.45
6450,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1242,14.56,29760,50.0,35.44,0.6382,2.56,1.9487,100.00,15.00,22,12.19,7.45
6555,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1241,14.54,29952,50.0,35.60,0.6620,2.56,1.9498,100.00,15.00,22,12.16,7.45
6659,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1238,14.58,29952,50.0,35.60,0.6478,2.56,1.9530,100.00,15.00,22,12.18,7.45
6762,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1234,14.57,29824,50.0,35.60,0.6430,2.56,1.9530,100.00,15.00,22,12.30,7.45
6867,0.00,0.00,0.00,0.00,712,14.24,7,49,0.59,1230,14.54,29888,50.0,35.68,0.6382,2.56,1.9540,100.00,15.00,22,12.30,7.45
6971,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1234,14.56,29952,50.0,35.68,0.6478,2.56,1.9532,100.00,15.00,22,12.16,7.45
7074,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1232,14.56,29824,50.0,35.84,0.6430,2.56,1.9563,100.00,15.00,22,12.28,7.45
7179,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1233,14.56,29824,50.0,35.84,0.6550,2.56,1.9595,100.00,15.00,22,12.21,7.45
7282,0.00,0.00,0.00,0.00,712,14.40,7,49,0.60,1238,14.55,31680,50.0,35.76,0.6430,2.56,1.9618,100.00,15.00,22,12.28,7.45
7386,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1240,14.59,29760,50.0,35.68,0.6360,2.56,1.9625,100.00,15.00,22,12.26,7.45
7491,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1240,14.54,29824,50.0,35.76,0.6455,2.56,1.9635,100.00,15.00,22,12.31,7.45
7594,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1240,14.54,29888,50.0,35.68,0.6502,2.56,1.9630,100.00,15.00,22,12.39,7.45
7699,0.00,0.00,0.00,0.00,712,14.40,7,49,0.60,1237,14.58,29824,50.0,35.68,0.6455,2.56,1.9578,100.00,15.00,22,12.22,7.45
7802,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1237,14.56,29888,50.0,35.60,0.6455,2.56,1.9570,100.00,15.00,22,12.27,7.45
7907,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1246,14.55,29952,50.0,35.60,0.6430,2.56,1.9572,100.00,15.00,22,12.34,7.45
8011,0.00,0.00,0.00,0.00,712,14.24,7,49,0.59,1244,14.57,29888,50.0,35.60,0.6573,2.56,1.9603,100.00,15.00,22,12.33,7.45
8115,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1246,14.57,29824,50.0,35.60,0.6478,2.56,1.9595,100.00,15.00,22,12.24,7.45
8219,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1237,14.55,30016,50.0,35.60,0.6478,2.56,1.9603,100.00,15.00,22,12.37,7.45
8322,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1238,14.58,29952,50.0,35.68,0.6430,2.56,1.9605,100.00,15.00,22,12.41,7.45
8427,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1240,14.39,28160,50.0,35.60,0.6360,2.56,1.9590,100.00,15.00,22,12.27,7.45
8531,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1239,14.31,28352,50.0,35.60,0.6550,2.56,1.9590,100.00,15.00,22,12.35,7.45
8634,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1240,14.57,30080,50.0,35.60,0.6478,2.56,1.9578,100.00,15.00,22,12.22,7.45
8739,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1240,14.57,29824,50.0,35.60,0.6478,2.56,1.9558,100.00,15.00,22,12.19,7.45
8844,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1239,14.54,30016,50.0,35.60,0.6408,2.56,1.9547,100.00,15.00,22,12.16,7.45
8949,0.00,0.00,0.00,0.00,712,14.16,7,49,0.59,1244,14.57,29952,50.0,35.68,0.6598,2.56,1.9555,100.00,15.00,22,12.29,7.45
9053,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1241,14.58,29824,50.0,35.60,0.6550,2.56,1.9595,100.00,15.00,22,12.43,7.45
9157,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1243,14.55,29952,50.0,35.52,0.6455,2.56,1.9598,100.00,15.00,22,12.38,7.45
9262,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1249,14.57,30016,50.0,35.60,0.6502,2.56,1.9578,100.00,15.00,22,12.27,7.45
9366,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1246,14.56,29824,50.0,35.52,0.6455,2.56,1.9572,100.00,15.00,22,12.29,7.45
9470,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1238,14.80,30080,50.0,35.44,0.6408,2.56,1.9545,100.00,15.00,22,12.27,7.45
9573,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1236,14.56,30016,50.0,35.44,0.6478,2.56,1.9525,100.00,15.00,22,12.25,7.45
9678,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1241,14.58,29888,50.0,35.60,0.6430,2.56,1.9513,100.00,15.00,22,12.27,7.45
9781,0.00,0.00,0.00,0.00,712,14.24,7,49,0.59,1235,14.55,29824,50.0,35.60,0.6550,2.56,1.9510,100.00,15.00,22,12.36,7.45
9885,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1233,14.56,30016,50.0,35.44,0.6430,2.56,1.9473,100.00,15.00,22,12.02,7.45
9990,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1229,14.19,26816,50.0,35.60,0.6668,2.56,1.9475,100.00,15.00,22,12.12,7.45
10093,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1230,14.54,29888,50.0,35.68,0.6502,2.56,1.9505,100.00,15.00,22,12.14,7.45
10198,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1224,14.56,30080,50.0,35.60,0.6382,2.56,1.9532,100.00,15.00,22,12.15,7.45
10303,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1229,14.58,29952,50.0,35.68,0.6455,2.56,1.9520,100.00,15.00,22,12.01,7.45
10407,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1229,14.10,26816,50.0,35.68,0.6693,2.56,1.9545,100.00,15.00,22,12.17,7.45
10510,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1229,14.53,29952,50.0,35.68,0.6502,2.56,1.9560,100.00,15.00,22,12.14,7.45
10614,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1234,14.35,28352,50.0,35.68,0.6430,2.56,1.9583,100.00,15.00,22,12.25,7.45
10719,0.00,0.00,0.00,0.00,712,14.32,7,49,0.60,1240,14.59,30080,50.0,35.68,0.6408,2.56,1.9583,100.00,15.00,22,12.26,7.45
10822,0.00,0.00,0.00,0.00,712,14.24,7,49,0.60,1239,14.54,29952,50.0,35.60,0.6550,2.56,1.9590,100.00,15.00,22,12.29,7.45
10927,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1236,14.58,29952,50.0,35.60,0.6478,2.56,1.9545,100.00,15.00,22,12.16,7.45
11031,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1230,14.58,29888,50.0,35.52,0.6430,2.56,1.9518,100.00,15.00,22,12.16,7.45
11134,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1235,14.56,30016,50.0,35.60,0.6478,2.56,1.9487,100.00,15.00,22,12.19,7.45
11239,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1240,14.58,30016,50.0,35.44,0.6478,2.56,1.9485,100.00,15.00,22,12.26,7.45
11342,0.00,0.00,0.00,0.00,712,14.16,7,49,0.59,1234,14.58,29824,50.0,35.28,0.6430,2.56,1.9473,100.00,15.00,22,12.19,7.45
11446,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1237,14.55,29952,50.0,35.36,0.6645,2.56,1.9467,100.00,15.00,22,12.15,7.45
11550,0.00,0.00,0.00,0.00,712,14.24,7,49,0.59,1234,14.78,31744,50.0,35.36,0.6502,2.56,1.9430,100.00,15.00,22,12.16,7.45
11654,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1236,14.58,29888,50.0,35.36,0.6455,2.56,1.9385,100.00,15.00,22,12.08,7.45
11758,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1232,14.56,29888,50.0,35.36,0.6408,2.56,1.9407,100.00,15.00,22,12.11,7.45
11861,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1233,14.56,29952,50.0,35.44,0.6502,2.56,1.9413,100.00,15.00,22,12.06,7.45
11966,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1230,14.58,29888,50.0,35.36,0.6408,2.56,1.9410,100.00,15.00,22,12.18,7.45
12070,0.00,0.00,0.00,0.00,712,14.24,7,49,0.59,1230,14.56,29952,50.0,35.44,0.6455,2.56,1.9415,100.00,15.00,22,12.18,7.45
12174,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1238,14.56,30080,50.0,35.44,0.6478,2.56,1.9410,100.00,15.00,22,11.96,7.45
12277,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1237,14.59,29888,50.0,35.44,0.6430,2.56,1.9413,100.00,15.00,22,12.10,7.45
12382,0.00,0.00,0.00,0.00,712,14.40,7,49,0.59,1240,14.57,29888,50.0,35.44,0.6550,2.56,1.9430,100.00,20.00,22,12.17,7.45
12486,0.00,0.00,0.00,0.00,712,14.32,7,49,0.59,1232,14.56,30144,50.0,34.57,0.6598,2.56,1.8362,100.00,21.00,22,11.79,4.71
12589,0.00,0.00,0.00,0.00,712,14.32,7,49,0.56,1206,14.59,29824,50.0,29.96,0.6408,2.30,1.6302,100.00,22.00,22,9.64,4.71
12693,0.00,0.00,0.00,0.00,712,14.40,7,49,0.53,1158,14.33,28288,50.0,28.05,0.6382,2.05,1.4808,100.00,22.50,22,8.31,5.49
12797,0.00,0.00,0.00,0.00,712,14.32,7,49,0.49,1108,14.32,29568,50.0,28.05,0.6408,2.05,1.4470,100.00,22.00,22,8.02,5.88
12901,0.00,0.00,0.00,0.00,712,14.40,7,49,0.47,1065,14.59,30016,50.0,28.53,0.6382,2.05,1.4303,100.00,21.50,22,7.72,5.88
13006,0.00,0.00,0.00,0.00,712,14.32,7,49,0.45,1030,14.57,29952,50.0,28.85,0.6598,2.05,1.4293,100.00,21.00,22,7.55,5.88
13109,0.00,0.00,0.00,0.00,712,14.32,7,49,0.45,996,14.57,30080,50.0,29.48,0.6525,2.05,1.4603,100.00,20.00,22,7.45,5.88
13212,0.00,0.00,0.00,0.00,712,14.40,7,49,0.45,968,14.12,26944,50.0,30.12,0.6360,2.05,1.4723,100.00,19.50,22,7.45,5.88
13317,0.00,0.00,0.00,0.00,712,14.40,7,50,0.45,945,14.10,24640,50.0,30.91,0.6620,2.05,1.5480,100.00,18.50,22,7.66,5.88
13421,0.00,0.00,0.00,0.00,712,14.32,7,50,0.46,922,13.56,23488,50.0,31.63,0.6312,2.30,1.6305,100.00,18.00,22,7.85,5.88
13525,0.00,0.00,0.00,0.00,712,14.32,7,50,0.47,900,13.67,23488,50.0,32.50,0.6573,2.30,1.6955,100.00,17.00,22,8.02,5.88
13629,0.00,0.00,0.00,0.00,712,14.40,7,50,0.49,891,13.57,23232,50.0,33.29,0.6715,2.30,1.7637,100.00,17.00,22,8.14,5.88
13732,0.00,0.00,0.00,0.00,712,14.40,7,50,0.50,883,13.56,23488,50.0,34.09,0.6360,2.56,1.8293,100.00,16.50,22,8.29,5.88
13837,0.00,0.00,0.00,0.00,712,14.32,7,50,0.52,880,13.95,26944,50.0,34.64,0.6525,2.56,1.8638,100.00,16.50,22,8.35,5.88
13941,0.00,0.00,0.00,0.00,712,14.32,7,50,0.53,874,14.09,26752,50.0,35.28,0.6668,2.56,1.9203,100.00,16.00,22,8.49,5.88
14044,0.00,0.00,0.00,0.00,712,14.40,7,50,0.55,878,14.09,26880,50.0,35.68,0.6288,2.56,1.9650,100.00,16.00,22,8.69,5.88
14149,0.00,0.00,0.00,0.00,712,14.40,7,50,0.56,881,14.12,26944,50.0,36.07,0.6312,2.56,1.9885,100.00,16.00,22,8.77,5.88
14252,0.00,0.00,0.00,0.00,712,14.32,7,50,0.57,886,14.11,26816,50.0,36.39,0.6382,2.56,2.0082,100.00,16.00,22,8.82,5.88
14356,0.00,0.00,0.00,0.00,712,14.32,7,50,0.58,894,14.09,26880,50.0,36.63,0.6455,2.56,2.0320,100.00,16.00,22,8.95,5.88
14461,0.00,0.00,0.00,0.00,712,14.40,7,50,0.59,900,14.58,30080,50.0,36.79,0.6335,2.82,2.0520,100.00,16.00,22,9.14,5.88
14564,0.00,0.00,0.00,0.00,712,14.32,7,50,0.59,910,14.58,29952,50.0,36.95,0.6525,2.82,2.0638,100.00,16.00,22,9.22,5.88
14668,0.00,0.00,0.00,0.00,712,14.32,7,50,0.60,918,14.56,29888,50.0,36.95,0.6598,2.56,2.0360,100.00,16.00,22,9.31,5.88
14773,0.00,0.00,0.00,0.00,712,14.40,7,50,0.60,928,14.54,29696,50.0,37.03,0.6312,2.82,2.0478,100.00,16.00,22,9.36,5.88
14876,0.00,0.00,0.00,0.00,712,14.24,7,50,0.61,930,14.34,28224,50.0,36.87,0.6382,2.82,2.0547,100.00,16.00,22,9.46,5.88
14980,0.00,0.00,0.00,0.00,712,14.40,7,50,0.61,939,14.58,29824,50.0,36.71,0.6335,2.82,2.0547,100.00,16.00,22,9.55,5.88
15083,0.00,0.00,0.00,0.00,712,14.32,7,50,0.61,944,14.56,30144,50.0,36.71,0.6693,2.82,2.0570,100.00,16.00,22,9.61,6.27
15188,0.00,0.00,0.00,0.00,712,14.32,7,50,0.61,956,14.59,29952,50.0,37.34,0.6360,2.82,2.0700,100.00,16.00,22,9.86,6.27
15292,0.00,0.00,0.00,0.00,712,14.40,7,50,0.61,970,14.57,29952,50.0,37.50,0.6430,2.82,2.0810,100.00,16.00,22,10.02,6.27
15395,0.00,0.00,0.00,0.00,712,14.32,7,50,0.62,979,14.56,30016,50.0,37.66,0.6360,2.82,2.0895,100.00,16.00,22,10.20,6.27
15500,0.00,0.00,0.00,0.00,712,14.32,7,50,0.62,984,14.60,30016,50.0,37.50,0.6740,2.82,2.0935,100.00,16.50,22,10.29,6.27
15604,0.00,0.00,0.00,0.00,712,14.40,7,50,0.62,995,14.57,29888,50.0,37.50,0.6360,2.82,2.0928,100.00,16.50,22,10.30,6.27
15708,0.00,0.00,0.00,0.00,712,14.32,7,50,0.62,1010,14.57,30016,50.0,37.19,0.6382,2.82,2.0848,100.00,16.50,22,10.31,6.27
15812,0.00,0.00,0.00,0.00,712,14.32,7,50,0.62,1016,14.83,31616,50.0,37.27,0.6360,2.82,2.0783,100.00,16.50,22,10.38,6.67
15915,0.00,0.00,0.00,0.00,712,14.32,7,50,0.62,1027,14.58,29760,50.0,37.34,0.6360,2.82,2.0747,100.00,16.50,22,10.51,6.67
16020,0.00,0.00,0.00,0.00,712,14.08,7,50,0.62,1040,14.56,30016,50.0,37.19,0.6573,2.82,2.0697,100.00,17.00,22,10.64,6.67
16125,0.00,0.00,0.00,0.00,712,14.32,7,50,0.62,1051,14.57,29952,50.0,37.03,0.6382,2.82,2.0585,100.00,17.00,22,10.71,6.67
16230,0.00,0.00,0.00,0.00,712,14.40,7,50,0.62,1061,14.59,29888,50.0,36.71,0.6408,2.82,2.0488,100.00,17.00,22,10.70,6.67
16333,0.00,0.00,0.00,0.00,712,14.32,7,50,0.61,1064,14.56,30016,50.0,36.47,0.6382,2.56,2.0303,100.00,17.50,22,10.59,6.67
16437,0.00,0.00,0.00,0.00,712,14.16,7,50,0.61,1071,14.59,30016,50.0,36.15,0.6645,2.56,1.9845,100.00,15.00,22,10.66,4.71
