Time (msec),AVLS Bank 0 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),AVLS Bank 1 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),Oil Switching Solenoid Valve (OSV) Current (Left) (mA),Oil Switching Solenoid Valve (OSV) Current (Right) (mA),Oil Switching Solenoid Valve (OSV) Duty (Left) (%),Oil Switching Solenoid Valve (OSV) Duty (Right) (%),Oil Temperature (C),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Selected Barometric Estimate (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h)
1976,1,1,0.00,1,52,756,0.00,0.00,0.00,5.12,0.0000,15.00,0,0,0,0,0.0,0.0,49,53.331,95.162,5.10,0
2081,1,1,0.00,1,52,764,0.00,0.00,0.00,4.86,0.0000,15.00,0,0,0,0,0.0,0.0,49,51.056,95.162,5.49,0
2184,1,1,0.00,1,52,750,0.00,0.00,0.00,4.61,0.0000,15.00,0,0,0,0,0.0,0.0,49,49.467,95.162,5.49,0
2287,1,1,0.00,1,52,722,0.00,0.00,0.00,4.35,0.0000,15.00,0,0,0,0,0.0,0.0,49,48.565,95.162,5.49,0
2392,1,1,0.00,1,52,715,0.00,0.00,0.00,4.35,0.0000,15.00,0,0,0,0,0.0,0.0,49,49.263,95.162,5.88,0
2496,1,1,0.00,1,52,721,0.00,0.00,0.00,4.10,0.0000,15.00,0,0,0,0,0.0,0.0,49,48.781,95.162,5.88,0
2600,1,1,0.00,1,52,728,0.00,0.00,0.00,4.10,0.0000,15.00,0,0,0,0,0.0,0.0,49,48.514,95.162,5.88,0
2704,1,1,0.00,1,52,750,0.00,0.00,0.00,3.84,0.0000,15.00,0,0,0,0,0.0,0.0,49,47.879,95.162,5.88,0
2807,1,1,0.00,1,52,766,0.00,0.00,0.00,3.84,0.0000,15.00,0,0,0,0,0.0,0.0,49,47.510,95.162,5.88,0
2912,1,1,0.00,1,52,782,0.00,0.00,0.00,3.84,0.0000,15.00,0,0,0,0,0.0,0.0,49,46.875,95.162,5.88,0
3016,1,1,0.00,1,52,805,0.00,0.00,0.00,3.84,0.0000,15.00,0,0,0,0,0.0,0.0,49,46.189,95.162,5.88,0
3120,1,1,0.00,1,52,816,0.00,0.00,0.00,3.58,0.0000,15.00,0,0,0,0,0.0,0.0,49,45.236,95.162,5.88,0
3225,1,1,0.00,1,52,829,0.00,0.00,0.00,3.58,0.0000,15.00,0,0,0,0,0.0,0.0,49,44.067,95.162,5.88,0
3329,1,1,0.00,1,52,837,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,44.232,95.162,5.88,0
3434,1,1,0.00,1,52,840,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,43.381,95.162,5.88,0
3537,1,1,0.00,1,52,834,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,43.063,95.162,5.88,0
3641,1,1,0.00,1,52,820,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,43.330,95.162,5.88,0
3744,1,1,0.00,1,52,820,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,44.651,95.162,6.67,0
3849,1,1,0.00,1,52,814,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,46.926,95.162,7.06,0
3953,1,1,0.00,1,52,832,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,47.561,95.162,6.67,0
4057,1,1,0.00,1,52,871,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,46.875,95.162,6.67,0
4160,1,1,0.00,1,52,908,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,46.189,95.162,6.67,0
4264,1,1,0.00,1,52,949,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,44.600,95.162,6.67,0
4369,1,1,0.00,1,52,988,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,49,42.110,95.162,6.27,0
4473,1,1,0.00,1,52,1023,0.00,0.00,0.00,3.07,0.0000,15.00,0,0,0,0,0.0,0.0,49,40.306,95.162,6.27,0
4576,1,1,0.00,1,52,1030,0.00,0.00,0.00,3.07,0.0000,15.00,0,0,0,0,0.0,0.0,49,39.835,95.162,6.27,0
4680,1,1,0.00,1,52,1032,0.00,0.00,0.00,3.07,0.0000,15.00,0,0,0,0,0.0,0.0,49,38.400,95.162,6.67,0
4785,1,1,0.00,1,52,1027,0.00,0.00,0.00,3.07,0.0000,15.00,0,0,0,0,0.0,0.0,49,38.400,95.162,6.67,0
4888,1,1,0.00,1,52,1018,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,39.149,95.162,6.67,0
4992,1,1,0.00,1,52,1015,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,38.615,95.162,6.67,0
5096,1,1,0.00,1,52,1008,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,38.400,95.162,6.67,0
5200,1,1,0.00,1,52,1002,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,38.451,95.162,6.67,0
5304,1,1,0.00,1,52,1010,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,38.933,95.162,6.67,0
5408,1,1,0.00,1,52,1013,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,39.149,95.162,6.67,0
5511,1,1,0.00,1,52,1022,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,38.298,95.162,6.67,0
5616,1,1,0.00,1,52,1025,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,37.929,95.162,6.27,0
5720,1,1,0.00,1,52,1034,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.976,95.162,6.27,0
5824,1,1,0.00,1,52,1034,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.125,95.162,5.88,0
5927,1,1,0.00,1,52,1033,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,36.023,95.162,6.27,0
6032,1,1,0.00,1,52,1028,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.439,95.162,5.88,0
6136,1,1,0.00,1,52,1024,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.172,95.162,5.88,0
6239,1,1,0.00,1,52,1025,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.337,95.162,5.88,0
6343,1,1,0.00,1,52,1015,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.121,95.162,5.88,0
6448,1,1,0.00,1,52,1006,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,34.854,95.162,5.88,0
6551,1,1,0.00,1,52,999,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,34.803,95.162,5.88,0
6655,1,1,0.00,1,52,996,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,34.803,95.162,5.88,0
6760,1,1,0.00,1,52,990,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.070,95.162,5.88,0
6863,1,1,0.00,1,52,980,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.070,95.162,5.88,0
6967,1,1,0.00,1,52,980,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.070,95.162,5.88,0
7071,1,1,0.00,1,52,972,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.121,95.162,5.88,0
7175,1,1,0.00,1,52,969,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,35.121,95.162,5.88,0
7278,1,1,0.00,1,52,966,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,34.803,95.162,5.49,0
7383,1,1,0.00,1,52,968,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,34.486,95.162,5.49,0
7487,1,1,0.00,1,52,967,14.53,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,34.486,95.162,5.49,0
7591,1,1,0.00,1,52,960,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,50,34.219,95.162,5.88,0
7695,1,1,0.00,1,52,960,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,20.4,20.4,50,34.752,95.162,5.88,0
7799,1,1,0.00,1,52,947,15.06,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,20.0,20.0,50,34.803,95.162,5.88,0
7902,1,1,0.00,1,52,945,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,19.2,19.6,50,35.070,95.162,5.88,0
8006,1,1,0.00,1,52,944,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,18.8,19.2,50,35.388,95.162,5.88,0
8110,1,1,0.00,1,52,943,15.05,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,18.4,18.8,50,35.388,95.162,5.88,0
8214,1,1,0.00,1,52,949,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,18.0,18.4,50,35.388,95.162,5.88,0
8318,1,1,0.00,1,52,948,15.54,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,18.0,18.0,50,35.439,95.162,5.49,0
8422,1,1,0.00,1,52,952,15.26,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,17.6,17.6,50,35.121,95.162,5.49,0
8527,1,1,0.00,1,52,952,15.30,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,17.3,17.6,50,34.803,95.162,5.49,0
8630,1,1,0.00,1,52,951,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,17.3,17.3,50,34.537,95.162,5.49,0
8734,1,1,0.00,1,52,947,15.53,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,16.9,17.3,50,34.537,95.162,5.49,0
8839,1,1,0.00,1,52,952,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,16.9,17.3,50,34.219,95.162,5.49,0
8944,1,1,0.00,1,52,946,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,16.9,16.9,50,34.486,95.162,5.49,0
9047,1,1,0.00,1,52,949,15.53,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,16.5,16.9,50,34.486,95.162,5.49,0
9152,1,1,0.00,1,52,948,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,224,16.5,16.9,50,34.219,95.162,5.49,0
9256,1,1,0.00,1,52,948,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.5,16.9,50,34.486,95.162,5.49,0
9359,1,1,0.00,1,52,945,15.52,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.5,16.5,50,34.435,95.162,5.49,0
9464,1,1,0.00,1,52,951,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.5,16.5,50,34.435,95.162,5.49,0
9568,1,1,0.00,1,52,950,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,50,34.168,95.162,5.49,0
9671,1,1,0.00,1,52,952,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,50,34.435,95.162,5.49,0
9776,1,1,0.00,1,52,951,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,50,34.435,95.162,5.49,0
9879,1,1,0.00,1,52,946,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,50,34.168,95.162,5.49,0
9984,1,1,0.00,1,52,947,15.52,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,50,34.435,95.162,5.49,0
10087,1,1,0.00,1,52,942,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,50,34.168,95.162,5.49,0
10192,1,1,0.00,1,52,944,15.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,50,33.749,95.162,5.49,0
10295,1,1,0.00,1,52,945,15.53,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,33.749,95.162,5.49,0
10399,1,1,0.00,1,52,943,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,33.749,95.162,5.49,0
10503,1,1,0.00,1,52,935,15.05,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,33.749,95.162,5.49,0
10607,1,1,0.00,1,52,938,14.82,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.370,95.162,5.10,0
10710,1,1,0.00,1,52,935,15.51,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.370,95.162,5.49,0
10815,1,1,0.00,1,52,936,15.10,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.435,95.162,5.10,0
10918,1,1,0.00,1,52,931,15.05,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.168,95.162,5.49,0
11023,1,1,0.00,1,52,927,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,33.775,95.162,5.49,0
11127,1,1,0.00,1,52,930,15.10,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.168,95.162,5.49,0
11230,1,1,0.00,1,52,924,15.05,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.168,95.162,5.10,0
11335,1,1,0.00,1,52,928,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.370,95.162,5.10,0
11438,1,1,0.00,1,52,930,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,50,34.370,95.162,5.10,0
11543,1,1,0.00,1,52,927,15.07,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
11646,1,1,0.00,1,52,929,15.32,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
11751,1,1,0.00,1,52,925,14.56,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
11854,1,1,0.00,1,52,924,15.05,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
11957,1,1,0.00,1,52,922,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
12062,1,1,0.00,1,52,916,14.56,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
12166,1,1,0.00,1,52,919,14.53,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
12270,1,1,0.00,1,52,914,14.54,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
12374,1,1,0.00,1,52,914,14.56,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.435,95.162,5.10,0
12478,1,1,0.00,1,52,910,14.52,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.219,95.162,5.10,0
12582,1,1,0.00,1,52,906,14.53,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.168,95.162,5.10,0
12686,1,1,0.00,1,52,908,14.32,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.435,95.162,5.10,0
12790,1,1,0.00,1,52,906,14.51,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.435,95.162,5.10,0
12895,1,1,0.00,1,52,912,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
12999,1,1,0.00,1,52,911,14.57,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.168,95.162,5.10,0
13102,1,1,0.00,1,52,909,14.53,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
13207,1,1,0.00,1,52,910,14.57,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
13310,1,1,0.00,1,52,911,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.584,95.162,5.10,0
13414,1,1,0.00,1,52,908,14.53,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.533,95.162,5.10,0
13519,1,1,0.00,1,52,905,14.57,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
13622,1,1,0.00,1,52,906,14.55,0.00,0.00,2.30,0.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
13726,1,1,0.00,1,51,905,14.53,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
13830,1,1,0.00,1,51,901,14.57,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
13934,1,1,0.00,1,51,902,14.54,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.168,95.162,5.10,0
14038,1,1,0.00,1,51,903,14.53,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
14141,1,1,0.00,1,51,910,14.57,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
14246,1,1,0.00,1,51,906,14.56,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
14350,1,1,0.00,1,51,908,14.54,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
14453,1,1,0.00,1,51,910,14.56,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.168,95.162,5.10,0
14557,1,1,0.00,1,51,909,14.56,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
14662,1,1,0.00,1,51,910,14.10,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
14766,1,1,0.00,1,51,912,14.38,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
14869,1,1,0.00,1,51,918,14.32,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
14973,1,1,0.00,1,51,916,14.55,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
15077,1,1,0.00,1,51,916,14.09,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
15182,1,1,0.00,1,51,912,14.09,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.483,95.162,5.10,0
15285,1,1,0.00,1,51,912,14.54,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
15389,1,1,0.00,1,51,916,14.09,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
15492,1,1,0.00,1,51,914,15.11,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
15597,1,1,0.00,1,51,918,14.53,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
15701,1,1,0.00,1,51,914,14.34,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.584,95.162,5.10,0
15806,1,1,0.00,1,51,916,14.10,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
15910,1,1,0.00,1,51,919,14.06,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
16015,1,1,0.00,1,51,914,14.10,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
16119,1,1,0.00,1,51,916,14.56,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.584,95.162,5.10,0
16224,1,1,0.00,1,51,912,14.07,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
16328,1,1,0.00,1,51,914,14.11,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
16431,1,1,0.00,1,51,914,14.08,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
16536,1,1,0.00,1,51,914,14.07,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
16640,1,1,0.00,1,51,920,14.10,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.584,95.162,5.10,0
16743,1,1,0.00,1,51,919,14.09,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.850,95.162,5.10,0
16848,1,1,0.00,1,51,924,14.06,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
16952,1,1,0.00,1,51,925,14.32,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.799,95.162,5.10,0
17056,1,1,0.00,1,51,925,14.10,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.584,95.162,5.10,0
17160,1,1,0.00,1,51,932,14.07,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.584,95.162,5.10,0
17264,1,1,0.00,1,51,915,14.09,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.533,95.162,5.10,0
17369,1,1,0.00,1,51,918,14.11,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
17472,1,1,0.00,1,51,919,14.53,0.00,0.00,2.56,1.0000,15.00,0,0,192,192,15.7,16.1,50,34.370,95.162,5.10,0
17576,1,1,0.00,1,51,917,14.10,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
17681,1,1,0.00,1,51,916,14.11,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
17785,1,1,0.00,1,51,915,14.32,0.00,0.00,2.30,1.0000,15.00,0,0,192,192,15.7,16.1,50,33.749,95.162,5.10,0
