Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (kPa absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
1974,11.76,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2077,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2181,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2285,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2389,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2493,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2598,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2701,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2806,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
2909,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
3013,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
3118,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
3221,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
3325,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
3429,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
3532,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
3637,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
3741,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
3845,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
3949,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
4052,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
4157,11.68,7,1,31,1.45,0,0.00,28864,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
4261,7.92,7,1,31,1.45,0,11.63,2496,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
4364,9.20,7,1,31,1.45,0,0.00,128,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
4468,9.68,7,1,31,1.45,0,0.00,128,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
4573,9.92,7,1,31,1.45,0,0.00,64,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,6.67,0.0000
4676,10.00,7,1,31,1.45,0,0.00,64,94.69,1.02,1.3720,1.28,0.0000,33.33,15.00,25,0.00,6.67,0.0000
4780,9.92,7,1,31,1.45,136,0.00,64,94.42,1.35,1.3005,1.28,0.0000,100.00,15.00,25,2.32,6.67,0.0000
4884,9.84,7,1,31,1.45,147,0.00,64,93.89,1.35,1.3242,1.28,0.0000,100.00,15.00,25,2.50,6.67,0.0000
4988,10.32,7,1,31,1.45,458,0.00,64,89.44,1.35,1.2490,11.01,0.0000,100.00,15.00,25,7.15,6.67,0.0000
5092,11.92,7,1,31,1.45,733,0.00,192,84.70,1.35,0.9008,7.94,7.0735,100.00,15.00,25,11.51,6.67,0.0000
5196,13.12,7,1,31,1.24,940,0.00,4160,74.42,1.53,0.7920,6.91,6.1465,100.00,15.00,25,14.97,7.06,0.0000
5300,13.68,7,1,31,1.19,998,0.00,4160,65.78,1.50,0.7065,6.40,5.7285,100.00,15.00,25,16.34,7.45,0.0000
5404,14.08,7,1,31,1.12,1052,0.00,4032,61.49,1.47,0.6668,5.89,5.3678,100.00,15.00,25,16.28,7.45,0.0000
5507,14.32,7,1,31,1.08,1090,0.00,3904,56.56,1.45,0.6693,5.63,5.0460,100.00,15.00,25,15.84,7.45,0.0000
5612,14.32,7,1,31,1.01,1109,0.00,3904,52.91,1.42,0.6502,5.38,4.6885,100.00,15.00,25,15.31,7.45,0.0000
5715,14.40,7,1,31,0.96,1101,0.00,3904,50.11,1.40,0.6382,4.86,4.3478,100.00,15.00,25,14.41,7.45,0.0000
5820,14.32,7,1,31,0.91,1087,0.00,3904,47.75,1.38,0.6668,4.61,4.0840,100.00,15.00,25,13.97,7.45,0.0000
5923,14.32,7,1,31,0.87,1068,0.00,3968,46.56,1.34,0.6218,4.35,3.7753,100.00,15.00,25,13.26,7.45,0.0000
6028,14.48,7,1,31,0.83,1047,0.00,3840,45.76,1.34,0.6265,4.10,3.6075,100.00,15.00,25,12.75,7.45,0.0000
6133,14.48,7,1,31,0.80,1032,0.00,3904,45.29,1.31,0.6382,4.10,3.4133,100.00,15.00,25,12.43,7.45,0.0000
6236,14.16,7,1,31,0.78,1014,0.00,3968,44.89,1.31,0.6240,3.84,3.3218,100.00,15.00,25,12.10,7.45,0.0000
6342,14.40,7,1,31,0.76,999,0.00,3712,44.65,1.29,0.6218,3.84,3.1655,100.00,15.00,25,11.78,7.45,0.0000
6447,14.40,7,1,31,0.74,984,0.00,3712,44.57,1.29,0.6502,3.84,3.1103,100.00,15.00,25,11.56,7.45,0.0000
6550,14.32,7,1,31,0.73,970,0.00,3712,44.65,1.26,0.6218,3.58,3.0105,100.00,15.00,25,11.36,7.45,0.0000
6654,14.40,7,1,31,0.72,960,0.00,3584,44.89,1.24,0.6502,3.58,2.9805,100.00,15.00,25,11.30,7.45,0.0000
6758,14.32,7,1,31,0.72,949,0.00,3904,45.05,1.24,0.6240,3.58,2.9118,100.00,15.00,25,11.19,7.45,0.0000
6861,14.40,7,1,31,0.72,946,0.00,3776,45.37,1.24,0.6478,3.58,2.9065,100.00,15.00,25,11.31,7.45,0.0000
6966,14.40,7,1,31,0.72,946,0.00,3776,45.60,1.22,0.6265,3.58,2.8600,100.00,15.00,25,11.38,7.45,0.0000
7069,14.40,7,1,31,0.72,945,0.00,3840,45.76,1.22,0.6525,3.58,2.8622,100.00,15.00,25,11.42,7.45,0.0000
7174,14.48,7,1,31,0.72,952,0.00,3712,45.92,1.20,0.6265,3.33,2.8265,100.00,15.00,25,11.51,7.45,0.0000
7278,14.32,7,1,31,0.72,959,0.00,3776,46.24,1.20,0.6478,3.58,2.8375,100.00,15.00,25,11.96,8.63,0.0000
7381,14.48,7,1,31,0.73,974,0.00,3520,47.83,1.19,0.6218,3.58,2.8313,100.00,15.00,25,12.40,8.63,0.0000
7486,14.40,7,1,31,0.74,1004,0.00,2176,48.62,1.19,0.6408,3.58,2.8710,100.00,15.00,25,12.99,9.02,0.0000
7589,14.40,7,1,31,0.75,1034,0.00,4992,49.10,1.17,0.6288,3.58,2.8712,100.00,15.00,25,13.50,9.02,0.0000
7693,14.48,7,1,31,0.76,1066,0.00,3712,49.10,1.16,0.6265,3.58,2.9235,100.00,15.00,25,14.05,9.02,0.0000
7797,14.48,7,1,31,0.77,1101,0.00,3712,48.78,1.16,0.6382,3.58,2.9255,100.00,15.00,25,14.39,9.02,0.0000
7901,14.48,7,1,31,0.78,1130,0.00,3712,48.46,1.15,0.6430,3.58,2.9150,100.00,15.00,25,14.67,9.02,0.0000
8006,14.48,7,1,31,0.78,1160,0.00,3648,47.75,1.15,0.6408,3.58,2.9232,100.00,15.00,25,14.95,9.02,0.0000
8110,14.40,7,1,31,0.78,1186,0.00,3648,46.88,1.14,0.6598,3.58,2.8900,100.00,15.00,25,15.04,8.63,0.0000
8214,14.32,7,1,31,0.77,1203,0.00,3648,45.92,1.13,0.6265,3.58,2.8785,100.00,15.00,25,14.92,8.63,0.0000
8318,14.40,7,1,31,0.76,1215,0.00,3648,44.81,1.13,0.6240,3.33,2.8035,100.00,15.00,25,14.54,8.63,0.0000
8422,14.40,7,1,31,0.75,1154,0.00,3712,43.78,1.12,0.6382,3.33,2.7308,100.00,15.00,25,14.21,8.63,0.0000
8526,14.40,7,1,31,0.74,1216,0.00,3648,43.14,1.12,0.6382,3.33,2.6765,100.00,15.00,25,14.06,8.63,0.0000
8630,14.24,7,1,31,0.72,1206,0.00,3584,42.82,1.11,0.6360,3.33,2.6118,100.00,15.00,25,13.90,9.02,0.0000
8735,14.40,7,1,31,0.71,1204,0.00,3520,42.67,1.10,0.6430,3.33,2.5617,100.00,15.00,25,14.04,9.02,0.0000
8839,14.48,7,1,31,0.71,1203,0.00,3584,42.67,1.10,0.6525,3.07,2.5393,100.00,15.00,25,14.01,9.02,0.0000
8943,14.40,7,1,31,0.70,1203,0.00,3584,42.67,1.10,0.6360,3.07,2.5097,100.00,15.00,25,13.88,9.02,0.0000
9046,14.40,7,1,31,0.70,1201,0.00,3648,42.90,1.09,0.6312,3.07,2.5035,100.00,15.00,25,13.95,9.02,0.0000
9151,14.40,7,1,31,0.70,1202,0.00,3584,42.98,1.09,0.6312,3.07,2.4865,100.00,15.00,25,13.97,9.02,0.0000
9254,14.40,7,1,31,0.70,1208,0.00,3584,42.98,1.08,0.6312,3.07,2.4740,100.00,15.00,25,14.00,9.02,0.0000
9359,14.40,7,1,31,0.70,1211,0.00,3584,43.06,1.08,0.6430,3.07,2.4725,100.00,15.00,25,14.07,9.02,0.0000
9462,14.48,7,1,31,0.70,1158,0.00,3520,43.06,1.08,0.6360,3.07,2.4580,100.00,15.00,25,14.08,9.02,0.0000
9566,14.40,7,1,31,0.70,1225,0.00,2496,42.98,1.07,0.6573,3.07,2.4468,100.00,15.00,25,14.11,9.02,0.0000
9671,14.40,7,1,31,0.70,1228,0.00,1792,42.98,1.07,0.6408,3.07,2.4428,100.00,15.00,25,14.17,9.02,0.0000
9774,14.48,7,1,31,0.70,1231,0.00,5056,42.98,1.07,0.6312,3.07,2.4315,100.00,15.00,25,14.33,9.02,0.0000
9877,14.32,7,1,31,0.70,1239,0.00,3456,43.06,1.07,0.6525,3.07,2.4205,100.00,15.00,25,14.49,9.02,0.0000
9982,14.48,7,1,31,0.70,1247,0.00,3584,42.98,1.07,0.6455,3.07,2.4223,100.00,15.00,25,14.51,9.02,0.0000
10086,14.40,7,1,31,0.70,1252,0.00,3584,42.98,1.06,0.6288,3.07,2.4127,100.00,15.00,25,14.43,9.02,0.0000
10190,14.48,7,1,31,0.69,1262,0.00,3648,42.82,1.06,0.6288,3.07,2.4095,100.00,15.00,25,14.53,9.02,0.0000
10294,14.32,7,1,31,0.69,1269,0.00,3520,42.82,1.06,0.6408,3.07,2.4152,100.00,15.00,25,14.58,9.02,0.0000
10397,14.48,7,1,31,0.69,1275,0.00,3584,42.75,1.06,0.6408,3.07,2.3893,100.00,15.00,25,14.60,9.41,0.0000
10502,14.40,7,1,31,0.69,1284,0.00,3584,42.85,1.05,0.6312,3.07,2.3830,100.00,15.00,25,14.61,9.41,0.0000
10605,14.40,7,1,31,0.69,1288,0.00,3456,42.59,1.05,0.6408,3.07,2.3690,100.00,15.00,25,14.66,9.41,0.0000
10710,14.48,7,1,31,0.69,1298,17.67,52992,42.27,1.05,0.6573,3.07,2.3530,100.00,15.00,25,14.57,9.02,0.0000
10813,14.48,7,1,31,0.68,1293,18.54,56192,41.92,1.05,0.6335,3.07,2.3425,100.00,15.00,25,14.68,9.41,0.0000
10918,14.32,7,1,31,0.68,1302,18.55,56064,42.03,1.05,0.6598,3.07,2.3253,100.00,15.00,25,14.52,9.02,0.0000
11021,14.40,7,1,31,0.68,1302,18.57,56064,41.95,1.05,0.6382,2.82,2.3133,100.00,15.00,25,14.52,9.02,0.0000
11125,14.40,7,1,31,0.67,1312,18.64,56128,42.06,1.04,0.6382,2.82,2.3025,100.00,15.00,25,14.58,9.02,0.0000
11229,14.48,7,1,31,0.67,1304,18.55,56000,41.71,1.04,0.6360,3.07,2.2917,100.00,15.00,25,14.62,9.02,0.0000
11334,14.48,7,1,31,0.67,1305,18.54,55808,41.63,1.04,0.6360,2.82,2.2797,100.00,15.00,25,14.47,9.02,0.0000
11437,14.40,7,1,31,0.67,1312,18.33,53056,41.40,1.04,0.6525,2.82,2.2840,100.00,15.00,25,14.44,9.02,0.0000
11541,14.40,7,1,31,0.67,1309,18.10,59904,41.24,1.04,0.6288,2.82,2.2563,100.00,15.00,25,14.30,9.02,0.0000
11645,14.40,7,1,31,0.66,1291,0.00,56192,41.00,1.04,0.6312,2.82,2.2405,100.00,15.00,25,14.13,9.02,0.0000
11749,14.40,7,1,31,0.66,1288,18.31,51456,41.00,1.04,0.6550,2.82,2.2298,100.00,15.00,25,14.14,9.02,0.0000
11853,14.32,7,1,31,0.66,1286,17.74,52864,40.92,1.04,0.6360,2.82,2.2230,100.00,15.00,25,13.82,9.02,0.0000
11958,14.32,7,1,31,0.66,1283,18.08,52992,41.00,1.03,0.6408,2.82,2.2168,100.00,15.00,25,13.96,9.02,0.0000
12061,14.48,7,1,31,0.66,1340,18.08,53056,40.92,1.03,0.6502,2.82,2.2110,100.00,15.00,25,13.95,9.02,0.0000
12164,14.40,7,1,31,0.65,1273,18.10,52864,40.92,1.03,0.6408,2.82,2.2088,100.00,15.00,25,13.94,9.02,0.0000
12269,14.40,7,1,31,0.65,1274,18.18,53056,40.92,1.03,0.6335,2.82,2.2045,100.00,15.00,25,14.02,9.02,0.0000
12373,14.32,7,1,31,0.66,1218,17.97,52992,41.00,1.03,0.6382,2.82,2.2067,100.00,15.00,25,14.03,9.02,0.0000
12476,14.40,7,1,31,0.66,1278,18.10,52928,41.00,1.03,0.6288,2.82,2.2102,100.00,15.00,25,13.98,9.02,0.0000
12581,14.40,7,1,31,0.66,1269,18.08,53184,41.00,1.03,0.6408,2.82,2.2075,100.00,15.00,25,13.90,9.02,0.0000
12686,14.32,7,1,31,0.66,1270,18.44,56064,40.92,1.03,0.6478,2.82,2.2025,100.00,15.00,25,13.82,9.02,0.0000
12789,14.40,7,1,31,0.66,1266,18.55,56000,41.00,1.03,0.6382,2.82,2.2000,100.00,15.00,25,13.80,9.02,0.0000
12894,14.48,7,1,31,0.66,1260,18.54,56128,40.84,1.03,0.6408,2.82,2.1975,100.00,15.00,25,13.75,9.02,0.0000
12997,14.40,7,1,31,0.66,1257,18.55,55936,41.00,1.03,0.6360,2.82,2.1965,100.00,15.00,25,13.82,9.02,0.0000
13102,14.40,7,1,31,0.66,1253,18.55,56128,40.92,1.03,0.6382,2.82,2.1997,100.00,15.00,25,13.87,9.02,0.0000
13205,14.40,7,1,31,0.66,1258,18.09,53056,41.00,1.02,0.6360,2.82,2.2027,100.00,15.00,25,13.92,9.02,0.0000
13309,14.48,7,1,31,0.66,1256,18.10,52992,41.00,1.02,0.6312,2.82,2.2037,100.00,15.00,25,13.86,9.02,0.0000
13413,14.32,7,1,31,0.66,1262,18.11,54592,41.00,1.02,0.6408,2.82,2.1993,100.00,15.00,25,13.73,9.02,0.0000
13517,14.48,7,1,31,0.66,1264,18.33,54656,40.81,1.02,0.6408,2.82,2.1955,100.00,15.00,25,13.75,9.02,0.0000
13620,14.40,7,1,31,0.66,1262,18.11,53120,41.00,1.02,0.6360,2.82,2.2077,100.00,15.00,25,13.95,9.02,0.0000
13725,14.40,7,1,31,0.66,1262,18.08,53056,41.00,1.02,0.6335,2.82,2.1905,100.00,15.00,25,13.83,9.02,0.0000
13828,14.24,7,1,31,0.66,1266,18.07,51520,40.92,1.02,0.6408,2.82,2.1877,100.00,15.00,25,13.79,9.02,0.0000
13933,14.48,7,1,31,0.66,1266,17.86,51328,40.92,1.02,0.6360,2.82,2.1850,100.00,15.00,25,13.93,9.02,0.0000
14036,14.48,7,1,30,0.66,1272,18.09,53184,40.92,1.02,0.6312,2.82,2.1833,100.00,15.00,25,13.82,8.63,0.0000
14141,14.32,7,1,30,0.66,1264,18.11,52992,40.76,1.02,0.6382,2.82,2.1790,100.00,15.00,25,13.81,9.02,0.0000
14244,14.48,7,1,30,0.65,1265,18.10,52992,40.76,1.02,0.6382,2.82,2.1768,100.00,15.00,25,13.71,8.63,0.0000
14349,14.40,7,1,30,0.65,1262,17.82,49664,40.84,1.02,0.6360,2.82,2.1738,100.00,15.00,25,13.83,9.02,0.0000
14453,14.40,7,1,30,0.65,1262,17.98,53056,40.84,1.02,0.6382,2.82,2.1730,100.00,15.00,25,13.80,8.63,0.0000
14556,14.40,7,1,30,0.65,1268,17.57,49536,40.84,1.02,0.6382,2.82,2.1723,100.00,15.00,25,13.79,8.63,0.0000
14660,14.40,7,1,30,0.65,1270,17.57,49536,40.68,1.02,0.6335,2.82,2.1690,100.00,15.00,25,13.81,8.63,0.0000
14764,14.40,7,1,30,0.65,1262,17.10,46464,40.68,1.01,0.6382,2.82,2.1633,100.00,15.00,25,13.71,8.63,0.0000
14868,14.40,7,1,30,0.65,1263,17.09,46528,40.60,1.01,0.6408,2.82,2.1583,100.00,15.00,25,13.57,8.63,0.0000
14972,14.48,7,1,30,0.65,1262,17.08,46464,40.60,1.01,0.6478,2.82,2.1547,100.00,15.00,25,13.61,8.63,0.0000
15076,14.40,7,1,30,0.65,1265,18.11,53056,40.68,1.01,0.6335,2.82,2.1543,100.00,15.00,25,13.62,8.63,0.0000
15181,14.40,7,1,30,0.65,1263,17.07,46528,40.68,1.01,0.6430,2.82,2.1530,100.00,15.00,25,13.64,8.63,0.0000
15287,14.48,7,1,30,0.65,1256,16.80,44608,40.68,1.01,0.6382,2.82,2.1530,100.00,15.00,25,13.65,8.63,0.0000
15391,14.40,7,1,30,0.65,1253,16.57,42880,40.68,1.01,0.6382,2.82,2.1522,100.00,15.00,25,13.64,8.63,0.0000
15495,14.40,7,1,30,0.65,1251,16.55,43136,40.68,1.01,0.6360,2.82,2.1517,100.00,15.00,25,13.57,8.63,0.0000
15599,14.32,7,1,30,0.65,1257,16.58,42944,40.68,1.01,0.6478,2.82,2.1535,100.00,15.00,25,13.67,8.63,0.0000
15702,14.48,7,1,30,0.65,1254,16.56,43008,40.76,1.01,0.6502,2.82,2.1570,100.00,15.00,25,13.66,8.63,0.0000
15807,14.40,7,1,30,0.65,1248,16.55,43136,40.68,1.01,0.6312,2.82,2.1595,100.00,15.00,25,13.69,8.63,0.0000
15910,14.40,7,1,30,0.65,1246,16.56,42816,40.76,1.01,0.6360,2.82,2.1623,100.00,15.00,25,13.67,8.63,0.0000
16015,14.24,7,1,30,0.65,1252,16.33,41472,40.84,1.01,0.6478,2.82,2.1650,100.00,15.00,25,13.52,8.63,0.0000
16118,14.48,7,1,30,0.65,1253,16.31,43008,41.03,1.01,0.6550,2.82,2.1650,100.00,15.00,25,13.66,8.63,0.0000
16223,14.40,7,1,30,0.65,1259,16.58,43008,41.00,1.01,0.6335,2.82,2.1655,100.00,15.00,25,13.84,9.02,0.0000
16326,14.40,7,1,30,0.66,1260,16.54,43136,41.00,1.01,0.6240,2.82,2.1717,100.00,15.00,25,13.85,9.02,0.0000
16431,14.24,7,1,30,0.66,1259,16.58,43008,41.13,1.01,0.6408,2.82,2.1785,100.00,15.00,25,13.93,9.02,0.0000
16535,14.40,7,1,30,0.66,1263,16.58,43008,41.40,1.01,0.6360,2.82,2.1833,100.00,15.00,25,13.94,9.02,0.0000
16639,14.48,7,1,30,0.66,1267,16.55,43136,41.37,1.02,0.6360,2.82,2.2000,100.00,15.00,25,14.09,9.02,0.0046
16743,14.32,7,1,30,0.66,1218,16.57,42944,41.79,1.02,0.6382,2.82,2.2117,100.00,15.00,25,14.29,9.02,0.0056
16847,14.48,7,1,30,0.67,1288,16.69,43008,42.11,1.02,0.6312,2.82,2.2250,100.00,15.00,25,14.47,9.02,0.0071
16951,14.48,7,1,30,0.67,1288,16.55,43200,42.11,1.02,0.6335,2.82,2.2360,100.00,15.00,25,14.60,9.41,0.0076
17055,14.40,7,1,30,0.67,1294,16.58,43072,42.27,1.02,0.6430,2.82,2.2468,100.00,15.00,25,14.57,9.41,0.0083
17159,14.40,7,1,30,0.67,1301,16.57,43136,42.19,1.02,0.6360,2.82,2.2540,100.00,15.00,25,14.62,9.02,0.0082
17263,14.40,7,1,30,0.67,1313,16.54,43008,42.38,1.02,0.6573,2.82,2.2538,100.00,15.00,25,14.63,9.02,0.0078
17367,14.48,7,1,30,0.67,1317,16.70,44416,41.95,1.02,0.6382,2.82,2.2475,100.00,15.00,25,14.72,9.02,0.0065
17471,14.48,7,1,30,0.67,1324,16.86,43200,41.71,1.02,0.6335,2.82,2.2363,100.00,15.00,25,14.47,9.02,0.0046
17574,14.24,7,1,30,0.67,1330,16.56,43072,41.40,1.01,0.6360,2.82,2.2140,100.00,15.00,25,14.64,9.02,0.0000
17679,14.40,7,1,30,0.67,1320,16.48,43008,41.24,1.01,0.6288,2.82,2.2027,100.00,15.00,25,14.54,9.02,0.0000
17784,14.32,7,1,30,0.66,1323,16.56,43136,41.24,1.01,0.6382,2.82,2.1938,100.00,15.00,25,14.45,9.02,0.0000
17888,14.40,7,1,30,0.66,1324,16.57,39872,41.08,1.01,0.6335,2.82,2.1850,100.00,15.00,25,14.43,9.02,0.0000
17991,14.40,7,1,30,0.66,1326,16.12,39936,41.00,1.01,0.6360,2.82,2.1795,100.00,15.00,25,14.33,9.02,0.0000
18096,14.48,7,1,30,0.66,1317,16.06,38464,41.00,1.01,0.6265,2.82,2.1732,100.00,15.00,25,14.49,9.02,0.0000
18199,14.40,7,1,30,0.65,1315,15.87,38336,40.57,1.01,0.6408,2.82,2.1645,100.00,15.00,25,14.15,9.02,0.0000
18304,14.32,7,1,30,0.65,1321,16.10,40000,40.68,1.01,0.6408,2.82,2.1755,100.00,15.00,25,14.13,9.02,0.0000
18407,14.40,7,1,30,0.65,1315,16.09,40128,40.79,1.01,0.6408,2.82,2.1510,100.00,15.00,25,14.22,9.02,0.0000
18511,14.32,7,1,30,0.65,1313,16.11,40128,40.44,1.01,0.6382,2.82,2.1452,100.00,15.00,25,14.10,9.02,0.0000
18615,14.40,7,1,30,0.65,1312,16.11,40000,40.52,1.01,0.6335,2.82,2.1410,100.00,15.00,25,13.92,9.02,0.0000
18718,14.40,7,1,30,0.65,1310,15.66,36480,40.52,1.01,0.6620,2.82,2.1393,100.00,15.00,25,14.06,9.02,0.0000
18823,14.48,7,1,30,0.65,1304,15.58,36352,40.68,1.01,0.6573,2.82,2.1387,100.00,15.00,25,14.09,9.02,0.0000
18927,14.48,7,1,30,0.65,1298,15.66,36608,40.68,1.01,0.6408,2.82,2.1430,100.00,15.00,25,14.03,9.02,0.0000
19031,14.40,7,1,30,0.65,1304,15.58,36480,40.76,1.01,0.6408,2.82,2.1448,100.00,15.00,25,13.97,9.02,0.0000
