Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (psi absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
6342,14.48,7,1,31,0.82,1277,0.00,3584,6.78,1.14,0.6430,3.58,3.0640,100.00,15.00,23,17.41,9.41,0.0000
6446,14.48,7,1,31,0.82,1291,0.00,3712,6.72,1.13,0.6288,3.58,3.0320,100.00,15.00,23,17.50,9.41,0.0000
6550,14.32,7,1,31,0.82,1306,0.00,3584,6.67,1.12,0.6620,3.58,2.9970,100.00,15.00,23,17.61,9.41,0.0000
6653,14.40,7,1,31,0.82,1312,0.00,3712,6.63,1.12,0.6598,3.58,2.9815,100.00,15.00,23,17.70,9.41,0.0000
6758,14.40,7,1,31,0.81,1318,0.00,3776,6.59,1.11,0.6335,3.58,2.9450,100.00,15.00,23,17.65,9.41,0.0000
6862,14.40,7,1,31,0.81,1327,0.00,3712,6.56,1.11,0.6550,3.58,2.9167,100.00,15.00,23,17.81,9.80,0.0000
6965,14.40,7,1,31,0.81,1326,0.00,3648,6.58,1.10,0.6240,3.58,2.9145,100.00,15.00,23,17.95,9.80,0.0000
7070,14.40,7,1,31,0.81,1334,0.00,3712,6.56,1.10,0.6335,3.58,2.8915,100.00,15.00,23,17.92,9.80,0.0000
7173,14.48,7,1,31,0.80,1346,0.00,3648,6.53,1.09,0.6408,3.58,2.8662,100.00,15.00,23,15.43,9.80,0.0000
7277,14.32,7,1,31,0.80,1346,0.00,3648,6.50,1.09,0.6382,3.58,2.8373,100.00,15.00,23,17.67,9.41,0.0000
7381,14.40,7,1,31,0.80,1350,0.00,3776,6.43,1.09,0.6382,3.58,2.8310,100.00,15.00,23,17.59,9.41,0.0000
7486,14.32,7,1,31,0.79,1358,0.00,3648,6.37,1.08,0.6382,3.33,2.7795,100.00,15.00,23,17.57,9.41,0.0000
7589,14.40,7,1,31,0.78,1350,0.00,3584,6.33,1.08,0.6265,3.33,2.7485,100.00,15.00,23,17.44,9.41,0.0000
7693,14.16,7,1,31,0.78,1347,0.00,3648,6.29,1.08,0.6382,3.33,2.7313,100.00,15.00,23,17.39,9.41,0.0000
7797,14.40,7,1,31,0.77,1357,0.00,3712,6.29,1.07,0.6382,3.33,2.7067,100.00,15.00,23,17.24,9.41,0.0000
7901,14.32,7,1,31,0.77,1347,0.00,3584,6.29,1.07,0.6408,3.33,2.7027,100.00,15.00,23,17.08,9.41,0.0000
8006,14.40,7,1,31,0.77,1351,0.00,3584,6.26,1.07,0.6265,3.33,2.6852,100.00,15.00,23,17.14,9.41,0.0000
8110,14.40,7,1,31,0.76,1360,0.00,3648,6.21,1.06,0.6620,3.33,2.6530,100.00,15.00,23,17.13,9.41,0.0000
8214,14.40,7,1,31,0.76,1353,0.00,3456,6.19,1.06,0.6360,3.33,2.6318,100.00,15.00,23,16.86,9.41,0.0000
8317,14.40,7,1,31,0.76,1355,0.00,1920,6.15,1.06,0.6360,3.33,2.6113,100.00,15.00,23,16.91,9.41,0.0000
8422,14.40,7,1,31,0.75,1364,0.00,5184,6.13,1.06,0.6335,3.33,2.5965,100.00,15.00,23,16.90,9.41,0.0000
8526,14.40,7,1,31,0.75,1361,0.00,3584,6.10,1.06,0.6408,3.33,2.5770,100.00,15.00,23,16.85,9.41,0.0000
8629,14.40,7,1,31,0.74,1357,0.00,3392,6.06,1.05,0.6360,3.33,2.5553,100.00,15.00,23,16.48,9.41,0.0000
8734,14.48,7,1,31,0.74,1362,0.00,3584,6.04,1.05,0.6312,3.07,2.5358,100.00,15.00,23,16.56,9.41,-0.0012
8839,14.40,7,1,31,0.74,1348,0.00,3648,6.03,1.05,0.6620,3.07,2.5230,100.00,15.00,23,16.42,9.41,0.0000
8943,14.48,7,1,31,0.73,1352,0.00,3584,6.03,1.05,0.6335,3.07,2.5080,100.00,15.00,23,16.41,9.41,0.0000
9047,14.40,7,1,31,0.73,1342,0.00,3584,6.03,1.05,0.6620,3.07,2.4985,100.00,15.00,23,16.25,9.41,0.0000
9151,14.48,7,1,31,0.73,1339,0.00,3648,6.04,1.05,0.6335,3.07,2.4920,100.00,15.00,23,16.06,9.02,0.0000
9256,14.40,7,1,31,0.73,1342,16.08,3776,6.00,1.04,0.6550,3.07,2.4825,100.00,15.00,23,16.25,9.02,0.0000
9361,14.48,7,1,31,0.73,1332,16.56,43136,5.99,1.04,0.6335,3.07,2.4715,100.00,15.00,23,15.94,9.02,0.0000
9464,14.32,7,1,31,0.73,1330,16.54,42944,6.00,1.04,0.6312,3.07,2.4668,100.00,15.00,23,16.06,9.02,0.0000
9568,14.48,7,1,31,0.72,1331,16.54,42816,6.02,1.04,0.6335,3.07,2.4590,100.00,15.00,23,15.93,9.02,0.0000
9672,14.40,7,1,31,0.72,1332,16.57,44608,6.00,1.04,0.6598,3.07,2.4555,100.00,15.00,23,16.10,9.02,0.0000
9777,14.48,7,1,31,0.72,1324,16.54,42880,6.00,1.04,0.6288,3.07,2.4512,100.00,15.00,23,15.82,9.02,0.0000
9882,14.40,7,1,31,0.72,1320,16.54,42752,6.02,1.04,0.6360,3.07,2.4493,100.00,15.00,22,15.92,9.02,0.0000
9986,14.40,7,1,31,0.72,1320,16.56,43008,6.04,1.04,0.6408,3.07,2.4512,100.00,15.00,23,16.05,9.02,0.0000
10090,14.40,7,1,31,0.72,1317,16.55,42880,6.05,1.04,0.6335,3.07,2.4500,100.00,15.00,23,15.87,9.02,0.0000
10194,14.32,7,1,31,0.73,1316,16.53,43136,6.06,1.03,0.6360,3.07,2.4520,100.00,15.00,23,15.85,9.02,0.0000
10298,14.40,7,1,31,0.73,1324,16.30,42880,6.08,1.03,0.6360,3.07,2.4527,100.00,15.00,22,16.13,9.02,0.0000
10401,14.40,7,1,31,0.73,1322,16.32,41280,6.07,1.03,0.6312,3.07,2.4543,100.00,15.00,22,16.09,9.02,0.0000
10506,14.48,7,1,31,0.73,1324,16.54,42880,6.07,1.03,0.6335,3.07,2.4577,100.00,15.00,22,16.27,9.02,0.0000
10610,14.40,7,1,31,0.73,1326,16.55,43008,6.06,1.03,0.6430,3.07,2.4563,100.00,15.00,22,16.02,9.02,0.0000
10716,14.40,7,1,31,0.73,1335,16.57,43136,6.06,1.03,0.6312,3.07,2.4537,100.00,15.00,22,16.30,9.02,0.0000
10820,14.40,7,1,31,0.73,1330,16.50,42944,6.05,1.03,0.6478,3.07,2.4530,100.00,15.00,22,16.23,9.02,0.0000
10924,14.40,7,1,31,0.73,1336,16.81,46464,6.03,1.03,0.6360,3.07,2.4455,100.00,15.00,22,16.16,9.02,0.0000
11029,14.40,7,1,31,0.73,1343,16.57,42944,6.03,1.03,0.6382,3.07,2.4410,100.00,15.00,22,16.27,9.02,0.0000
11135,14.48,7,1,31,0.73,1337,16.54,42816,6.02,1.03,0.6430,3.07,2.4363,100.00,15.00,22,16.18,9.02,0.0000
11238,14.40,7,1,31,0.72,1339,16.54,42944,5.99,1.03,0.6408,3.07,2.4287,100.00,15.00,22,16.06,9.02,0.0000
11343,14.48,7,1,31,0.72,1341,16.56,43200,5.99,1.03,0.6312,3.07,2.4217,100.00,15.00,22,16.25,9.02,0.0000
11447,14.48,7,1,31,0.72,1332,16.55,42880,5.99,1.02,0.6525,3.07,2.4173,100.00,15.00,22,15.95,9.02,0.0000
11552,14.48,7,1,31,0.72,1332,16.53,42880,5.99,1.02,0.6335,3.07,2.4105,100.00,15.00,22,15.80,9.02,0.0000
11655,14.48,7,1,31,0.72,1340,16.56,42944,5.98,1.02,0.6408,3.07,2.4053,100.00,15.00,22,16.07,9.02,0.0000
11761,14.48,7,1,31,0.72,1336,16.81,42944,5.96,1.02,0.6408,3.07,2.4022,100.00,15.00,22,16.02,9.02,0.0000
11864,14.48,7,1,31,0.72,1339,16.54,42752,5.95,1.02,0.6335,3.07,2.3992,100.00,15.00,22,15.91,9.02,0.0000
11969,14.40,7,1,31,0.72,1345,16.55,43072,5.95,1.02,0.6430,3.07,2.3950,100.00,15.00,22,16.16,9.02,0.0000
12073,14.48,7,1,31,0.72,1331,16.57,42944,5.93,1.02,0.6360,3.07,2.3875,100.00,15.00,22,15.79,9.02,0.0000
12176,14.48,7,1,31,0.72,1333,16.54,42880,5.92,1.02,0.6430,3.07,2.3820,100.00,15.00,22,15.82,9.02,0.0000
12280,14.48,7,1,31,0.71,1339,16.55,42816,5.91,1.35,0.6360,3.58,3.1245,100.00,15.00,22,15.91,9.02,0.0000
12385,14.40,7,1,31,0.71,1320,16.55,43008,5.84,1.34,0.6478,3.84,3.1195,100.00,15.00,22,15.48,8.63,0.0000
12488,14.40,7,1,31,0.71,1310,16.29,41280,5.92,1.35,0.6382,3.84,3.1205,100.00,15.00,22,15.63,9.41,0.0000
12592,14.40,7,1,31,0.72,1309,16.07,38336,6.04,1.35,0.6382,3.84,3.1763,100.00,15.00,22,16.19,9.41,0.0000
12696,14.40,7,1,31,0.72,1303,16.09,39936,6.17,1.35,0.6360,3.84,3.2157,100.00,15.00,22,16.25,9.41,0.0000
12800,14.48,7,1,31,0.74,1304,15.85,39680,6.25,1.35,0.6360,3.84,3.2633,100.00,15.00,22,16.55,9.41,0.0000
12904,14.40,7,1,31,0.74,1306,16.39,36160,6.30,1.35,0.6430,3.84,3.3058,100.00,15.00,22,16.74,9.41,0.0000
13008,14.40,7,1,31,0.75,1313,15.12,43072,6.37,1.35,0.6288,3.84,3.3350,100.00,15.00,22,17.01,9.41,0.0000
13111,14.32,7,1,31,0.76,1324,15.10,33280,6.38,1.35,0.6382,4.10,3.3487,100.00,15.00,22,17.03,9.41,0.0000
13216,14.40,7,1,31,0.77,1329,15.07,33280,6.37,1.31,0.6312,3.84,3.2890,100.00,15.00,22,17.12,9.41,0.0000
13319,14.40,7,1,31,0.77,1329,14.56,33408,6.36,1.29,0.6455,3.84,3.2357,100.00,15.00,22,17.27,9.41,0.0000
13424,14.48,7,1,31,0.77,1331,14.81,29760,6.35,1.29,0.6360,3.84,3.2400,100.00,15.00,22,17.00,9.41,0.0000
13528,14.40,7,1,31,0.77,1327,14.54,31296,6.35,1.26,0.6335,3.84,3.1888,100.00,15.00,22,17.08,9.41,0.0000
13631,14.40,7,1,31,0.77,1326,14.09,29696,6.34,1.24,0.6382,3.84,3.1400,100.00,15.00,22,17.22,9.41,0.0000
13736,14.48,7,1,31,0.78,1330,14.10,26624,6.38,1.24,0.6360,3.84,3.1450,100.00,15.00,22,17.28,9.41,0.0000
13840,14.32,7,1,31,0.78,1329,14.09,26752,6.38,1.22,0.6502,3.84,3.1013,100.00,15.00,22,17.26,9.41,0.0000
13944,14.40,7,1,31,0.78,1335,14.09,26688,6.38,1.21,0.6360,3.58,3.0623,100.00,15.00,22,17.37,9.41,0.0000
14048,14.24,7,1,31,0.78,1337,14.10,26880,6.38,1.21,0.6430,3.84,3.0257,100.00,15.00,22,17.24,9.41,0.0000
14152,14.40,7,1,31,0.78,1336,14.07,26688,6.40,1.19,0.6360,3.58,3.0253,100.00,15.00,22,17.23,9.41,0.0000
14256,14.40,7,1,31,0.78,1338,14.07,26624,6.37,1.18,0.6550,3.58,2.9880,100.00,15.00,22,17.25,9.41,0.0000
14359,14.40,7,1,31,0.78,1346,14.10,27072,6.37,1.16,0.6335,3.58,2.9523,100.00,15.00,22,17.40,9.41,0.0000
14464,14.32,7,1,31,0.78,1338,14.08,26752,6.36,1.16,0.6525,3.58,2.9475,100.00,15.00,22,17.11,9.41,0.0000
14567,14.32,7,1,31,0.78,1335,13.90,26624,6.34,1.15,0.6335,3.58,2.9170,100.00,15.00,22,17.21,9.41,0.0000
14672,14.40,7,1,31,0.78,1342,13.85,25344,6.36,1.14,0.6288,3.58,2.8910,100.00,15.00,22,17.49,9.41,0.0000
14776,14.40,7,1,31,0.78,1341,14.11,26944,6.37,1.14,0.6360,3.58,2.8822,100.00,15.00,22,17.31,9.41,0.0000
14880,14.32,7,1,31,0.78,1340,14.09,26752,6.35,1.13,0.6408,3.58,2.8630,100.00,15.00,22,17.30,9.41,0.0000
14984,14.40,7,1,31,0.78,1349,14.08,26880,6.34,1.12,0.6382,3.58,2.8385,100.00,15.00,22,17.44,9.41,0.0000
15087,14.32,7,1,31,0.78,1346,14.11,27072,6.33,1.12,0.6360,3.58,2.8167,100.00,15.00,22,17.39,9.41,0.0000
15191,14.40,7,1,31,0.77,1349,14.08,26624,6.33,1.11,0.6382,3.33,2.8133,100.00,15.00,22,17.29,9.41,0.0000
15296,14.40,7,1,31,0.77,1360,14.09,26944,6.31,1.11,0.6335,3.33,2.7905,100.00,15.00,22,17.48,9.41,0.0000
15399,14.40,7,1,30,0.77,1355,14.34,26944,6.29,1.10,0.6335,3.33,2.7650,100.00,15.00,22,17.23,9.41,0.0000
15503,14.32,7,1,30,0.77,1355,14.36,28608,6.26,1.10,0.6525,3.33,2.7540,100.00,15.00,22,17.24,9.41,0.0000
15608,14.40,7,1,30,0.77,1368,14.08,26880,6.25,1.09,0.6335,3.33,2.7317,100.00,15.00,22,17.28,9.41,0.0000
15711,14.24,7,1,30,0.76,1362,14.10,26880,6.22,1.09,0.6312,3.33,2.7092,100.00,15.00,22,17.20,9.41,0.0000
15816,14.40,7,1,30,0.76,1362,14.10,26816,6.20,1.09,0.6335,3.33,2.6873,100.00,15.00,22,17.04,9.41,0.0000
15919,14.48,7,1,30,0.76,1367,14.08,26752,6.17,1.08,0.6620,3.33,2.6755,100.00,15.00,22,17.12,9.41,0.0000
16024,14.40,7,1,30,0.76,1360,14.11,27008,6.15,1.08,0.6478,3.33,2.6543,100.00,15.00,22,17.01,9.41,0.0000
16127,14.48,7,1,30,0.75,1362,14.11,27008,6.15,1.08,0.6360,3.33,2.6380,100.00,15.00,22,17.04,9.41,0.0000
16232,14.40,7,1,30,0.75,1358,14.09,26816,6.14,1.07,0.6408,3.33,2.6313,100.00,15.00,22,17.08,9.41,0.0000
16335,14.40,7,1,30,0.75,1357,14.08,26944,6.15,1.07,0.6335,3.33,2.6193,100.00,15.00,22,16.96,9.41,0.0000
16440,14.32,7,1,30,0.75,1364,14.11,26880,6.15,1.07,0.6455,3.33,2.6067,100.00,15.00,22,17.07,9.41,0.0000
16544,14.40,7,1,30,0.75,1360,14.09,26624,6.11,1.06,0.6335,3.33,2.5928,100.00,15.00,22,16.86,9.41,0.0000
16647,14.32,7,1,30,0.75,1363,14.06,27072,6.08,1.06,0.6382,3.33,2.5827,100.00,15.00,22,16.90,9.41,0.0000
16751,14.32,7,1,30,0.74,1368,13.87,25472,6.07,1.06,0.6335,3.33,2.5660,100.00,15.00,22,16.82,9.41,0.0000
16856,14.40,7,1,30,0.74,1367,14.11,25216,6.05,1.06,0.6408,3.33,2.5528,100.00,15.00,22,16.65,9.41,0.0000
16959,14.48,7,1,30,0.74,1362,14.09,26688,6.05,1.06,0.6360,3.07,2.5417,100.00,15.00,22,16.57,9.41,0.0000
17064,14.48,7,1,30,0.74,1370,14.10,26944,6.05,1.05,0.6478,3.07,2.5285,100.00,15.00,22,16.71,9.41,0.0000
17169,14.40,7,1,30,0.73,1366,14.58,26752,6.02,1.05,0.6382,3.07,2.5165,100.00,15.00,22,16.64,9.41,0.0000
17272,14.48,7,1,30,0.73,1372,14.07,29824,6.02,1.05,0.6335,3.07,2.5115,100.00,15.00,22,16.61,9.41,0.0000
17376,14.40,7,1,30,0.73,1360,14.08,26944,6.03,1.05,0.6408,3.07,2.5040,100.00,15.00,22,16.54,9.41,0.0000
17481,14.40,7,1,30,0.73,1362,14.11,26752,6.04,1.05,0.6360,3.07,2.5010,100.00,15.00,22,16.58,9.41,0.0000
17584,14.32,7,1,30,0.73,1366,14.39,28160,6.04,1.05,0.6598,3.07,2.5118,100.00,15.00,22,16.63,9.41,0.0000
17689,14.40,7,1,30,0.73,1354,14.09,28544,6.04,1.04,0.6382,3.07,2.4977,100.00,15.00,22,16.61,9.41,0.0000
17792,14.32,7,1,30,0.73,1354,14.10,26880,6.05,1.04,0.6360,3.07,2.4935,100.00,15.00,22,16.60,9.41,0.0000
17896,14.40,7,1,30,0.73,1362,14.10,26752,6.04,1.04,0.6360,3.07,2.4860,100.00,15.00,22,16.58,9.02,0.0000
17999,14.32,7,1,30,0.73,1358,14.12,26688,6.03,1.04,0.6573,3.07,2.4830,100.00,15.00,22,16.52,9.41,0.0000
18104,14.48,7,1,30,0.73,1356,14.11,26944,6.03,1.04,0.6382,3.07,2.4790,100.00,15.00,22,16.49,9.41,0.0000
18207,14.48,7,1,30,0.73,1371,14.11,26752,6.02,1.04,0.6360,3.07,2.4743,100.00,15.00,22,16.71,9.41,0.0000
18312,14.40,7,1,30,0.73,1367,14.55,29888,6.00,1.04,0.6335,3.07,2.4708,100.00,15.00,22,16.50,9.41,0.0000
18415,14.48,7,1,30,0.73,1364,14.10,26944,5.99,1.04,0.6408,3.07,2.4635,100.00,15.00,22,16.46,9.41,0.0000
18520,14.40,7,1,30,0.73,1370,14.11,27008,6.00,1.03,0.6620,3.07,2.4570,100.00,15.00,22,16.59,9.02,0.0000
18623,14.40,7,1,30,0.73,1374,14.08,26816,5.98,1.03,0.6360,3.07,2.4525,100.00,15.00,22,16.61,9.41,0.0000
18728,14.32,7,1,30,0.73,1371,14.07,27008,5.96,1.03,0.6573,3.07,2.4423,100.00,15.00,22,16.40,9.02,0.0000
18832,14.40,7,1,30,0.72,1365,13.89,26752,5.91,1.03,0.6408,3.07,2.4303,100.00,15.00,22,16.31,9.02,0.0000
18935,14.16,7,1,30,0.72,1354,13.96,25216,5.91,1.03,0.6430,3.07,2.4192,100.00,15.00,22,16.15,9.02,0.0000
19040,14.48,7,1,30,0.72,1358,14.09,27008,5.93,1.03,0.6360,3.07,2.4133,100.00,15.00,22,16.21,9.41,0.0000
