Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure Estimate (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Factory Processed MAP (4-byte)* (kPa absolute),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%)
1976,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
2079,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
2183,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
2287,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
2392,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
2495,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
2599,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
2703,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
2807,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
2911,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
3014,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
3119,0.00,0.00,0.00,0.00,712,11.28,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
3222,0.00,0.00,0.00,0.00,712,11.36,7,15,1.52,0,0.00,18048,50.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
3326,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,7.32,1408,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
3430,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,256,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
3534,0.00,0.00,0.00,0.00,712,10.80,7,15,1.52,0,0.00,64,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,27,3.62,9.02
3638,0.00,0.00,0.00,0.00,712,8.88,7,15,1.52,0,0.00,64,0.0,95.16,0.0000,0.00,0.0000,0.00,0.00,27,3.62,9.02
3743,0.00,0.00,0.00,0.00,712,8.88,7,15,1.52,0,0.00,0,0.0,95.00,0.9770,0.00,0.0000,0.00,0.00,27,0.00,9.02
3847,0.00,0.00,0.00,0.00,712,9.60,7,15,1.52,0,0.00,64,0.0,95.00,1.5570,1.54,0.0000,0.00,16.50,27,0.00,9.02
3950,0.00,0.00,0.00,0.00,712,9.52,7,15,1.52,0,0.00,64,0.0,94.84,1.4158,1.54,0.0000,0.00,16.50,27,1.92,9.02
4053,0.00,0.00,0.00,0.00,712,9.84,7,15,1.52,106,0.00,64,0.0,94.84,1.4158,1.54,0.0000,100.00,16.50,27,2.36,9.02
4158,0.00,0.00,0.00,0.00,712,9.68,7,15,1.52,130,0.00,64,0.0,94.53,1.4078,1.28,0.0000,100.00,16.50,27,2.36,9.02
4262,0.00,0.00,0.00,0.00,712,9.76,7,15,1.52,148,0.00,64,0.0,94.05,1.3282,1.28,0.0000,100.00,16.50,27,2.69,9.02
4365,0.00,0.00,0.00,0.00,712,9.76,7,15,1.52,148,0.00,64,0.0,93.89,1.3760,18.43,16.9520,100.00,16.50,27,2.66,9.02
4469,0.00,0.00,0.00,0.00,712,10.00,7,15,1.52,290,0.00,64,0.0,88.17,1.3045,18.18,15.5008,100.00,16.50,27,7.93,9.02
4573,0.00,0.00,0.00,0.00,712,10.24,7,15,1.52,642,0.00,128,0.0,83.49,1.2370,15.87,13.1668,100.00,16.50,27,15.18,9.02
4677,0.00,0.00,0.00,0.00,712,12.00,7,15,1.31,908,0.00,4160,0.0,71.97,0.8083,13.31,11.3068,100.00,16.50,27,19.38,9.02
4781,0.00,0.00,0.00,0.00,712,13.52,7,15,1.26,1070,0.00,4096,0.0,66.02,0.6693,11.01,9.7095,100.00,16.50,27,20.29,9.41
4885,0.00,0.00,0.00,0.00,712,14.32,7,15,1.22,1114,0.00,4032,0.0,61.65,0.6145,9.22,32.3510,100.00,16.50,27,19.95,9.80
4989,0.00,0.00,0.00,0.00,712,14.56,7,15,1.18,1137,0.00,3904,0.0,58.39,0.6075,7.94,6.7370,100.00,16.50,27,19.09,9.80
5094,0.00,0.00,0.00,0.00,712,14.56,7,15,1.13,1142,0.00,3904,0.0,55.93,0.6098,6.66,5.8143,100.00,16.50,27,18.49,9.80
5198,0.00,0.00,0.00,0.00,712,14.64,7,15,1.08,1140,0.00,3840,0.0,54.58,0.6028,6.14,5.5145,100.00,16.50,27,17.64,9.80
5301,0.00,0.00,0.00,0.00,712,14.64,7,15,1.04,1119,0.00,3904,0.0,53.71,0.6525,5.89,5.3087,100.00,16.50,27,17.02,9.80
5405,0.00,0.00,0.00,0.00,712,14.56,7,15,1.00,1149,0.00,3904,0.0,53.39,0.6265,5.89,5.1067,100.00,16.50,27,16.31,9.80
5509,0.00,0.00,0.00,0.00,712,14.48,7,15,0.98,1064,0.00,3776,0.0,53.55,0.6003,5.63,4.9575,100.00,16.50,28,15.84,9.80
5612,0.00,0.00,0.00,0.00,712,14.40,7,15,0.96,1028,0.00,3904,0.0,53.63,0.6003,5.63,4.8630,100.00,16.50,28,15.51,9.80
5716,0.00,0.00,0.00,0.00,712,14.72,7,15,0.95,1003,0.00,3904,0.0,54.02,0.6265,5.38,4.6840,100.00,16.50,28,15.10,9.80
5820,0.00,0.00,0.00,0.00,712,14.40,7,15,0.94,988,0.00,3712,0.0,54.34,0.6003,5.38,4.6363,100.00,16.50,28,14.89,9.80
5925,0.00,0.00,0.00,0.00,712,14.64,7,15,0.93,981,0.00,3712,0.0,54.82,0.6288,5.12,4.6082,100.00,16.50,28,14.95,9.80
6028,0.00,0.00,0.00,0.00,712,14.48,7,15,0.93,972,0.00,3648,0.0,55.37,0.6003,5.12,4.5010,100.00,16.50,28,15.04,9.80
6133,0.00,0.00,0.00,0.00,712,14.64,7,15,0.93,974,0.00,3648,0.0,55.69,0.6430,5.12,4.5027,100.00,16.50,28,15.15,9.80
6237,0.00,0.00,0.00,0.00,712,14.56,7,15,0.93,983,0.00,3712,0.0,55.69,0.6003,5.12,4.5105,100.00,16.50,28,15.49,9.80
6340,0.00,0.00,0.00,0.00,712,14.48,7,15,0.93,996,0.00,3776,0.0,55.61,0.6003,5.12,4.5148,100.00,16.50,28,15.48,9.80
6445,0.00,0.00,0.00,0.00,712,14.64,7,15,0.93,1005,0.00,3712,0.0,55.45,0.6455,5.12,4.4268,100.00,16.50,28,15.71,9.80
6550,0.00,0.00,0.00,0.00,712,14.24,7,15,0.93,1013,0.00,3712,0.0,55.21,0.6050,5.12,4.4242,100.00,16.50,28,15.79,9.80
6653,0.00,0.00,0.00,0.00,712,14.56,7,15,0.93,1028,0.00,3776,0.0,54.82,0.6050,5.12,4.4168,100.00,16.50,29,15.91,9.80
6757,0.00,0.00,0.00,0.00,712,14.56,7,15,0.93,1039,0.00,3648,0.0,55.93,0.6525,4.86,4.3540,100.00,16.50,29,16.57,10.98
6861,0.00,0.00,0.00,0.00,712,14.48,7,15,0.93,1046,0.00,3648,0.0,56.72,0.6075,5.12,4.4088,100.00,16.50,29,17.04,10.59
6965,0.00,0.00,0.00,0.00,712,14.48,7,15,0.94,1067,0.00,2048,0.0,56.96,0.6028,5.12,4.4543,100.00,16.50,29,17.50,10.59
7069,0.00,0.00,0.00,0.00,712,14.48,7,15,0.95,1087,0.00,2112,0.0,56.96,0.6122,5.12,4.4305,100.00,16.50,29,15.46,10.98
7172,0.00,0.00,0.00,0.00,712,14.64,7,15,0.96,1111,0.00,3776,0.0,56.88,0.6145,5.12,4.4715,100.00,16.50,29,18.34,10.98
7276,0.00,0.00,0.00,0.00,712,14.56,7,15,0.97,1137,0.00,3712,0.0,56.41,0.6122,5.12,4.4947,100.00,16.50,29,18.58,10.98
7381,0.00,0.00,0.00,0.00,712,14.56,7,15,0.97,1160,0.00,3712,0.0,56.01,0.6145,5.12,4.4402,100.00,16.50,29,19.05,11.37
7485,0.00,0.00,0.00,0.00,712,14.64,7,15,0.97,1179,0.00,3712,0.0,55.69,0.6145,5.12,4.4497,100.00,16.50,29,19.36,11.37
7591,0.00,0.00,0.00,0.00,712,14.48,7,15,0.97,1197,0.00,3584,0.0,55.21,0.6122,5.12,4.4432,100.00,16.50,29,19.46,11.37
7695,0.00,0.00,0.00,0.00,712,14.48,7,15,0.97,1210,0.00,3648,0.0,54.90,0.6382,5.12,4.3598,100.00,16.50,29,19.47,11.37
7800,0.00,0.00,0.00,0.00,712,14.48,7,15,0.97,1222,0.00,3648,0.0,54.50,0.6122,4.86,4.3258,100.00,16.50,30,19.41,11.37
7904,0.00,0.00,0.00,0.00,712,14.56,7,15,0.96,1234,0.00,3648,0.0,54.34,0.6218,4.86,4.2897,100.00,16.50,30,19.48,11.37
8007,0.00,0.00,0.00,0.00,712,14.48,7,15,0.95,1246,0.00,3712,0.0,54.26,0.6122,4.86,4.2023,100.00,16.50,30,19.49,11.37
8111,0.00,0.00,0.00,0.00,712,14.64,7,15,0.95,1252,0.00,3520,0.0,54.10,0.6145,4.86,4.1753,100.00,16.50,30,19.43,11.37
8215,0.00,0.00,0.00,0.00,712,14.48,7,15,0.94,1248,0.00,3520,0.0,54.02,0.6408,4.86,4.1450,100.00,16.50,30,19.45,11.37
8319,0.00,0.00,0.00,0.00,712,14.64,7,15,0.94,1253,0.00,3584,0.0,53.94,0.6478,4.61,4.0755,100.00,16.50,30,19.53,11.37
8423,0.00,0.00,0.00,0.00,712,14.56,7,15,0.94,1260,0.00,3584,0.0,53.78,0.6122,4.61,4.0492,100.00,16.50,30,19.55,11.37
8526,0.00,0.00,0.00,0.00,712,14.56,7,15,0.93,1272,0.00,3520,0.0,53.71,0.6382,4.61,4.0267,100.00,16.50,30,19.71,11.37
8631,0.00,0.00,0.00,0.00,712,14.32,7,15,0.93,1274,0.00,3584,0.0,53.55,0.6170,4.61,3.9670,100.00,16.50,30,19.54,11.37
8735,0.00,0.00,0.00,0.00,712,14.56,7,15,0.93,1278,0.00,3520,0.0,53.55,0.6145,4.61,3.9530,100.00,16.50,30,19.58,11.37
8839,0.00,0.00,0.00,0.00,712,14.56,7,15,0.92,1279,0.00,3520,0.0,53.39,0.6122,4.61,3.8950,100.00,16.50,30,19.54,11.37
8943,0.00,0.00,0.00,0.00,712,14.40,7,15,0.92,1288,0.00,3520,0.0,53.23,0.6170,4.61,3.8698,100.00,16.50,31,19.62,11.37
9047,0.00,0.00,0.00,0.00,712,14.48,7,15,0.92,1299,0.00,3328,0.0,53.15,0.6170,4.35,3.8433,100.00,16.50,31,19.38,11.37
9150,0.00,0.00,0.00,0.00,712,14.56,7,15,0.91,1299,0.00,1920,0.0,52.91,0.6122,4.35,3.7818,100.00,16.50,31,19.58,11.37
9255,0.00,0.00,0.00,0.00,712,14.56,7,15,0.91,1299,0.00,5120,0.0,52.75,0.6192,4.35,3.7593,100.00,16.50,31,19.46,11.37
9359,0.00,0.00,0.00,0.00,712,14.56,7,15,0.90,1310,0.00,3456,0.0,52.75,0.6075,4.35,3.7390,100.00,16.50,31,19.76,11.37
9463,0.00,0.00,0.00,0.00,712,14.48,7,15,0.90,1314,0.00,3520,0.0,52.67,0.6455,4.35,3.6892,100.00,16.50,31,19.51,11.37
9567,0.00,0.00,0.00,0.00,712,14.56,7,15,0.90,1314,0.00,3584,0.0,52.59,0.6122,4.35,3.6743,100.00,16.50,31,19.44,11.37
9671,0.00,0.00,0.00,0.00,712,14.48,7,15,0.90,1316,0.00,3520,0.0,52.67,0.6430,4.35,3.6353,100.00,16.50,31,19.67,11.37
9775,0.00,0.00,0.00,0.00,712,14.56,7,15,0.89,1333,0.00,3584,0.0,52.59,0.6145,4.35,3.6238,100.00,16.50,31,19.71,11.37
9879,0.00,0.00,0.00,0.00,712,14.56,7,15,0.89,1328,0.00,3520,0.0,52.59,0.6192,4.35,3.6110,100.00,16.50,31,19.78,11.76
9983,0.00,0.00,0.00,0.00,712,14.56,7,15,0.89,1331,0.00,3584,0.0,52.43,0.6192,4.10,3.5733,100.00,16.50,31,19.64,11.37
10087,0.00,0.00,0.00,0.00,712,14.64,7,15,0.89,1338,0.00,3392,0.0,52.28,0.6455,4.10,3.5583,100.00,16.50,31,19.89,11.76
10191,0.00,0.00,0.00,0.00,712,14.56,7,15,0.89,1345,15.97,43008,50.0,52.28,0.6192,4.10,3.5205,100.00,16.50,31,19.56,11.37
10296,0.00,0.00,0.00,0.00,712,14.56,7,15,0.88,1349,16.56,42816,50.0,52.35,0.6430,4.10,3.5140,100.00,16.50,31,19.92,11.76
10400,0.00,0.00,0.00,0.00,712,14.56,7,15,0.88,1360,16.53,42880,50.0,52.59,0.6192,4.10,3.5100,100.00,16.50,31,19.96,11.76
10504,0.00,0.00,0.00,0.00,712,14.56,7,15,0.88,1352,16.54,44608,50.0,52.75,0.6192,4.10,3.4950,100.00,16.50,32,20.05,12.16
10608,0.00,0.00,0.00,0.00,712,14.48,7,15,0.88,1364,16.56,42880,50.0,52.75,0.6098,4.10,3.4933,100.00,16.50,32,20.31,11.76
10712,0.00,0.00,0.00,0.00,712,14.48,7,15,0.88,1372,16.53,42880,50.0,52.59,0.6192,4.10,3.4735,100.00,16.50,32,20.12,11.76
10816,0.00,0.00,0.00,0.00,712,14.56,7,15,0.88,1375,17.07,46464,50.0,52.59,0.6098,4.10,3.4647,100.00,16.50,32,20.18,11.76
10920,0.00,0.00,0.00,0.00,712,14.32,7,15,0.88,1376,16.56,42752,50.0,52.51,0.6192,4.10,3.4588,100.00,16.50,32,20.12,11.76
11024,0.00,0.00,0.00,0.00,712,14.64,7,15,0.88,1395,17.07,46336,50.0,52.35,0.6240,4.10,3.4265,100.00,16.50,32,20.17,11.76
11128,0.00,0.00,0.00,0.00,712,14.56,7,15,0.88,1388,17.07,46400,50.0,52.35,0.6145,4.10,3.4078,100.00,16.50,32,20.32,12.16
11233,0.00,0.00,0.00,0.00,712,14.48,7,15,0.87,1400,17.34,46720,50.0,52.20,0.6218,4.10,3.3795,100.00,16.50,32,19.98,12.16
11338,0.00,0.00,0.00,0.00,712,14.56,7,15,0.87,1410,16.82,50816,50.0,52.04,0.6478,4.10,3.3610,100.00,16.50,32,20.37,12.16
11443,0.00,0.00,0.00,0.00,712,14.64,7,15,0.87,1358,18.08,46976,50.0,52.04,0.6192,3.84,3.3435,100.00,16.50,32,20.30,12.16
11547,0.00,0.00,0.00,0.00,712,14.48,7,15,0.86,1412,17.10,46272,50.0,51.96,0.6265,3.84,3.3165,100.00,16.50,32,20.14,12.16
11650,0.00,0.00,0.00,0.00,712,14.56,7,15,0.86,1422,17.06,46336,50.0,51.88,0.6192,3.84,3.2550,100.00,16.50,32,20.31,12.16
11754,0.00,0.00,0.00,0.00,712,14.56,7,15,0.86,1428,17.08,46400,50.0,51.96,0.6098,3.84,3.2335,100.00,16.50,32,20.27,12.16
11858,0.00,0.00,0.00,0.00,712,14.56,7,15,0.86,1428,17.09,46400,50.0,51.88,0.6192,3.84,3.2250,100.00,16.50,32,20.48,12.16
11962,0.00,0.00,0.00,0.00,712,14.48,7,15,0.86,1429,17.06,46464,50.0,51.96,0.6335,3.84,3.2203,100.00,16.50,32,20.42,12.16
12067,0.00,0.00,0.00,0.00,712,14.64,7,15,0.86,1438,17.08,46336,50.0,51.96,0.6408,3.84,3.2077,100.00,16.50,32,20.63,12.16
12171,0.00,0.00,0.00,0.00,712,14.48,7,15,0.85,1443,18.07,52928,50.0,51.96,0.6122,3.84,3.2025,100.00,16.50,32,20.55,12.16
12275,0.00,0.00,0.00,0.00,712,14.56,7,15,0.85,1445,17.55,49536,50.0,51.88,0.6192,3.84,3.1865,100.00,16.50,32,20.66,12.16
12379,0.00,0.00,0.00,0.00,712,14.48,7,15,0.85,1448,18.07,52992,50.0,51.64,0.6455,3.84,3.1757,100.00,16.50,32,22.86,12.16
12483,0.00,0.00,0.00,0.00,712,14.56,7,15,0.85,1452,18.09,52800,50.0,51.56,0.6218,3.84,3.1553,100.00,16.50,32,20.60,12.16
12588,0.00,0.00,0.00,0.00,712,14.56,7,15,0.85,1457,18.09,52992,50.0,51.24,0.6430,3.84,3.1398,100.00,16.50,33,20.23,12.16
12692,0.00,0.00,0.00,0.00,712,14.56,7,15,0.84,1468,18.10,52992,50.0,50.93,0.6218,3.84,3.1172,100.00,16.50,33,20.08,12.16
12796,0.00,0.00,0.00,0.00,712,14.40,7,15,0.84,1456,18.09,52928,50.0,50.53,0.6122,3.84,3.0707,100.00,16.50,33,19.93,12.16
12900,0.00,0.00,0.00,0.00,712,14.48,7,15,0.83,1461,18.09,54464,50.0,50.53,0.6265,3.58,3.0707,100.00,16.50,33,20.00,12.16
13003,0.00,0.00,0.00,0.00,712,14.56,7,15,0.83,1455,17.56,49472,50.0,50.69,0.6218,3.58,3.0587,100.00,16.50,33,20.06,12.16
13108,0.00,0.00,0.00,0.00,712,14.48,7,15,0.83,1463,17.56,49408,50.0,50.69,0.6288,3.58,3.0522,100.00,16.50,33,19.88,12.16
13212,0.00,0.00,0.00,0.00,712,14.56,7,15,0.83,1451,17.54,49600,50.0,50.53,0.6145,3.58,3.0455,100.00,16.50,33,20.10,12.16
13317,0.00,0.00,0.00,0.00,712,14.56,7,15,0.83,1457,17.54,48832,50.0,50.37,0.6122,3.58,3.0303,100.00,16.50,33,19.55,11.76
13420,0.00,0.00,0.00,0.00,712,14.56,7,15,0.82,1448,17.29,48000,50.0,50.13,0.6455,3.58,3.0208,100.00,16.50,33,19.88,11.76
13524,0.00,0.00,0.00,0.00,712,14.56,7,15,0.82,1462,17.55,46528,50.0,50.05,0.6192,3.58,3.0000,100.00,16.50,33,19.70,11.76
13628,0.00,0.00,0.00,0.00,712,14.56,7,15,0.82,1448,17.11,46400,50.0,50.05,0.6192,3.58,2.9930,100.00,16.00,33,19.90,11.76
13732,0.00,0.00,0.00,0.00,712,14.32,7,15,0.82,1451,17.08,46464,50.0,49.97,0.6122,3.58,2.9853,100.00,16.00,33,19.62,11.76
13836,0.00,0.00,0.00,0.00,712,14.56,7,15,0.82,1444,17.09,46528,50.0,50.05,0.6192,3.58,2.9813,100.00,16.00,33,19.67,11.76
13939,0.00,0.00,0.00,0.00,712,14.64,7,15,0.81,1454,17.09,46272,50.0,49.73,0.6360,3.58,2.9700,100.00,16.00,33,19.47,11.76
14044,0.00,0.00,0.00,0.00,712,14.48,7,15,0.81,1440,17.10,46464,50.0,49.73,0.6192,3.58,2.9605,100.00,16.00,33,19.54,11.76
14148,0.00,0.00,0.00,0.00,712,14.32,7,15,0.81,1439,16.55,43072,50.0,49.73,0.6122,3.58,2.9580,100.00,16.00,33,19.21,11.76
14252,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1430,17.10,46400,50.0,49.73,0.6218,3.58,2.9550,100.00,16.00,33,19.34,11.76
14356,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1432,16.55,42944,50.0,49.73,0.6240,3.58,2.9560,100.00,16.00,33,19.26,11.76
14460,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1420,16.55,43008,50.0,49.81,0.6145,3.58,2.9565,100.00,16.50,33,19.30,11.37
14563,0.00,0.00,0.00,0.00,712,14.48,7,15,0.81,1419,16.58,42880,50.0,49.81,0.6382,3.58,2.9580,100.00,16.50,33,19.17,11.76
14668,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1418,16.53,42880,50.0,49.81,0.6240,3.58,2.9588,100.00,16.50,33,19.23,11.37
14771,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1431,17.10,46592,50.0,49.73,0.6098,3.58,2.9472,100.00,16.50,33,19.22,11.37
14876,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1416,16.58,42880,50.0,49.65,0.6122,3.58,2.9405,100.00,16.50,33,19.06,11.37
14979,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1418,16.54,43072,50.0,49.58,0.6218,3.58,2.9325,100.00,16.00,33,18.99,11.37
15083,0.00,0.00,0.00,0.00,712,14.48,7,15,0.81,1413,16.56,43008,50.0,49.50,0.6218,3.58,2.9312,100.00,16.50,33,19.00,11.37
15187,0.00,0.00,0.00,0.00,712,14.40,7,15,0.81,1408,16.57,42880,50.0,49.34,0.6098,3.58,2.9278,100.00,16.00,33,18.82,11.37
15291,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1468,16.54,43008,50.0,49.34,0.6240,3.58,2.9165,100.00,16.50,33,18.89,11.37
15395,0.00,0.00,0.00,0.00,712,14.48,7,15,0.81,1399,16.56,42816,50.0,49.34,0.6218,3.58,2.9180,100.00,16.50,33,18.96,11.37
15498,0.00,0.00,0.00,0.00,712,14.48,7,15,0.81,1403,16.33,41280,50.0,49.26,0.6218,3.58,2.9152,100.00,16.50,33,18.67,11.37
15603,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1396,16.31,40000,50.0,49.18,0.6218,3.58,2.9118,100.00,16.50,33,18.68,11.37
15706,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1400,16.23,43008,50.0,49.10,0.6145,3.58,2.9075,100.00,16.50,34,18.65,11.37
15811,0.00,0.00,0.00,0.00,712,14.48,7,15,0.80,1385,16.24,39872,50.0,49.10,0.6455,3.58,2.9010,100.00,16.50,34,18.57,11.37
15914,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1380,16.09,40128,50.0,49.10,0.6122,3.58,2.9022,100.00,16.50,34,18.58,11.37
16019,0.00,0.00,0.00,0.00,712,14.40,7,15,0.81,1380,16.11,39936,50.0,49.10,0.6192,3.58,2.9000,100.00,16.50,34,18.45,10.98
16122,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1375,16.09,39936,50.0,49.18,0.6218,3.58,2.9022,100.00,16.50,34,18.42,10.98
16226,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1363,16.07,40064,50.0,49.10,0.6122,3.58,2.9058,100.00,16.50,34,18.54,10.98
16331,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1362,16.11,39872,50.0,49.18,0.6430,3.58,2.8992,100.00,16.50,34,18.38,10.98
16434,0.00,0.00,0.00,0.00,712,14.56,7,15,0.81,1364,16.09,39936,50.0,48.94,0.6192,3.58,2.8992,100.00,17.00,34,18.41,10.98
16538,0.00,0.00,0.00,0.00,712,14.48,7,15,0.81,1362,15.54,36544,50.0,49.02,0.6240,3.58,2.8973,100.00,17.50,34,18.17,10.98
