Time (msec),CL/OL Fueling* (status),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor),Fuel Injector #1 Pulse Width (ms),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Engine Load (4-Byte)* (g/rev),Ignition Total Timing (degrees),Throttle Opening Angle (%),Accelerator Pedal Angle (%),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),IAM (4-byte)* (multiplier),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Vehicle Speed (km/h)
10090,7,19,1416,15.36,1.09,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,47.675,0
10194,7,19,1403,15.25,1.09,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,47.510,0
10298,7,19,1412,15.09,1.08,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,46.977,0
10402,7,19,1403,15.13,1.08,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,47.193,0
10507,7,19,1407,15.14,1.08,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,47.142,0
10611,7,19,1398,15.11,1.08,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,46.710,0
10715,7,19,1389,15.14,1.08,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.193,0
10818,7,19,1386,15.12,1.08,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.193,0
10922,7,19,1382,15.11,1.08,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.726,0
11026,7,19,1386,15.15,1.08,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.193,0
11130,7,19,1383,14.86,1.08,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,46.710,0
11234,7,19,1383,14.87,1.07,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,46.875,0
11339,7,19,1382,15.16,1.07,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,47.091,0
11443,7,19,1381,15.12,1.07,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,46.875,0
11547,7,19,1384,15.14,1.07,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,46.608,0
11650,7,19,1367,15.12,1.07,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,46.926,0
11756,7,19,1362,15.11,1.07,28,0.0000,3.58,1,0.83,15.00,10.20,0.00,0.00,0.00,0.0000,46.875,0
11859,7,19,1366,15.13,1.07,28,0.0000,3.58,1,0.83,15.00,10.20,0.00,0.00,0.00,0.0000,47.091,0
11964,7,19,1351,15.13,1.07,28,0.0000,3.58,1,0.83,15.00,10.20,0.00,0.00,0.00,0.0000,46.875,0
12068,7,19,1359,15.12,1.07,28,0.0000,3.58,1,0.83,15.00,10.20,0.00,0.00,0.00,0.0000,47.142,0
12172,7,19,1355,15.18,1.07,28,0.0000,3.58,1,0.83,15.00,10.20,0.00,0.00,0.00,0.0000,47.193,0
12277,7,19,1348,15.37,1.07,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,48.044,0
12380,7,19,1354,15.12,1.07,28,0.0015,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,48.095,0
12484,7,19,1352,15.16,1.07,28,0.0025,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,48.412,0
12588,7,19,1356,15.12,1.07,28,0.0031,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,48.197,0
12693,7,19,1374,15.13,1.07,28,0.0033,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,48.197,0
12798,7,19,1384,15.14,1.07,28,0.0035,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,48.197,0
12902,7,19,1387,15.12,1.07,28,0.0035,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,48.095,0
13006,7,19,1389,15.14,1.06,28,0.0030,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,47.828,0
13109,7,19,1393,15.14,1.06,28,0.0025,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,47.561,0
13214,7,19,1406,15.09,1.06,28,0.0018,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,46.977,0
13318,7,19,1404,14.90,1.06,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,47.726,0
13422,7,19,1412,15.14,1.06,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,47.510,0
13525,7,19,1404,15.14,1.06,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,46.926,0
13629,7,19,1402,15.15,1.06,28,0.0000,3.58,1,0.85,15.00,10.59,0.00,0.00,0.00,0.0000,47.142,0
13733,7,19,1404,15.14,1.06,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.193,0
13837,7,19,1406,15.13,1.06,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.926,0
13942,7,19,1415,15.16,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.091,0
14046,7,19,1404,15.13,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
14151,7,19,1410,15.15,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
14255,7,19,1404,15.16,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
14359,7,19,1413,15.37,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
14463,7,19,1400,15.15,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
14566,7,19,1406,15.14,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
14670,7,19,1409,15.12,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
14775,7,19,1408,14.63,1.05,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
14879,7,19,1418,15.14,1.05,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
14983,7,20,1410,15.13,1.05,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
15087,7,20,1411,15.16,1.05,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.291,0
15190,7,20,1406,15.14,1.05,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.557,0
15295,7,20,1412,15.12,1.05,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.557,0
15399,7,20,1399,14.91,1.05,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
15503,7,20,1394,14.90,1.04,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
15606,7,20,1394,15.15,1.04,28,0.0000,3.58,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
15710,7,20,1389,15.16,1.04,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,47.142,0
15814,7,20,1394,15.12,1.04,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,46.926,0
15918,7,20,1389,15.15,1.04,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,46.875,0
16022,7,20,1394,14.61,1.04,28,0.0000,3.58,1,0.84,15.00,10.20,0.00,0.00,0.00,0.0000,47.091,0
16126,7,20,1388,15.13,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.926,0
16230,7,20,1388,15.14,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.926,0
16334,7,20,1400,14.59,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.977,0
16439,7,20,1400,14.61,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.142,0
16543,7,20,1408,14.63,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.193,0
16646,7,20,1411,14.59,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.926,0
16751,7,20,1415,14.60,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
16855,7,20,1405,14.63,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.142,0
16960,7,20,1406,14.59,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.659,0
17063,7,20,1414,14.62,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.091,0
17167,7,20,1411,14.62,1.04,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
17271,7,20,1426,14.58,1.03,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
17376,7,20,1411,14.63,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
17479,7,20,1417,14.59,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
17583,7,20,1416,14.35,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.557,0
17687,7,20,1424,14.62,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
17792,7,20,1417,14.61,1.03,28,0.0000,3.58,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.342,0
17896,7,20,1427,14.60,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
18001,7,20,1426,14.62,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.342,0
18103,7,20,1424,14.62,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.506,0
18208,7,20,1412,14.62,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
18311,7,20,1419,14.61,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.342,0
18416,7,20,1426,14.60,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.506,0
18519,7,20,1427,14.87,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.291,0
18624,7,20,1423,14.62,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.506,0
18728,7,20,1420,14.59,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.557,0
18833,7,20,1412,14.62,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.240,0
18937,7,20,1410,14.60,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
19041,7,20,1418,14.60,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.926,0
19145,7,20,1411,14.63,1.03,28,0.0000,3.33,1,0.83,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
19248,7,20,1420,14.60,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
19352,7,20,1413,14.62,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
19456,7,20,1415,14.61,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.557,0
19559,7,20,1415,14.58,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
19665,7,20,1406,14.38,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
19768,7,20,1413,14.62,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
19872,7,20,1407,14.61,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.142,0
19976,7,20,1422,14.63,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.659,0
20080,7,20,1412,14.60,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
20184,7,20,1414,14.61,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
20287,7,20,1416,14.63,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
20391,7,20,1421,14.61,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.824,0
20496,7,20,1408,14.62,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.875,0
20600,7,20,1407,14.62,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,46.608,0
20704,7,20,1409,14.60,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.091,0
20807,7,20,1411,14.62,1.03,28,0.0000,3.33,1,0.84,15.00,10.59,0.00,0.00,0.00,0.0000,47.193,0
