Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor),Accelerator Pedal Angle (%),Combined Throttle Request (D2WD610H diagnostic)* (%),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Manifold Absolute Pressure (kPa)
4261,10.16,7,35,1.43,0,0.00,64,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
4366,9.84,7,35,1.43,0,0.00,64,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
4469,10.00,7,35,1.43,0,0.00,64,0.00,0.0000,0.00,26,0.00,6.27,0.0000,0.00,6.22,1328.1,0,95
4573,10.32,7,35,1.43,0,0.00,64,1.02,0.0000,15.00,26,2.72,6.27,0.0000,0.00,6.22,1328.1,0,94
4677,10.32,7,35,1.43,150,0.00,64,1.31,0.0000,15.00,26,10.31,6.27,0.0000,0.00,6.16,1328.1,0,93
4781,10.80,7,35,1.33,580,0.00,128,1.51,6.8255,15.00,26,16.07,6.27,0.0000,0.00,6.28,1328.1,0,84
4885,12.56,7,35,1.27,910,0.00,4160,1.50,6.2730,15.00,26,18.49,6.27,0.0000,0.00,6.61,1328.1,0,71
4989,13.28,7,35,1.22,1022,0.00,4096,1.50,5.9413,15.00,26,17.83,7.06,0.0000,0.00,6.93,1328.1,0,64
5093,13.36,7,35,1.15,1077,0.00,4160,1.46,5.5420,15.00,26,16.67,7.06,0.0000,0.00,6.94,1328.1,0,58
5197,13.36,7,35,1.09,1082,0.00,3968,1.43,5.1060,15.00,26,16.03,7.06,0.0000,0.00,6.94,1328.1,0,54
5300,13.44,7,35,1.03,1094,0.00,3968,1.41,4.7678,15.00,26,15.28,7.06,0.0000,0.00,6.94,1328.1,0,51
5405,13.36,7,35,0.97,1079,0.00,4032,1.38,4.4108,15.00,26,14.56,7.06,0.0000,0.00,6.94,1328.1,0,49
5509,13.52,7,35,0.93,1070,0.00,4096,1.36,4.1325,15.00,26,13.93,7.06,0.0000,0.00,6.94,1328.1,0,47
5612,13.60,7,35,0.88,1060,0.00,4096,1.34,3.8840,15.00,26,13.27,7.06,0.0000,0.00,6.94,1328.1,0,46
5716,13.60,7,35,0.86,1026,0.00,3968,1.28,3.5895,15.00,25,12.95,7.06,0.0000,0.00,6.99,1328.1,0,45
5821,13.60,7,35,0.83,1000,0.00,4032,1.28,3.4788,15.00,25,12.49,7.06,0.0000,0.00,6.99,1328.1,0,45
5925,13.60,7,35,0.81,974,0.00,4096,1.25,3.3425,15.00,25,12.25,7.06,0.0000,0.00,6.99,1328.1,0,45
6029,13.60,7,35,0.80,949,0.00,3904,1.25,3.2895,15.00,25,11.96,7.06,0.0000,0.00,6.99,1328.1,0,45
6132,13.68,7,35,0.80,930,0.00,3840,1.23,3.2037,15.00,25,11.89,7.06,0.0000,0.00,6.99,1328.1,0,45
6236,13.68,7,35,0.79,907,0.00,3840,1.23,3.1863,15.00,25,11.82,7.06,0.0000,0.00,6.99,1328.1,0,46
6340,13.60,7,35,0.79,899,0.00,3840,1.22,3.1355,15.00,25,11.75,7.06,0.0000,0.00,6.99,1328.1,0,46
6445,13.68,7,35,0.79,887,0.00,3904,1.22,3.1410,15.00,25,11.89,7.06,0.0000,0.00,6.99,1328.1,0,46
6548,13.68,7,35,0.80,884,0.00,3840,1.20,3.1095,15.00,25,11.95,7.06,0.0000,0.00,6.99,1328.1,0,47
6652,13.52,7,35,0.80,882,0.00,3904,1.20,3.1280,15.00,25,12.07,7.06,0.0000,0.00,6.99,1328.1,0,47
6756,13.68,7,35,0.80,887,0.00,3904,1.18,3.1080,15.00,25,12.09,7.06,0.0000,0.00,7.68,1328.1,13,47
6860,13.84,7,35,0.81,886,0.00,3840,1.18,3.1225,15.00,25,12.52,8.24,0.0000,0.00,8.04,1328.1,13,48
6964,13.76,7,35,0.82,897,0.00,3968,1.17,3.1198,15.00,25,12.97,8.24,0.0000,0.00,8.12,1328.1,13,49
7068,13.84,7,35,0.83,916,0.00,3776,1.17,3.1408,15.00,25,13.46,8.24,0.0000,0.00,8.19,1328.1,13,50
7171,14.00,7,35,0.84,941,0.00,2240,1.16,3.1620,15.00,25,14.10,8.63,0.0000,0.00,8.20,1328.1,13,51
7276,14.00,7,35,0.85,973,0.00,2304,1.16,3.1852,15.00,25,14.64,8.63,0.0000,0.00,8.23,1328.1,13,51
7379,14.16,7,35,0.85,1003,0.00,4032,1.15,3.1855,15.00,25,15.06,8.24,0.0000,0.00,8.33,1328.1,13,51
7483,14.24,7,35,0.86,1034,0.00,3904,1.15,3.2193,15.00,25,15.29,8.63,0.0000,0.00,8.45,1328.1,13,51
7588,14.32,7,35,0.86,1065,0.00,3904,1.14,3.1947,15.00,25,15.55,8.63,0.0000,0.00,8.50,1328.1,13,50
7692,14.24,7,35,0.86,1091,0.00,3840,1.14,3.1923,15.00,25,15.72,8.63,0.0000,0.00,8.48,1328.1,13,50
7795,14.24,7,35,0.86,1119,0.00,3840,1.13,3.1550,15.00,25,15.80,9.02,0.0000,0.00,8.58,1328.1,13,49
7900,14.24,7,35,0.86,1140,0.00,3840,1.13,3.1343,15.00,25,15.86,9.02,0.0000,0.00,8.60,1328.1,13,48
8003,14.24,7,35,0.85,1160,0.00,3776,1.12,3.0833,15.00,25,15.92,9.02,0.0000,0.00,8.50,1328.1,13,48
8107,14.24,7,35,0.83,1178,0.00,3840,1.11,3.0285,15.00,24,15.86,9.02,0.0000,0.00,8.45,1328.1,13,47
8212,14.16,7,35,0.83,1192,0.00,3840,1.11,2.9905,15.00,24,15.68,8.63,0.0000,0.00,8.57,1328.1,13,46
8315,14.32,7,35,0.81,1199,0.00,3776,1.10,2.9398,15.00,24,15.65,8.63,0.0000,0.00,8.52,1328.1,13,46
8419,14.32,7,35,0.80,1200,0.00,3776,1.10,2.8860,15.00,24,15.64,8.63,0.0000,0.00,8.61,1328.1,13,45
8523,14.32,7,35,0.79,1204,0.00,3840,1.10,2.8342,15.00,24,15.51,9.02,0.0000,0.00,8.59,1328.1,13,45
8627,14.40,7,35,0.78,1205,0.00,3776,1.09,2.7915,15.00,24,15.41,9.02,0.0000,0.00,8.55,1328.1,13,45
8730,14.32,7,35,0.78,1207,0.00,3776,1.09,2.7648,15.00,24,15.46,9.02,0.0000,0.00,8.53,1328.1,13,45
8834,14.32,7,35,0.77,1209,0.00,3648,1.08,2.7325,15.00,24,15.18,9.02,0.0000,0.00,8.45,1328.1,13,44
8939,14.24,7,35,0.77,1213,0.00,3648,1.08,2.7035,15.00,24,15.22,8.63,0.0000,0.00,8.61,1328.1,13,44
9042,14.32,7,35,0.76,1216,0.00,3712,1.08,2.6800,15.00,24,15.15,8.63,0.0000,0.00,8.62,1328.1,13,44
9146,14.32,7,35,0.75,1222,0.00,3712,1.07,2.6510,15.00,24,15.28,9.02,0.0000,0.00,8.64,1328.1,13,43
9251,14.40,7,35,0.75,1224,0.00,3520,1.07,2.6330,15.00,24,15.25,9.02,0.0000,0.00,8.56,1328.1,13,44
9354,14.32,7,35,0.75,1233,0.00,2048,1.07,2.6313,15.00,24,15.50,9.02,0.0000,0.00,8.64,1328.1,13,44
9458,14.32,7,35,0.75,1238,0.00,5184,1.07,2.6235,15.00,24,15.52,9.02,0.0000,0.00,8.57,1328.1,13,44
9563,14.40,7,35,0.75,1248,0.00,3712,1.07,2.6225,15.00,24,15.51,8.63,0.0000,0.00,8.63,1328.1,13,43
9667,14.40,7,35,0.75,1260,0.00,3712,1.06,2.5935,15.00,24,15.37,8.63,0.0000,0.00,8.57,1328.1,13,43
9771,14.40,7,35,0.74,1262,0.00,3712,1.06,2.5675,15.00,24,15.28,9.02,0.0000,0.00,8.67,1328.1,13,43
9876,14.32,7,35,0.74,1268,0.00,3712,1.06,2.5470,15.00,24,15.30,9.02,-0.0015,0.00,8.66,1328.1,13,42
9979,14.40,7,35,0.73,1266,0.00,3712,1.06,2.5148,15.00,24,15.55,9.02,0.0000,0.00,8.68,1328.1,13,42
10083,14.32,7,35,0.73,1268,0.00,3712,1.05,2.5192,15.00,24,15.57,9.02,0.0000,0.00,8.73,1328.1,13,42
10187,14.32,7,35,0.73,1266,0.00,3712,1.05,2.5192,15.00,24,15.54,9.02,0.0000,0.00,8.71,1328.1,13,42
10291,14.32,7,35,0.73,1270,0.00,3648,1.05,2.5190,15.00,24,15.58,9.02,0.0000,0.00,8.79,1328.1,13,43
10396,14.40,7,35,0.73,1279,16.03,39936,1.05,2.5155,15.00,24,15.76,9.02,0.0000,0.00,8.81,1328.1,13,43
10499,14.24,7,35,0.74,1279,16.56,42944,1.05,2.5223,15.00,24,15.96,9.02,0.0000,0.00,8.73,1328.1,13,43
10603,14.40,7,35,0.74,1282,16.54,43008,1.05,2.5248,15.00,24,15.68,9.02,0.0000,0.00,8.79,1328.1,13,43
10707,14.40,7,35,0.74,1293,16.59,44672,1.05,2.5183,15.00,23,15.84,9.02,0.0000,0.00,8.81,1328.1,13,42
10811,14.32,7,35,0.74,1296,16.58,42880,1.05,2.5173,15.00,23,15.76,9.02,0.0000,0.00,8.88,1328.1,13,43
10916,14.40,7,35,0.74,1293,16.55,43008,1.04,2.5097,15.00,23,16.02,9.02,0.0000,0.00,8.86,1328.1,13,42
11020,14.40,7,35,0.74,1294,16.55,43008,1.04,2.5065,15.00,23,15.86,9.02,0.0000,0.00,8.84,1328.1,13,42
11123,14.32,7,35,0.74,1300,16.56,43072,1.04,2.5032,15.00,23,15.97,9.02,0.0000,0.00,8.88,1328.1,13,42
11227,14.32,7,35,0.74,1314,16.56,42880,1.04,2.5028,15.00,23,16.02,9.02,0.0000,0.00,8.88,1328.1,13,42
11331,14.32,7,35,0.74,1311,16.55,42880,1.04,2.5013,15.00,23,16.18,9.02,0.0000,0.00,8.87,1328.1,13,42
11436,14.40,7,35,0.74,1318,16.32,42880,1.04,2.4977,15.00,23,16.14,9.02,0.0000,0.00,8.87,1328.1,13,42
11539,14.32,7,35,0.74,1318,16.86,43392,1.04,2.4973,15.00,23,16.26,9.02,0.0000,0.00,8.86,1328.1,13,42
11643,14.40,7,35,0.74,1334,16.56,42880,1.04,2.4915,15.00,23,16.29,9.02,0.0000,0.00,8.83,1328.1,9,42
11748,14.40,7,35,0.73,1332,16.54,46336,1.04,2.4825,15.00,23,16.11,9.02,0.0000,0.00,8.81,1328.1,9,42
11851,14.40,7,35,0.73,1332,17.08,43200,1.03,2.4750,15.00,23,16.34,9.02,0.0000,0.00,8.78,1328.1,9,42
11955,14.40,7,35,0.73,1346,16.57,42944,1.03,2.4670,15.00,23,16.25,9.02,0.0000,0.00,8.76,1328.1,9,42
12059,14.24,7,35,0.73,1342,16.56,42944,1.03,2.4570,15.00,23,16.03,9.02,0.0000,0.00,8.74,1328.1,9,42
12163,14.40,7,35,0.72,1339,16.53,43008,1.03,2.4435,15.00,23,15.96,9.02,0.0000,0.00,8.72,1328.1,9,41
12267,14.24,7,35,0.72,1336,16.56,43136,1.03,2.4325,15.00,23,15.98,9.02,0.0000,0.00,8.68,1328.1,9,41
12372,14.32,7,35,0.72,1332,16.57,42880,1.03,2.4223,15.00,23,15.76,9.02,0.0000,0.00,8.66,1328.1,9,41
12477,14.16,7,35,0.72,1330,16.54,42944,1.03,2.4145,15.00,23,15.72,9.02,0.0000,0.00,8.65,1328.1,9,41
12581,14.32,7,35,0.71,1332,16.54,43072,1.03,2.4035,15.00,23,15.77,9.02,0.0000,0.00,8.61,1328.1,9,41
12686,14.32,7,35,0.71,1327,16.57,42944,1.03,2.3935,15.00,23,15.60,9.02,0.0000,0.00,8.61,1328.1,9,41
12791,14.32,7,35,0.71,1326,16.57,43008,1.03,2.3807,15.00,23,15.48,9.02,0.0000,0.00,8.58,1328.1,9,41
12894,14.32,7,35,0.71,1326,16.81,43136,1.03,2.3710,15.00,23,15.42,9.02,0.0000,0.00,8.56,1328.1,9,41
12999,14.40,7,35,0.70,1314,16.56,43072,1.03,2.3630,15.00,23,15.40,9.02,0.0000,0.00,8.54,1328.1,9,41
13104,14.32,7,35,0.70,1308,16.58,42944,1.03,2.3567,15.00,23,15.27,8.63,0.0000,0.00,8.51,1328.1,9,41
13209,14.32,7,35,0.70,1308,16.09,39936,1.03,2.3527,15.00,23,15.24,8.63,0.0000,0.00,8.50,1328.1,9,41
13312,14.40,7,35,0.70,1311,16.07,40000,1.02,2.3480,15.00,23,15.10,8.63,0.0000,0.00,8.46,1328.1,9,40
13416,14.24,7,35,0.70,1301,16.09,40128,1.02,2.3418,15.00,23,15.21,8.63,0.0000,0.00,8.44,1328.1,9,40
13521,14.40,7,35,0.70,1298,16.09,39296,1.02,2.3392,15.00,23,15.00,8.63,0.0000,0.00,8.41,1328.1,9,40
13624,14.40,7,35,0.70,1292,15.84,38272,1.02,2.3360,15.00,23,14.95,8.63,0.0000,0.00,8.41,1328.1,9,40
13728,14.24,7,35,0.70,1289,16.08,40064,1.02,2.3333,15.00,23,15.14,8.63,0.0000,0.00,8.38,1328.1,9,41
13832,14.32,7,35,0.70,1282,16.10,40000,1.02,2.3348,15.00,23,14.97,8.63,0.0000,0.00,8.36,1328.1,9,41
13936,14.40,7,35,0.70,1280,16.11,39808,1.02,2.3317,15.00,23,14.89,8.63,0.0000,0.00,8.35,1328.1,9,41
14040,14.32,7,35,0.70,1278,16.10,40000,1.02,2.3295,15.00,23,14.81,8.63,0.0000,0.00,8.47,1328.1,9,41
14144,14.40,7,35,0.70,1282,16.09,40064,1.02,2.3270,15.00,23,14.88,8.63,0.0000,0.00,8.62,1328.1,9,40
14247,14.32,7,35,0.70,1276,16.11,39936,1.02,2.3277,15.00,23,15.28,9.02,0.0000,0.00,8.67,1328.1,9,41
14352,14.16,7,35,0.70,1275,16.10,39936,1.02,2.3397,15.00,23,15.33,9.02,0.0000,0.00,8.64,1328.1,9,41
14455,14.40,7,35,0.71,1282,16.55,43072,1.02,2.3662,15.00,23,15.37,9.02,0.0049,0.00,8.69,1328.1,9,42
14559,14.40,7,35,0.71,1288,16.09,40000,1.02,2.3810,15.00,23,15.54,9.02,0.0060,0.00,8.68,1328.1,9,42
14664,14.32,7,35,0.71,1301,16.11,39936,1.02,2.3923,15.00,23,15.71,9.02,0.0068,0.00,8.71,1328.1,9,42
14767,14.32,7,35,0.72,1303,16.10,40000,1.02,2.3982,15.00,23,15.83,9.02,0.0070,0.00,8.81,1328.1,9,42
14871,14.32,7,35,0.72,1310,16.33,41600,1.02,2.4055,15.00,23,15.67,9.02,0.0072,0.00,8.81,1328.1,9,42
14976,14.40,7,35,0.72,1322,16.12,40128,1.02,2.4070,15.00,23,15.93,9.02,0.0072,0.00,8.80,1328.1,9,42
15079,14.32,7,35,0.72,1327,16.12,39808,1.02,2.4133,15.00,23,16.23,9.02,0.0073,0.00,8.82,1328.1,9,42
15183,14.40,7,35,0.72,1326,16.10,39872,1.02,2.4183,15.00,22,16.22,9.02,0.0075,0.00,8.83,1328.1,9,42
15287,14.40,7,35,0.73,1334,16.09,40064,1.02,2.4260,15.00,22,16.17,9.02,0.0072,0.00,8.81,1328.1,9,42
15391,14.32,7,35,0.73,1342,16.11,40000,1.02,2.4238,15.00,22,16.38,9.02,0.0065,0.00,8.80,1328.1,9,42
15495,14.32,7,35,0.73,1341,16.11,39872,1.02,2.4235,15.00,22,16.06,9.02,0.0058,0.00,8.78,1328.1,9,42
15598,14.32,7,35,0.73,1338,16.09,39872,1.02,2.4198,15.00,22,16.21,9.02,0.0048,0.00,8.85,1328.1,9,41
15703,14.40,7,35,0.72,1346,15.84,35072,1.02,2.4127,15.00,22,16.16,9.02,0.0040,0.00,8.84,1328.1,9,41
15806,14.32,7,35,0.72,1340,15.34,36480,1.02,2.3840,15.00,22,16.09,9.02,0.0000,0.00,8.82,1328.1,9,41
15911,14.32,7,35,0.72,1342,15.56,36416,1.02,2.3960,15.00,22,16.12,9.02,0.0000,0.00,8.81,1328.1,9,41
16015,14.32,7,35,0.72,1354,15.56,36608,1.02,2.3948,15.00,22,16.25,9.02,0.0000,0.00,8.87,1328.1,9,41
16118,14.32,7,35,0.72,1344,15.55,36608,1.02,2.3920,15.00,22,16.18,9.02,0.0000,0.00,8.79,1328.1,9,41
16222,14.32,7,35,0.72,1345,15.59,36480,1.02,2.3915,15.00,22,16.20,9.02,0.0000,0.00,8.78,1328.1,9,41
16327,14.40,7,35,0.72,1356,15.56,36416,1.02,2.3905,15.00,22,16.35,9.02,0.0000,0.00,8.79,1328.1,9,41
16430,14.32,7,34,0.72,1350,15.56,36544,1.02,2.3870,15.00,22,16.15,9.02,0.0000,0.00,8.79,1328.1,9,41
16535,14.32,7,34,0.72,1354,15.58,36608,1.02,2.3850,15.00,22,16.15,9.02,0.0000,0.00,8.78,1328.1,9,41
16638,14.40,7,34,0.72,1362,15.59,36416,1.02,2.3818,15.00,22,16.43,9.02,0.0000,0.00,8.77,1328.1,9,41
16742,14.32,7,34,0.72,1357,15.30,34880,1.02,2.3792,15.00,22,16.19,9.02,0.0000,0.00,8.76,1328.1,9,41
16846,14.40,7,34,0.72,1352,15.35,35136,1.02,2.3745,15.00,22,16.01,9.02,0.0000,0.00,8.74,1328.1,9,41
16950,14.40,7,34,0.71,1355,15.12,33280,1.02,2.3650,15.00,22,15.91,9.02,0.0000,0.00,8.74,1328.1,9,40
17054,14.40,7,34,0.71,1354,15.11,33280,1.01,2.3560,15.00,22,15.96,9.02,0.0000,0.00,8.72,1328.1,9,40
17159,14.40,7,34,0.71,1355,15.09,33472,1.01,2.3475,15.00,22,15.74,9.02,0.0000,0.00,8.75,1328.1,9,40
17264,14.32,7,34,0.71,1346,15.12,33600,1.01,2.3447,15.00,22,15.78,9.02,0.0000,0.00,8.69,1328.1,9,40
17368,14.32,7,34,0.71,1342,15.13,33344,1.01,2.3418,15.00,22,15.83,9.02,0.0000,0.00,8.70,1328.1,9,40
17474,14.32,7,34,0.71,1346,15.09,33408,1.01,2.3400,15.00,22,15.73,9.02,0.0000,0.00,8.72,1328.1,9,40
17578,14.32,7,34,0.71,1334,15.10,33536,1.01,2.3397,15.00,22,15.79,9.02,0.0000,0.00,8.74,1328.1,9,40
17681,14.40,7,34,0.71,1334,15.01,30016,1.01,2.3403,15.00,22,15.81,9.02,0.0000,0.00,8.72,1328.1,9,41
17786,14.40,7,34,0.71,1339,14.56,28416,1.01,2.3458,15.00,22,15.85,9.02,0.0000,0.00,8.73,1328.1,9,41
17889,14.40,7,34,0.71,1334,14.31,28352,1.01,2.3518,15.00,22,15.94,9.02,0.0000,0.00,8.69,1328.1,9,41
17993,14.32,7,34,0.71,1334,14.57,30080,1.01,2.3555,15.00,22,15.89,9.02,0.0000,0.00,8.71,1328.1,9,41
18097,14.40,7,34,0.71,1340,14.59,29888,1.01,2.3598,15.00,22,15.78,9.02,0.0000,0.00,8.70,1328.1,9,41
18203,14.40,7,34,0.71,1333,14.57,29824,1.01,2.3620,15.00,22,15.89,9.02,0.0000,0.00,8.72,1328.1,9,41
18308,14.40,7,34,0.71,1333,14.56,30080,1.01,2.3625,15.00,22,15.82,9.02,0.0000,0.00,8.71,1328.1,9,41
18411,14.32,7,34,0.71,1339,14.60,29952,1.01,2.3628,15.00,22,15.88,9.02,0.0000,0.00,8.69,1328.1,9,41
18516,14.40,7,34,0.71,1340,14.59,29888,1.01,2.3632,15.00,22,16.01,9.02,0.0000,0.00,8.71,1328.1,9,41
18619,14.40,7,34,0.71,1340,14.56,29824,1.01,2.3645,15.00,22,15.95,9.02,0.0000,0.00,8.67,1328.1,9,41
18723,14.40,7,34,0.71,1340,14.57,30080,1.01,2.3655,15.00,22,15.98,9.02,0.0000,0.00,8.68,1328.1,9,41
18827,14.32,7,34,0.71,1346,14.83,31616,1.01,2.3653,15.00,22,16.08,9.02,0.0000,0.00,8.67,1328.1,9,41
18931,14.40,7,34,0.71,1344,14.59,29888,1.01,2.3643,15.00,22,15.98,9.02,0.0000,0.00,8.71,1328.1,9,41
19035,14.40,7,34,0.71,1346,14.56,29888,1.01,2.3628,15.00,22,15.92,9.02,0.0000,0.00,8.67,1328.1,9,41
19139,14.40,7,34,0.71,1352,14.55,30080,1.01,2.3618,15.00,22,16.01,9.02,0.0000,0.00,8.70,1328.1,9,41
19242,14.40,7,34,0.71,1347,14.58,29952,1.01,2.3595,15.00,22,15.92,9.02,0.0000,0.00,8.68,1328.1,9,41
19347,14.40,7,34,0.71,1350,14.58,29824,1.01,2.3558,15.00,22,15.93,9.02,0.0000,0.00,8.68,1328.1,9,41
19450,14.40,7,34,0.71,1354,14.56,29952,1.01,2.3535,15.00,22,16.00,9.02,0.0000,0.00,8.67,1328.1,9,41
19555,14.40,7,34,0.71,1347,14.59,30080,1.01,2.3520,15.00,22,15.90,9.02,0.0000,0.00,8.69,1328.1,9,40
