Time (msec),CL/OL Fueling* (status),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor),Fuel Injector #1 Pulse Width (ms),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Engine Load (4-Byte)* (g/rev),Ignition Total Timing (degrees),Throttle Opening Angle (%),Accelerator Pedal Angle (%),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),IAM (4-byte)* (multiplier),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Vehicle Speed (km/h)
4885,7,51,803,0.00,1.12,41,0.0000,3.33,1,0.75,15.00,5.88,0.00,0.00,0.00,0.0000,45.236,0
4990,7,51,810,0.00,1.12,41,0.0000,3.33,1,0.74,15.00,5.88,0.00,0.00,0.00,0.0000,44.600,0
5093,7,51,820,0.00,1.12,41,0.0000,3.33,1,0.74,15.00,5.88,0.00,0.00,0.00,0.0000,44.067,0
5197,7,51,817,0.00,1.11,41,0.0000,3.33,1,0.73,15.00,5.88,0.00,0.00,0.00,0.0000,44.232,0
5301,7,51,820,0.00,1.11,41,0.0000,3.33,1,0.73,15.00,7.06,0.00,0.00,0.00,0.0000,45.922,0
5404,7,51,836,0.00,1.10,41,0.0000,3.33,1,0.73,15.00,6.67,0.00,0.00,0.00,0.0000,47.193,0
5509,7,51,872,0.00,1.10,41,0.0000,3.33,1,0.74,15.00,6.67,0.00,0.00,0.00,0.0000,47.675,0
5613,7,51,905,0.00,1.10,41,0.0000,3.33,1,0.75,15.00,6.67,0.00,0.00,0.00,0.0000,46.291,0
5717,7,51,939,0.00,1.09,41,0.0000,3.33,1,0.75,15.00,6.67,0.00,0.00,0.00,0.0000,45.287,0
5821,7,51,972,0.00,1.09,41,0.0000,3.33,1,0.75,15.00,6.67,0.00,0.00,0.00,0.0000,43.483,0
5925,7,51,997,0.00,1.08,40,0.0000,3.33,1,0.74,15.00,6.27,0.00,0.00,0.00,0.0000,41.843,0
6028,7,51,1018,0.00,1.08,40,0.0000,3.07,1,0.72,15.00,6.27,0.00,0.00,0.00,0.0000,41.321,0
6132,7,51,1028,0.00,1.08,40,0.0000,3.07,1,0.70,15.00,6.27,0.00,0.00,0.00,0.0000,39.835,0
6237,7,51,1024,0.00,1.07,40,0.0000,3.07,1,0.68,15.00,6.67,0.00,0.00,0.00,0.0000,38.984,0
6340,7,51,1015,0.00,1.07,40,0.0000,3.07,1,0.66,15.00,6.67,0.00,0.00,0.00,0.0000,38.933,0
6444,7,51,1012,0.00,1.07,40,0.0000,2.82,1,0.65,15.00,6.67,0.00,0.00,0.00,0.0000,39.415,0
6548,7,51,1001,0.00,1.07,40,0.0000,2.82,1,0.64,15.00,6.67,0.00,0.00,0.00,0.0000,38.933,0
6652,7,51,1002,0.00,1.06,40,0.0000,2.82,1,0.64,15.00,6.67,0.00,0.00,0.00,0.0000,39.251,0
6757,7,51,1002,0.00,1.06,40,0.0000,2.82,1,0.64,15.00,6.67,0.00,0.00,0.00,0.0000,38.984,0
6860,7,51,1004,0.00,1.06,40,0.0000,2.82,1,0.63,15.00,6.67,0.00,0.00,0.00,0.0000,39.200,0
6964,7,51,1008,0.00,1.06,40,0.0000,2.82,1,0.63,15.00,6.67,0.00,0.00,0.00,0.0000,39.200,0
7068,7,51,1007,0.00,1.06,40,0.0000,2.82,1,0.63,15.00,6.27,0.00,0.00,0.00,0.0000,38.349,0
7171,7,51,1012,0.00,1.05,40,0.0000,2.82,1,0.63,15.00,6.27,0.00,0.00,0.00,0.0000,38.298,0
7276,7,51,1010,0.00,1.05,40,0.0000,2.82,1,0.62,15.00,6.27,0.00,0.00,0.00,0.0000,37.929,0
7380,7,51,1006,0.00,1.05,39,0.0000,2.82,1,0.62,15.00,6.27,0.00,0.00,0.00,0.0000,37.611,0
7484,7,51,1007,0.00,1.05,39,0.0000,2.82,1,0.61,15.00,6.27,0.00,0.00,0.00,0.0000,36.811,0
7588,7,51,1006,0.00,1.05,39,0.0000,2.82,1,0.60,15.00,6.27,0.00,0.00,0.00,0.0000,37.027,0
7693,7,51,1007,0.00,1.05,39,0.0000,2.82,1,0.60,15.00,6.27,0.00,0.00,0.00,0.0000,36.925,0
7798,7,51,1007,0.00,1.05,39,0.0000,2.82,1,0.59,15.00,5.88,0.00,0.00,0.00,0.0000,36.341,0
7902,7,51,1000,0.00,1.05,39,0.0000,2.56,1,0.59,15.00,5.88,0.00,0.00,0.00,0.0000,35.807,0
8005,7,51,996,0.00,1.04,39,0.0000,2.56,1,0.58,15.00,5.88,0.00,0.00,0.00,0.0000,35.274,0
8109,7,51,986,0.00,1.04,39,0.0000,2.56,1,0.58,15.00,6.27,0.00,0.00,0.00,0.0000,35.807,0
8213,7,51,980,14.56,1.04,39,-0.0028,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.023,0
8318,7,51,975,14.54,1.04,39,-0.0020,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.341,0
8422,7,51,973,14.55,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.341,0
8527,7,51,971,14.55,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.658,0
8631,7,51,964,14.53,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.341,0
8735,7,51,970,14.55,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.023,0
8839,7,51,964,14.54,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,35.972,0
8942,7,51,962,14.53,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,35.972,0
9047,7,51,958,14.55,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,35.972,0
9150,7,51,956,15.05,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.341,0
9254,7,51,953,14.81,1.04,39,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.341,0
9359,7,51,962,15.56,1.04,38,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.607,0
9462,7,51,959,15.09,1.03,38,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.341,0
9567,7,51,963,15.06,1.03,38,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,36.290,0
9670,7,51,967,15.10,1.03,38,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,35.972,0
9774,7,51,968,15.54,1.03,38,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,35.972,0
9879,7,51,960,15.53,1.03,38,0.0000,2.56,1,0.57,15.00,5.88,0.00,0.00,0.00,0.0000,35.388,0
9982,7,51,962,15.56,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,35.388,0
10086,7,51,953,15.54,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,35.388,0
10190,7,51,952,15.54,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,35.388,0
10294,7,51,947,15.54,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,35.388,0
10398,7,51,946,15.76,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,35.972,0
10501,7,51,943,15.52,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,36.239,0
10606,7,51,947,15.57,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,35.756,0
10710,7,51,941,15.53,1.03,38,0.0000,2.56,1,0.56,15.00,5.88,0.00,0.00,0.00,0.0000,35.756,0
10813,7,51,944,15.54,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.274,0
10917,7,51,947,15.56,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.223,0
11022,7,51,946,15.53,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.172,0
11125,7,51,947,15.54,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.172,0
11229,7,51,944,15.56,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.121,0
11334,7,51,944,15.29,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.388,0
11437,7,51,946,15.30,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.388,0
11541,7,51,945,15.57,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.439,0
11647,7,51,942,15.52,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.388,0
11750,7,51,950,15.55,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.388,0
11854,7,51,949,15.57,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,35.121,0
11959,7,51,951,15.55,1.03,38,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,34.854,0
12064,7,51,950,15.56,1.02,38,0.0000,2.56,1,0.55,15.00,5.49,0.00,0.00,0.00,0.0000,34.854,0
12168,7,51,944,15.56,1.02,37,0.0000,2.56,1,0.55,15.00,5.49,0.00,0.00,0.00,0.0000,34.854,0
12273,7,51,948,15.53,1.02,37,0.0000,2.56,1,0.55,15.00,5.49,0.00,0.00,0.00,0.0000,34.854,0
12377,7,51,942,15.56,1.03,37,0.0000,2.56,1,0.55,17.00,6.27,1.96,0.00,0.00,0.0000,35.909,0
12481,7,51,946,15.55,1.11,37,0.0720,2.82,1,0.56,15.00,7.45,0.39,0.00,0.00,0.0000,39.568,0
12585,7,51,971,15.62,1.03,37,0.0571,2.82,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,36.811,0
12688,7,51,989,15.57,1.00,37,0.0060,2.56,1,0.58,15.00,5.10,0.00,0.00,0.00,0.0000,34.803,0
12793,7,51,991,15.56,1.00,37,-0.0260,2.56,1,0.57,15.00,5.10,0.00,0.00,0.00,0.0000,33.215,0
12896,7,51,980,15.08,1.01,37,0.0000,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,34.701,0
13000,7,50,984,15.11,0.98,37,-0.0288,2.30,1,0.56,15.00,4.71,0.00,0.00,0.00,0.0000,32.211,0
13105,7,50,959,15.08,0.97,37,-0.0481,2.30,1,0.54,15.00,4.71,0.00,0.00,0.00,0.0000,30.940,0
13208,7,50,936,15.08,0.98,37,-0.0482,2.30,1,0.52,15.00,4.71,0.00,0.00,0.00,0.0000,30.673,0
13312,7,50,915,15.10,0.99,37,-0.0358,2.30,1,0.51,15.00,4.71,0.00,0.00,0.00,0.0000,31.227,0
13416,7,50,887,15.05,1.02,37,-0.0057,2.30,1,0.51,15.00,5.10,0.78,0.00,0.00,0.0000,32.580,0
13520,7,50,867,15.33,1.34,37,0.0800,2.82,1,0.51,16.00,13.33,16.86,0.00,0.00,0.0000,52.406,0
13624,7,50,908,15.56,1.67,37,0.6450,4.35,1,0.62,14.50,23.14,8.24,0.00,0.00,0.0000,85.530,0
13728,7,50,1181,15.56,1.25,37,0.4211,4.61,1,0.79,15.00,6.67,0.00,0.00,0.00,0.0000,65.896,0
13832,7,50,1364,15.08,1.00,37,0.1113,3.84,1,0.89,15.00,5.10,0.00,0.00,0.00,0.0000,48.208,0
13936,7,50,1452,14.56,0.89,37,-0.1005,3.07,1,0.85,15.00,5.10,0.00,0.00,0.00,0.0000,36.239,0
14040,7,50,1429,14.07,0.88,37,-0.1507,2.82,1,0.76,15.00,7.06,0.00,0.00,0.00,0.0000,32.211,0
14143,7,50,1356,14.08,0.87,37,-0.1555,2.56,1,0.66,15.00,4.71,0.00,0.00,0.00,0.0000,26.861,0
14247,7,50,1226,14.11,0.91,37,-0.1312,2.30,1,0.59,15.00,6.27,0.00,0.00,0.00,0.0000,28.132,0
14352,7,50,1142,14.31,0.92,37,-0.1006,2.30,1,0.54,15.00,5.10,0.00,0.00,0.00,0.0000,28.214,0
14455,7,50,1081,15.04,0.94,37,-0.0831,2.30,1,0.51,15.00,5.10,0.00,0.00,0.00,0.0000,27.732,0
14560,7,50,999,15.65,0.97,37,-0.0616,2.05,1,0.49,15.00,5.10,0.00,0.00,0.00,0.0000,28.767,0
14663,7,50,945,14.19,1.01,37,-0.0394,2.05,1,0.48,15.00,5.10,0.00,0.00,0.00,0.0000,29.720,0
14768,7,50,906,13.56,1.01,37,-0.0084,2.30,1,0.47,15.00,5.10,0.00,0.00,0.00,0.0000,30.725,0
14871,7,50,864,13.10,1.04,37,-0.0049,2.30,1,0.48,15.00,5.10,0.00,0.00,0.00,0.0000,31.944,0
14975,7,50,842,13.10,1.06,37,0.0392,2.30,1,0.48,15.00,5.10,0.00,0.00,0.00,0.0000,33.266,0
15080,7,50,827,13.10,1.08,37,0.0580,2.30,1,0.49,15.00,5.10,0.00,0.00,0.00,0.0000,34.701,0
15183,7,50,823,13.09,1.10,37,0.0720,2.56,1,0.50,15.00,5.49,0.00,0.00,0.00,0.0000,35.756,0
15287,7,50,823,13.07,1.11,37,0.0899,2.56,1,0.52,15.00,5.49,0.00,0.00,0.00,0.0000,37.027,0
15391,7,50,836,13.11,1.11,37,0.0927,2.56,1,0.53,15.00,5.49,0.00,0.00,0.00,0.0000,37.662,0
15495,7,50,850,13.07,1.10,37,0.0912,2.56,1,0.55,15.00,5.49,0.00,0.00,0.00,0.0000,38.298,0
15598,7,50,873,12.84,1.10,37,0.0832,2.82,1,0.57,15.00,5.49,0.00,0.00,0.00,0.0000,38.615,0
15703,7,50,899,13.02,1.07,37,0.0673,2.82,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,38.247,0
15807,7,50,924,13.54,1.04,37,0.0470,2.56,1,0.59,15.00,5.49,1.18,0.00,0.00,0.0000,37.662,0
15910,7,50,946,13.56,1.21,37,0.0704,2.82,1,0.59,16.00,10.20,6.67,0.00,0.00,0.0000,45.173,0
16015,7,50,997,13.57,1.20,37,0.2400,3.33,1,0.64,15.00,8.24,0.00,0.00,0.00,0.0000,49.899,0
16118,7,50,1087,14.08,1.03,37,0.0994,3.07,1,0.69,15.00,5.10,0.00,0.00,0.00,0.0000,41.741,0
16222,7,50,1144,13.54,0.96,37,-0.0237,2.82,1,0.69,15.00,5.10,0.00,0.00,0.00,0.0000,35.756,0
16326,7,50,1156,13.57,0.96,37,-0.0691,2.56,1,0.65,15.00,5.10,0.00,0.00,0.00,0.0000,32.866,0
16431,7,50,1144,13.54,0.95,37,-0.0502,2.56,1,0.62,15.00,4.71,0.00,0.00,0.00,0.0000,31.627,0
16534,7,50,1120,14.22,0.92,37,-0.0888,2.30,1,0.58,15.00,4.71,0.00,0.00,0.00,0.0000,28.716,0
16638,7,50,1056,14.10,0.92,37,-0.1014,2.30,1,0.54,15.00,4.71,0.00,0.00,0.00,0.0000,27.579,0
16743,7,50,986,14.07,0.94,36,-0.0901,2.05,1,0.51,15.00,5.10,0.00,0.00,0.00,0.0000,27.814,0
16846,7,50,928,14.07,0.97,36,-0.0619,2.05,1,0.49,15.00,5.10,0.00,0.00,0.00,0.0000,29.167,0
16950,7,50,888,14.10,1.00,36,-0.0327,2.05,1,0.48,15.00,5.10,0.00,0.00,0.00,0.0000,30.038,0
17054,7,50,843,15.08,1.01,36,-0.0071,2.30,1,0.47,15.00,4.71,0.00,0.00,0.00,0.0000,31.258,0
17158,7,50,821,14.56,1.04,36,0.0193,2.30,1,0.48,15.00,5.10,0.00,0.00,0.00,0.0000,32.180,0
17261,7,50,808,14.59,1.07,36,0.0459,2.30,1,0.48,15.00,5.49,0.00,0.00,0.00,0.0000,33.775,0
17366,7,50,800,14.08,1.10,36,0.0749,2.56,1,0.50,15.00,5.49,0.00,0.00,0.00,0.0000,35.807,0
17469,7,50,804,14.09,1.11,36,0.0941,2.56,1,0.51,15.00,5.49,0.00,0.00,0.00,0.0000,37.560,0
17574,7,50,815,14.09,1.10,36,0.0937,2.56,1,0.53,15.00,5.49,0.00,0.00,0.00,0.0000,37.929,0
17677,7,50,834,13.50,1.09,36,0.0888,2.56,1,0.55,15.00,5.49,0.00,0.00,0.00,0.0000,37.980,0
17782,7,50,856,13.32,1.07,36,0.0739,2.56,1,0.56,15.00,5.49,0.00,0.00,0.00,0.0000,37.929,0
17885,7,50,878,13.56,1.06,36,0.0538,2.56,1,0.57,15.00,5.49,0.00,0.00,0.00,0.0000,37.396,0
17990,7,50,897,14.08,1.03,36,0.0407,2.56,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,36.976,0
18093,7,50,916,14.09,1.03,36,0.0174,2.56,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,36.392,0
18197,7,50,928,14.11,1.02,36,0.0158,2.56,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,35.223,0
18301,7,50,943,13.54,1.01,36,0.0135,2.56,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,35.121,0
18405,7,50,944,13.57,1.02,36,0.0110,2.56,1,0.57,17.00,5.49,2.75,0.00,0.00,0.0000,35.858,0
18509,7,50,953,14.06,1.46,36,0.2424,3.07,1,0.59,16.00,19.61,17.25,0.00,0.00,0.0000,65.697,0
18614,7,50,1109,14.33,1.37,36,0.5110,4.35,1,0.73,15.00,14.51,1.96,0.00,0.00,0.0000,76.011,0
18717,7,50,1300,14.10,1.12,36,0.2178,4.35,1,0.88,15.00,5.88,0.00,0.00,0.00,0.0000,55.248,0
18821,7,50,1434,14.08,0.90,36,-0.0495,3.33,1,0.90,15.00,5.10,0.00,0.00,0.00,0.0000,40.102,0
18924,7,50,1458,14.08,0.84,36,-0.1529,2.82,1,0.82,15.00,5.10,0.00,0.00,0.00,0.0000,31.658,0
19029,7,50,1404,14.09,0.84,36,-0.1724,2.56,1,0.70,15.00,5.49,0.00,0.00,0.00,0.0000,27.497,0
19134,7,50,1305,14.09,0.86,36,-0.1546,2.30,1,0.61,15.00,5.49,0.00,0.00,0.00,0.0000,25.508,0
19237,7,50,1184,14.08,0.88,36,-0.1437,2.05,1,0.54,15.00,5.49,0.00,0.00,0.00,0.0000,25.591,0
19342,7,50,1078,14.11,0.93,36,-0.1003,2.05,1,0.50,15.00,5.88,0.00,0.00,0.00,0.0000,27.548,0
19445,7,50,992,14.57,0.97,36,-0.0499,2.05,1,0.48,15.00,5.10,0.00,0.00,0.00,0.0000,28.685,0
19550,7,50,945,15.56,0.98,36,-0.0325,2.30,1,0.47,15.00,4.71,0.00,0.00,0.00,0.0000,29.454,0
19653,7,50,908,14.58,1.00,36,-0.0090,2.05,1,0.47,15.00,4.71,0.00,0.00,0.00,0.0000,30.007,0
19758,7,50,862,13.54,1.00,36,-0.0064,2.30,1,0.47,15.00,4.71,0.00,0.00,0.00,0.0000,31.309,0
19861,7,50,840,12.86,1.06,36,0.0285,2.30,1,0.47,15.00,5.10,0.00,0.00,0.00,0.0000,32.815,0
19966,7,50,825,13.12,1.08,36,0.0646,2.30,1,0.48,15.00,5.49,0.00,0.00,0.00,0.0000,34.854,0
20069,7,50,823,13.08,1.10,36,0.0859,2.56,1,0.50,15.00,5.49,0.00,0.00,0.00,0.0000,36.392,0
20173,7,50,830,12.55,1.11,36,0.0991,2.56,1,0.52,15.00,5.49,0.00,0.00,0.00,0.0000,37.345,0
20277,7,50,847,12.57,1.10,36,0.0968,2.56,1,0.54,15.00,5.49,0.00,0.00,0.00,0.0000,37.980,0
20381,7,50,872,12.99,1.09,36,0.0875,2.56,1,0.55,15.00,5.49,0.00,0.00,0.00,0.0000,38.031,0
20486,7,50,903,13.36,1.07,36,0.0715,2.56,1,0.57,15.00,5.49,0.00,0.00,0.00,0.0000,38.247,0
20590,7,50,921,13.17,1.05,36,0.0523,2.56,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,37.396,0
20694,7,50,945,13.54,1.03,36,0.0192,2.56,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,36.760,0
20798,7,50,964,14.25,1.02,36,0.0177,2.56,1,0.59,15.00,5.49,0.00,0.00,0.00,0.0000,36.125,0
20901,7,50,976,14.10,1.02,36,0.0155,2.56,1,0.58,15.00,5.49,0.00,0.00,0.00,0.0000,35.439,0
