Time (msec),AVLS Bank 0 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),AVLS Bank 1 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),Oil Switching Solenoid Valve (OSV) Current (Left) (mA),Oil Switching Solenoid Valve (OSV) Current (Right) (mA),Oil Switching Solenoid Valve (OSV) Duty (Left) (%),Oil Switching Solenoid Valve (OSV) Duty (Right) (%),Oil Temperature (C),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Selected Barometric Estimate (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h)
1144,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.378,95.162,5.10,0
1248,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,94.844,95.162,5.10,0
1352,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,94.629,95.162,5.10,0
1456,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
1559,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,94.629,95.162,5.10,0
1663,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.378,95.162,5.10,0
1767,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,94.844,95.162,5.10,0
1871,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.378,95.162,5.10,0
1975,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
2079,1,1,0.00,1,50,0,12.79,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
2183,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,32,224,0.0,0.0,48,93.891,95.162,5.10,0
2287,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,32,224,0.0,0.0,48,93.256,95.162,5.10,0
2391,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,32,224,0.0,0.0,48,92.620,95.162,5.10,0
2495,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,91.350,95.162,5.10,0
2599,1,1,0.00,1,50,0,0.00,0.00,0.00,1.28,0.0000,0.00,0,0,0,0,0.0,0.0,48,91.350,95.162,5.10,0
2702,1,1,0.00,1,50,0,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0.0,0.0,48,91.667,95.162,5.10,0
2807,1,1,0.00,1,50,155,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0.0,0.0,48,89.863,95.162,5.10,0
2911,1,1,0.00,1,50,177,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0.0,0.0,48,90.079,95.162,5.10,0
3015,1,1,0.00,1,50,174,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0.0,0.0,48,88.808,95.162,5.10,0
3119,1,1,0.00,1,50,209,0.00,0.00,0.00,5.38,0.0000,15.00,0,0,0,0,0.0,0.0,48,88.808,95.162,5.10,0
3223,1,1,0.00,1,50,297,0.00,0.00,0.00,4.61,0.0000,15.00,0,0,0,0,0.0,0.0,48,81.082,95.162,5.10,0
3326,1,1,0.00,1,50,439,0.00,0.00,0.00,4.10,0.0000,15.00,0,0,0,0,0.0,0.0,48,78.541,95.162,5.10,0
3430,1,1,0.00,1,50,341,0.00,0.00,0.00,4.10,0.0000,15.00,0,0,0,0,0.0,0.0,48,79.278,95.162,5.10,0
3534,1,1,0.00,1,50,286,0.00,0.00,0.00,4.35,0.0000,15.00,0,0,0,0,0.0,0.0,48,79.596,95.162,5.10,0
3637,1,1,0.00,1,50,324,0.00,0.00,0.00,4.35,0.0000,15.00,0,0,0,0,0.0,0.0,48,78.960,95.162,5.10,0
3741,1,1,0.00,1,50,405,0.00,0.00,0.00,4.35,0.0000,15.00,0,0,0,0,0.0,0.0,48,75.579,95.162,5.10,0
3846,1,1,0.00,1,50,503,0.00,0.00,0.00,3.84,0.0000,15.00,0,0,0,0,0.0,0.0,48,70.383,95.162,5.10,0
3950,1,1,0.00,1,50,543,0.00,0.00,0.00,5.12,0.0000,15.00,0,0,0,0,0.0,0.0,48,65.618,95.162,5.10,0
4054,1,1,0.00,1,50,644,0.00,0.00,0.00,4.86,0.0000,15.00,0,0,0,0,0.0,0.0,48,61.017,95.162,5.10,0
4158,1,1,0.00,1,50,714,0.00,0.00,0.00,4.86,0.0000,15.00,0,0,0,0,0.0,0.0,48,56.354,95.162,5.49,0
4262,1,1,0.00,1,50,774,0.00,0.00,0.00,4.61,0.0000,15.00,0,0,0,0,0.0,0.0,48,52.809,95.162,5.49,0
4366,1,1,0.00,1,50,808,0.00,0.00,0.00,4.35,0.0000,15.00,0,0,0,0,0.0,0.0,48,49.632,95.162,5.49,0
4469,1,1,0.00,1,50,826,0.00,0.00,0.00,4.10,0.0000,15.00,0,0,0,0,0.0,0.0,48,46.875,95.162,5.49,0
4574,1,1,0.00,1,50,846,0.00,0.00,0.00,4.10,0.0000,15.00,0,0,0,0,0.0,0.0,48,45.287,95.162,5.88,0
4677,1,1,0.00,1,50,824,0.00,0.00,0.00,3.84,0.0000,15.00,0,0,0,0,0.0,0.0,48,44.867,95.162,5.88,0
4781,1,1,0.00,1,50,809,0.00,0.00,0.00,3.84,0.0000,15.00,0,0,0,0,0.0,0.0,48,44.232,95.162,5.88,0
4886,1,1,0.00,1,50,804,0.00,0.00,0.00,3.58,0.0000,15.00,0,0,0,0,0.0,0.0,48,43.483,95.162,5.88,0
4989,1,1,0.00,1,50,792,0.00,0.00,0.00,3.58,0.0000,15.00,0,0,0,0,0.0,0.0,48,43.534,95.162,5.88,0
5094,1,1,0.00,1,50,774,0.00,0.00,0.00,3.58,0.0000,15.00,0,0,0,0,0.0,0.0,48,44.385,95.162,5.88,0
5198,1,1,0.00,1,50,764,0.00,0.00,0.00,3.58,0.0000,15.00,0,0,0,0,0.0,0.0,48,44.702,95.162,5.88,0
5302,1,1,0.00,1,50,762,0.00,0.00,0.00,3.58,0.0000,15.00,0,0,0,0,0.0,0.0,48,44.753,95.162,5.88,0
5406,1,1,0.00,1,50,766,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,45.020,95.162,5.88,0
5508,1,1,0.00,1,50,769,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,45.020,95.162,5.88,0
5613,1,1,0.00,1,50,776,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,45.020,95.162,5.88,0
5717,1,1,0.00,1,50,785,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,45.020,95.162,5.88,0
5821,1,1,0.00,1,50,793,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,44.702,95.162,5.88,0
5925,1,1,0.00,1,50,802,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,47.193,95.162,7.45,0
6028,1,1,0.00,1,50,807,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,48.412,95.162,6.67,0
6132,1,1,0.00,1,50,828,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,48.146,95.162,6.67,0
6236,1,1,0.00,1,50,862,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,47.777,95.162,6.67,0
6340,1,1,0.00,1,50,885,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,46.926,95.162,6.67,0
6445,1,1,0.00,1,50,917,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,46.240,95.162,6.67,0
6549,1,1,0.00,1,50,942,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,44.969,95.162,6.67,0
6653,1,1,0.00,1,50,967,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,43.483,95.162,6.67,0
6757,1,1,0.00,1,50,988,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,42.479,95.162,6.67,0
6861,1,1,0.00,1,50,1000,0.00,0.00,0.00,3.33,0.0000,15.00,0,0,0,0,0.0,0.0,48,41.423,95.162,6.67,0
6966,1,1,0.00,1,50,998,0.00,0.00,0.00,3.07,0.0000,15.00,0,0,0,0,0.0,0.0,48,40.470,95.162,6.67,0
7071,1,1,0.00,1,50,998,0.00,0.00,0.00,3.07,0.0000,15.00,0,0,0,0,0.0,0.0,48,39.886,95.162,6.67,0
7175,1,1,0.00,1,50,994,0.00,0.00,0.00,3.07,0.0000,15.00,0,0,0,0,0.0,0.0,48,39.619,95.162,6.67,0
7279,1,1,0.00,1,50,983,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,39.937,95.162,6.67,0
7383,1,1,0.00,1,50,978,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,39.937,95.162,6.67,0
7487,1,1,0.00,1,50,969,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,40.255,95.162,6.67,0
7591,1,1,0.00,1,50,967,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,40.890,95.162,6.67,0
7695,1,1,0.00,1,50,966,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,41.157,95.162,6.67,0
7799,1,1,0.00,1,50,976,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,41.157,95.162,6.67,0
7903,1,1,0.00,1,50,980,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,41.372,95.162,6.67,0
8007,1,1,0.00,1,50,992,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,41.004,95.162,6.67,0
8111,1,1,0.00,1,50,1005,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,39.886,95.162,6.67,0
8215,1,1,0.00,1,50,1020,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,39.251,95.162,6.67,0
8319,1,1,0.00,1,50,1024,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,39.149,95.162,6.67,0
8423,1,1,0.00,1,50,1022,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,38.615,95.162,6.67,0
8526,1,1,0.00,1,50,1025,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,48,38.349,95.162,6.67,0
8630,1,1,0.00,1,50,1033,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,37.980,95.162,6.27,0
8734,1,1,0.00,1,50,1030,0.00,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,37.345,95.162,6.27,0
8838,1,1,0.00,1,50,1029,0.00,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.760,95.162,6.27,0
8943,1,1,0.00,1,50,1027,15.27,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.658,95.162,6.27,0
9046,1,1,0.00,1,50,1017,15.24,0.00,0.00,2.82,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.392,95.162,6.27,0
9150,1,1,0.00,1,50,1011,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.443,95.162,6.27,0
9255,1,1,0.00,1,50,1004,15.10,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.658,95.162,6.27,0
9358,1,1,0.00,1,50,995,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.709,95.162,6.27,0
9464,1,1,0.00,1,50,995,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.392,95.162,5.88,0
9568,1,1,0.00,1,50,988,14.57,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.392,95.162,5.88,0
9672,1,1,0.00,1,50,980,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.443,95.162,5.88,0
9776,1,1,0.00,1,50,978,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,0,0,0.0,0.0,49,36.443,95.162,5.88,0
9881,1,1,0.00,1,50,975,14.57,0.00,0.00,2.56,0.0000,15.00,0,0,288,256,20.4,20.4,49,36.760,95.162,5.88,0
9985,1,1,0.00,1,50,970,14.30,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,20.0,20.0,49,36.760,95.162,5.88,0
10089,1,1,0.00,1,50,965,14.29,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,19.2,19.2,49,37.027,95.162,5.88,0
10193,1,1,0.00,1,50,968,15.11,0.00,0.00,2.56,0.0000,15.00,0,0,256,256,18.8,18.8,49,37.027,95.162,5.88,0
10297,1,1,0.00,1,50,966,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,256,224,18.4,18.4,49,37.027,95.162,5.88,0
10401,1,1,0.00,1,50,970,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,18.0,18.4,49,36.709,95.162,5.88,0
10505,1,1,0.00,1,50,968,15.11,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,17.6,18.0,49,36.658,95.162,5.88,0
10609,1,1,0.00,1,50,968,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,17.6,17.6,49,36.658,95.162,5.88,0
10714,1,1,0.00,1,50,964,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,17.3,17.6,49,36.392,95.162,5.88,0
10818,1,1,0.00,1,50,966,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,17.3,17.3,49,36.658,95.162,5.88,0
10921,1,1,0.00,1,50,962,15.54,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,16.9,17.3,49,36.658,95.162,5.88,0
11025,1,1,0.00,1,50,963,15.53,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,16.9,16.9,49,36.658,95.162,5.88,0
11130,1,1,0.00,1,50,966,15.56,0.00,0.00,2.56,0.0000,15.00,0,0,224,224,16.9,16.9,49,36.658,95.162,5.88,0
11234,1,1,0.00,1,50,966,15.78,0.00,0.00,2.56,0.0000,15.00,0,0,192,224,16.5,16.9,49,36.658,95.162,5.88,0
11338,1,1,0.00,1,50,961,15.54,0.00,0.00,2.56,0.0000,15.00,0,0,224,192,16.5,16.5,49,36.658,95.162,5.88,0
11441,1,1,0.00,1,50,969,15.57,0.00,0.00,2.56,0.0000,15.00,0,0,224,192,16.5,16.5,49,36.392,95.162,5.88,0
11545,1,1,0.00,1,50,967,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,224,16.5,16.5,49,36.341,95.162,5.88,0
11650,1,1,0.00,1,50,967,15.54,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,49,36.341,95.162,5.88,0
11754,1,1,0.00,1,50,970,15.58,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,49,36.074,95.162,5.88,0
11858,1,1,0.00,1,50,969,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,49,35.756,95.162,5.88,0
11961,1,1,0.00,1,50,970,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.5,49,36.023,95.162,5.88,0
12065,1,1,0.00,1,50,966,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,49,35.439,95.162,5.88,0
12169,1,1,0.00,1,50,965,15.30,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,49,35.972,95.162,5.88,0
12273,1,1,0.00,1,50,958,15.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,49,35.223,95.162,5.88,0
12377,1,1,0.00,1,50,959,15.13,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,49,35.756,95.162,5.88,0
12481,1,1,0.00,1,50,961,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,35.756,95.162,5.88,0
12585,1,1,0.00,1,50,953,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,35.756,95.162,5.88,0
12689,1,1,0.00,1,50,952,15.10,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,36.023,95.162,5.88,0
12792,1,1,0.00,1,50,946,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,36.290,95.162,5.88,0
12896,1,1,0.00,1,50,947,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,36.341,95.162,5.88,0
13001,1,1,0.00,1,50,946,15.11,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,36.392,95.162,5.88,0
13105,1,1,0.00,1,50,945,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,36.074,95.162,5.88,0
13208,1,1,0.00,1,50,941,15.32,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,16.1,16.1,48,35.858,95.162,5.88,0
13312,1,1,0.00,1,50,947,15.12,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.807,95.162,5.88,0
13416,1,1,0.00,1,50,945,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.807,95.162,5.88,0
13520,1,1,0.00,1,50,947,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.756,95.162,5.88,0
13624,1,1,0.00,1,50,951,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.223,95.162,5.88,0
13729,1,1,0.00,1,50,951,15.10,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.223,95.162,5.88,0
13832,1,1,0.00,1,50,944,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.88,0
13936,1,1,0.00,1,50,948,15.12,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.972,95.162,5.88,0
14040,1,1,0.00,1,50,949,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
14144,1,1,0.00,1,50,948,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.972,95.162,5.49,0
14247,1,1,0.00,1,50,947,14.86,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.972,95.162,5.49,0
14352,1,1,0.00,1,50,940,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.223,95.162,5.49,0
14456,1,1,0.00,1,50,943,14.99,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.172,95.162,5.49,0
14560,1,1,0.00,1,50,937,14.62,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.223,95.162,5.49,0
14663,1,1,0.00,1,50,939,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
14768,1,1,0.00,1,50,940,15.07,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
14871,1,1,0.00,1,50,940,14.59,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
14975,1,1,0.00,1,50,938,15.09,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.49,0
15079,1,1,0.00,1,50,930,15.08,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.972,95.162,5.49,0
15183,1,1,0.00,1,50,932,15.10,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
15287,1,1,0.00,1,50,933,14.59,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,34.956,95.162,5.49,0
15391,1,1,0.00,1,50,930,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
15496,1,1,0.00,1,50,929,14.57,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
15599,1,1,0.00,1,50,932,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.972,95.162,5.49,0
15702,1,1,0.00,1,50,933,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.972,95.162,5.49,0
15807,1,1,0.00,1,50,938,14.58,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.972,95.162,5.49,0
15911,1,1,0.00,1,50,939,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
16015,1,1,0.00,1,50,936,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,34.956,95.162,5.49,0
16119,1,1,0.00,1,50,935,14.58,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
16222,1,1,0.00,1,50,934,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
16326,1,1,0.00,1,50,938,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
16431,1,1,0.00,1,50,940,14.34,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.49,0
16535,1,1,0.00,1,50,936,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.88,0
16638,1,1,0.00,1,49,941,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
16742,1,1,0.00,1,49,939,14.59,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
16846,1,1,0.00,1,49,938,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,34.956,95.162,5.49,0
16951,1,1,0.00,1,49,941,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,34.956,95.162,5.49,0
17055,1,1,0.00,1,49,942,14.58,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
17158,1,1,0.00,1,49,938,14.54,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.49,0
17262,1,1,0.00,1,49,944,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.49,0
17366,1,1,0.00,1,49,944,14.83,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.88,0
17470,1,1,0.00,1,49,945,14.56,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.49,0
17574,1,1,0.00,1,49,946,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.49,0
17678,1,1,0.00,1,49,946,14.57,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.439,95.162,5.49,0
17782,1,1,0.00,1,49,948,14.55,0.00,0.00,2.56,0.0000,15.00,0,0,192,192,15.7,16.1,48,35.388,95.162,5.49,0
