Time (msec),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
3849,0.00,1,55,948,14.54,0.00,0.00,2.56,1.0000,15.00,34.168,5.49,0,7,0.53,1.04,42,0.0000
3954,0.00,1,55,942,14.56,0.00,0.00,2.56,1.0000,15.00,33.850,5.49,0,7,0.53,1.03,42,0.0000
4058,0.00,1,55,945,14.52,0.00,0.00,2.56,1.0000,15.00,33.533,5.49,0,7,0.53,1.03,42,0.0000
4162,0.00,1,55,946,14.54,0.00,0.00,2.56,1.0000,15.00,33.533,5.49,0,7,0.53,1.03,42,0.0000
4266,0.00,1,55,944,14.55,0.00,0.00,2.56,1.0000,15.00,33.215,5.49,0,7,0.53,1.03,42,0.0000
4371,0.00,1,55,948,14.53,0.00,0.00,2.30,1.0000,15.00,32.897,5.49,0,7,0.52,1.03,42,0.0000
4474,0.00,1,55,941,14.47,0.00,0.00,2.30,1.0000,15.00,33.215,5.49,0,7,0.52,1.03,42,0.0000
4578,0.00,1,55,939,14.53,0.00,0.00,2.30,1.0000,15.00,32.897,5.49,0,7,0.52,1.03,42,0.0000
4683,0.00,1,55,936,14.28,0.00,0.00,2.30,1.0000,15.00,33.215,5.49,0,7,0.52,1.03,42,0.0000
4786,0.00,1,55,931,14.29,0.00,0.00,2.30,1.0000,15.00,33.215,5.49,0,7,0.51,1.03,42,0.0000
4889,0.00,1,55,923,14.55,0.00,0.00,2.30,1.0000,15.00,32.897,5.49,0,7,0.51,1.03,42,0.0000
4994,0.00,1,55,922,14.53,0.00,0.00,2.30,1.0000,15.00,33.215,5.49,0,7,0.51,1.03,42,0.0000
5098,0.00,1,55,924,14.47,0.00,0.00,2.30,1.0000,15.00,33.215,5.49,0,7,0.51,1.03,42,0.0000
5201,0.00,1,55,928,14.54,0.00,0.00,2.30,1.0000,15.00,33.533,5.49,0,7,0.51,1.03,41,0.0000
5306,0.00,1,55,926,14.54,0.00,0.00,2.30,1.0000,15.00,33.533,5.49,0,7,0.51,1.03,41,0.0000
5409,0.00,1,55,925,14.57,0.00,0.00,2.30,1.0000,15.00,33.215,5.10,0,7,0.51,1.03,41,0.0000
5513,0.00,1,55,925,14.48,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.51,1.03,41,0.0000
5618,0.00,1,55,926,14.55,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.03,41,0.0000
5721,0.00,1,55,922,14.53,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.51,1.03,41,0.0000
5826,0.00,1,55,921,14.52,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.51,1.03,41,0.0000
5930,0.00,1,55,916,14.53,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.03,41,0.0000
6033,0.00,1,55,915,14.57,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.03,41,0.0000
6137,0.00,1,55,916,14.48,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.03,41,0.0000
6241,0.00,1,55,914,14.55,0.00,0.00,2.30,1.0000,15.00,33.215,5.10,0,7,0.51,1.03,41,0.0000
6345,0.00,1,55,915,14.54,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.51,1.03,41,0.0000
6449,0.00,1,55,918,14.47,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.03,41,0.0000
6552,0.00,1,55,916,14.55,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.51,1.02,41,0.0000
6657,0.00,1,55,920,14.54,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.51,1.02,41,0.0000
6761,0.00,1,55,920,14.49,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.51,1.02,41,0.0000
6864,0.00,1,55,917,14.24,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.02,41,0.0000
6969,0.00,1,55,918,14.56,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.02,41,0.0000
7073,0.00,1,55,912,14.53,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.02,41,0.0000
7176,0.00,1,55,912,14.53,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.51,1.02,41,0.0000
7281,0.00,1,55,912,14.55,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,41,0.0000
7385,0.00,1,55,908,14.53,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
7488,0.00,1,55,907,14.48,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,41,0.0000
7593,0.00,1,55,901,14.55,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
7696,0.00,1,55,902,14.53,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
7800,0.00,1,55,901,14.79,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
7904,0.00,1,55,900,14.54,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
8008,0.00,1,55,900,14.56,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
8112,0.00,1,55,902,14.52,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
8216,0.00,1,55,905,14.55,0.00,0.00,2.30,1.0000,15.00,32.897,5.10,0,7,0.50,1.02,41,0.0000
8320,0.00,1,55,904,14.55,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,41,0.0000
8424,0.00,1,55,906,14.54,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,41,0.0000
8527,0.00,1,55,900,14.53,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,41,0.0000
8632,0.00,1,55,898,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,41,0.0000
8736,0.00,1,55,901,14.54,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,40,0.0000
8839,0.00,1,55,898,14.47,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,40,0.0000
8943,0.00,1,55,900,14.33,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,40,0.0000
9047,0.00,1,55,897,14.50,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,40,0.0000
9151,0.00,1,55,897,14.54,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,40,0.0000
9255,0.00,1,55,894,14.56,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.50,1.02,40,0.0000
9359,0.00,1,55,892,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.50,1.02,40,0.0000
9463,0.00,1,55,888,14.58,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,40,0.0000
9567,0.00,1,55,889,14.56,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.02,40,0.0000
9670,0.00,1,54,889,14.57,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.02,40,0.0000
9775,0.00,1,54,884,14.53,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.02,40,0.0000
9879,0.00,1,54,886,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.02,40,0.0000
9984,0.00,1,54,885,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.02,40,0.0000
10088,0.00,1,54,887,14.54,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.02,40,0.0000
10193,0.00,1,54,884,14.48,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.02,40,0.0000
10297,0.00,1,54,890,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.02,40,0.0000
10402,0.00,1,54,889,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.02,40,0.0000
10505,0.00,1,54,889,14.53,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.02,40,0.0000
10611,0.00,1,54,887,14.56,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.02,40,0.0000
10714,0.00,1,54,887,14.57,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.50,1.02,40,0.0000
10819,0.00,1,54,883,14.58,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.02,40,0.0000
10922,0.00,1,54,884,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.02,40,0.0000
11027,0.00,1,54,887,14.42,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
11130,0.00,1,54,884,14.30,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.01,40,0.0000
11234,0.00,1,54,884,14.56,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
11339,0.00,1,54,890,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
11442,0.00,1,54,892,14.54,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.01,40,0.0000
11545,0.00,1,54,888,14.56,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
11650,0.00,1,54,894,14.57,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.01,40,0.0000
11754,0.00,1,54,894,14.55,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
11857,0.00,1,54,896,14.54,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
11962,0.00,1,54,832,14.57,0.00,0.00,2.30,1.0000,15.00,32.580,5.10,0,7,0.50,1.01,40,0.0000
12067,0.00,1,54,960,14.80,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.50,1.01,40,0.0000
12170,0.00,1,54,896,14.54,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
12274,0.00,1,54,898,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
12379,0.00,1,54,895,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.50,1.01,40,0.0000
12482,0.00,1,54,895,14.54,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.50,1.01,40,0.0000
12586,0.00,1,54,900,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.50,1.01,40,0.0000
12690,0.00,1,54,898,14.63,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
12794,0.00,1,54,902,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
12898,0.00,1,54,902,14.56,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.01,40,0.0000
13002,0.00,1,54,900,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
13105,0.00,1,54,900,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
13210,0.00,1,54,900,14.32,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
13314,0.00,1,54,899,14.59,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.01,40,0.0000
13418,0.00,1,54,898,14.54,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
13522,0.00,1,54,903,14.56,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
13627,0.00,1,54,900,14.57,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.01,40,0.0000
13730,0.00,1,54,902,14.57,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
13835,0.00,1,54,902,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
13939,0.00,1,54,900,14.57,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
14042,0.00,1,54,904,14.57,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
14146,0.00,1,54,904,14.67,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
14250,0.00,1,54,904,14.56,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.01,40,0.0000
14354,0.00,1,54,906,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
14459,0.00,1,54,907,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.02,40,0.0000
14562,0.00,1,54,905,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
14665,0.00,1,54,904,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
14771,0.00,1,54,905,14.56,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,40,0.0000
14874,0.00,1,54,900,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
14977,0.00,1,54,900,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
15082,0.00,1,54,900,14.64,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
15186,0.00,1,54,902,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
15290,0.00,1,54,904,14.34,0.00,0.00,2.30,1.0000,15.00,32.262,5.10,0,7,0.49,1.01,39,0.0000
15393,0.00,1,54,904,14.35,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
15497,0.00,1,54,909,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
15602,0.00,1,54,912,14.57,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
15705,0.00,1,54,916,14.63,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
15810,0.00,1,54,916,14.56,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
15914,0.00,1,54,916,14.58,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
16017,0.00,1,54,914,14.63,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
16122,0.00,1,54,915,14.56,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
16225,0.00,1,54,916,14.57,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
16329,0.00,1,54,913,14.78,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
16433,0.00,1,54,916,14.56,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
16537,0.00,1,54,908,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
16641,0.00,1,54,910,14.53,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
16744,0.00,1,54,911,14.58,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
16849,0.00,1,54,907,14.55,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
16953,0.00,1,54,912,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
17056,0.00,1,54,911,14.63,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
17161,0.00,1,54,912,14.55,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
17264,0.00,1,54,911,14.58,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
17369,0.00,1,54,907,14.09,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
17472,0.00,1,54,909,13.90,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
17576,0.00,1,54,910,14.12,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
17680,0.00,1,54,914,14.16,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
17784,0.00,1,54,915,14.09,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
17888,0.00,1,54,915,14.10,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
17992,0.00,1,54,912,14.11,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
18096,0.00,1,54,915,14.09,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
18200,0.00,1,54,916,14.11,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
18304,0.00,1,54,911,14.36,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
18408,0.00,1,54,916,14.17,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
18511,0.00,1,54,915,14.09,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
18616,0.00,1,54,915,14.11,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
18721,0.00,1,54,915,14.10,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
18825,0.00,1,54,913,14.08,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
18928,0.00,1,54,916,14.12,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
19033,0.00,1,54,912,14.17,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
19136,0.00,1,54,915,14.09,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
19241,0.00,1,54,916,14.12,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
19344,0.00,1,54,912,14.11,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
19448,0.00,1,54,915,14.09,0.00,0.00,2.30,1.0000,15.00,31.944,5.10,0,7,0.49,1.01,39,0.0000
19552,0.00,1,54,912,13.87,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
19657,0.00,1,54,919,13.88,0.00,0.00,2.30,1.0000,15.00,31.627,5.10,0,7,0.49,1.01,39,0.0000
