Time (msec),Accelerator Pedal Angle (%),Auxiliary Spark Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Battery Voltage (V),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Crank Synchronization State (D2WD610H diagnostic)* (raw state),Engine Signal Runtime Flags (D2WD610H diagnostic)* (raw flags),Engine Signal Timeout State (D2WD610H diagnostic)* (raw state),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Scheduler Mode (D2WD610H diagnostic)* (raw mode),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),Missed Airflow Task Activations (D2WD610H diagnostic)* (missed activations),Missed Crank Output Task Activations (D2WD610H diagnostic)* (missed activations),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Spark Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Throttle Opening Angle (%),Vehicle Speed (km/h)
1040,0.00,4032,14.24,1,53,1,0,0,945,15.11,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
1144,0.00,4032,14.16,1,53,1,0,0,943,15.59,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
1248,0.00,4032,14.24,1,53,1,0,0,946,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
1353,0.00,4032,14.16,1,53,1,0,0,944,14.86,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
1457,0.00,4032,14.16,1,53,1,0,0,950,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
1562,0.00,4032,14.16,1,53,1,0,0,948,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
1666,0.00,4032,14.24,1,53,1,0,0,946,15.60,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
1770,0.00,4032,14.16,1,53,1,0,0,952,15.59,0.00,0.00,2.30,1.0000,2,14.50,0,0,0,0,31.627,0,5.10,0
1874,0.00,4032,14.16,1,53,1,0,0,946,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
1977,0.00,4032,14.24,1,53,1,0,0,947,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
2082,0.00,4032,14.24,1,53,1,0,0,942,15.11,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
2187,0.00,4032,14.24,1,53,1,0,0,942,15.13,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
2291,0.00,4032,14.24,1,53,1,0,0,940,15.12,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
2394,0.00,4032,14.32,1,53,1,0,0,944,15.36,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
2500,0.00,4032,13.92,1,53,1,0,0,943,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
2604,0.00,4032,14.24,1,53,1,0,0,946,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
2709,0.00,4032,14.16,1,53,1,0,0,948,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
2813,0.00,4032,14.24,1,53,1,0,0,950,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
2917,0.00,4032,14.16,1,53,1,0,0,946,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3020,0.00,4032,14.16,1,53,1,0,0,945,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3125,0.00,4032,14.16,1,53,1,0,0,946,15.14,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3228,0.00,4032,14.24,1,53,1,0,0,942,15.10,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
3332,0.00,4032,14.16,1,53,1,0,0,943,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3436,0.00,4032,14.16,1,53,1,0,0,945,15.33,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3541,0.00,4032,14.24,1,53,1,0,0,948,15.83,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3645,0.00,4032,14.16,1,53,1,0,0,942,15.59,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3749,0.00,4032,14.24,1,53,1,0,0,944,16.10,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
3853,0.00,4032,14.16,1,53,1,0,0,945,15.61,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
3956,0.00,4032,14.24,1,53,1,0,0,947,15.57,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
4060,0.00,4032,14.16,1,53,1,0,0,944,15.17,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
4165,0.00,4032,14.16,1,53,1,0,0,944,15.56,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
4268,0.00,4032,14.16,1,53,1,0,0,946,15.13,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
4372,0.00,4032,14.16,1,53,1,0,0,943,15.10,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
4477,0.00,4032,14.16,1,53,1,0,0,941,15.48,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
4580,0.00,4032,14.24,1,53,1,0,0,938,15.36,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
4685,0.00,4032,14.16,1,53,1,0,0,943,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
4788,0.00,4032,14.08,1,53,1,0,0,939,15.61,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
4892,0.00,4032,14.24,1,53,1,0,0,943,15.10,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.580,0,5.10,0
4996,0.00,4032,14.16,1,53,1,0,0,945,15.61,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
5100,0.00,4032,14.24,1,53,1,0,0,948,15.20,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
5204,0.00,4032,14.16,1,53,1,0,0,944,15.60,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
5308,0.00,4032,14.24,1,53,1,0,0,945,15.58,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
5411,0.00,4032,14.16,1,53,1,0,0,948,15.13,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
5516,0.00,4032,14.16,1,53,1,0,0,950,15.17,0.00,0.00,2.30,1.0000,2,14.50,0,0,0,0,31.944,0,5.10,0
5619,0.00,4032,14.16,1,53,1,0,0,951,15.32,0.00,0.00,2.30,1.0000,2,14.50,0,0,0,0,31.944,0,5.10,0
5724,0.00,4032,14.16,1,53,1,0,0,944,15.14,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
5827,0.00,4032,14.24,1,53,1,0,0,947,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
5931,0.00,4032,14.16,1,53,1,0,0,942,15.14,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
6035,0.00,4032,14.24,1,53,1,0,0,940,15.19,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
6139,0.00,4032,14.08,1,53,1,0,0,944,15.14,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
6243,0.00,4032,14.24,1,53,1,0,0,946,15.10,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
6347,0.00,4032,14.16,1,53,1,0,0,942,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
6451,0.00,4032,14.24,1,53,1,0,0,947,15.13,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
6555,0.00,4032,14.16,1,53,1,0,0,946,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
6659,0.00,4032,14.16,1,53,1,0,0,946,14.59,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
6763,0.00,4032,14.16,1,53,1,0,0,946,14.56,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
6867,0.00,4032,14.16,1,53,1,0,0,940,14.53,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
6970,0.00,4032,14.24,1,53,1,0,0,945,14.57,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
7075,0.00,4032,14.16,1,53,1,0,0,942,14.54,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
7178,0.00,4032,14.24,1,53,1,0,0,946,15.10,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
7283,0.00,4032,13.92,1,53,1,0,0,948,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
7386,0.00,4032,14.32,1,53,1,0,0,945,15.15,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
7490,0.00,4032,14.16,1,53,1,0,0,940,15.13,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
7594,0.00,4032,14.16,1,53,1,0,0,938,14.53,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
7700,0.00,4032,14.16,1,53,1,0,0,930,14.87,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
7804,0.00,4032,14.16,1,53,1,0,0,930,15.12,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
7907,0.00,4032,14.16,1,53,1,0,0,927,14.59,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
8011,0.00,4032,14.16,1,53,1,0,0,929,15.13,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
8115,0.00,4032,14.24,1,53,1,0,0,933,14.87,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
8220,0.00,4032,14.16,1,53,1,0,0,934,14.58,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
8323,0.00,4032,14.16,1,53,1,0,0,938,14.59,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.580,0,5.10,0
8427,0.00,4032,14.16,1,53,1,0,0,936,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
8531,0.00,4032,14.24,1,53,1,0,0,933,15.14,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
8635,0.00,4032,14.16,1,53,1,0,0,933,15.12,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
8739,0.00,4032,14.16,1,53,1,0,0,931,15.37,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
8843,0.00,4032,14.24,1,53,1,0,0,931,15.39,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.897,0,5.10,0
8947,0.00,4032,14.16,1,53,1,0,0,933,15.13,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
9052,0.00,4032,14.24,1,53,1,0,0,929,15.14,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
9155,0.00,4032,14.08,1,53,1,0,0,935,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
9260,0.00,4032,14.16,1,53,1,0,0,929,15.13,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
9364,0.00,4032,14.24,1,53,1,0,0,928,15.10,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
9467,0.00,4032,14.16,1,53,1,0,0,931,15.15,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
9571,0.00,4032,14.24,1,53,1,0,0,933,15.12,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
9675,0.00,4032,14.08,1,53,1,0,0,928,15.14,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.580,0,5.10,0
9779,0.00,4032,14.24,1,53,1,0,0,929,14.90,0.00,0.00,2.56,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
9883,0.00,4032,14.16,1,53,1,0,0,930,14.76,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
9987,0.00,4032,14.16,1,53,1,0,0,927,15.16,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.262,0,5.10,0
10091,0.00,4032,14.16,1,53,1,0,0,922,15.11,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.897,0,5.10,0
10195,0.00,4032,14.08,1,53,1,0,0,906,15.20,0.00,0.00,2.30,1.0000,2,16.00,0,0,0,0,32.897,0,5.10,0
10299,0.00,4032,14.16,1,53,1,0,0,892,15.17,0.00,0.00,2.30,1.0000,2,16.50,0,0,0,0,33.215,0,5.10,0
10402,0.00,4032,14.16,1,53,1,0,0,876,15.20,0.00,0.00,2.30,1.0000,2,17.00,0,0,0,0,33.850,0,5.10,0
10507,0.00,4032,14.08,1,53,1,0,0,864,15.18,0.00,0.00,2.30,1.0000,2,17.50,0,0,0,0,34.168,0,5.10,0
10611,0.00,4032,14.16,1,53,1,0,0,854,15.19,0.00,0.00,2.56,1.0000,2,17.50,0,0,0,0,34.803,0,5.10,0
10715,0.00,4032,14.08,1,53,1,0,0,850,14.65,0.00,0.00,2.56,1.0000,2,18.00,0,0,0,0,35.439,0,5.49,0
10818,0.00,4032,14.24,1,53,1,0,0,860,15.12,0.00,0.00,2.56,1.0000,2,17.00,0,0,0,0,36.709,0,5.49,0
10923,0.00,4032,14.16,1,53,1,0,0,880,15.38,0.00,0.00,2.56,1.0000,2,16.00,0,0,0,0,36.709,0,5.49,0
11026,0.00,4032,14.24,1,53,1,0,0,908,15.83,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,36.392,0,5.49,0
11130,0.00,4032,14.24,1,53,1,0,0,936,15.15,0.00,0.00,2.56,1.0000,2,13.00,0,0,0,0,36.074,0,5.49,0
11234,0.00,4032,14.16,1,53,1,0,0,954,15.12,0.00,0.00,2.56,1.0000,2,11.50,0,0,0,0,35.439,0,5.49,0
11338,0.00,4032,14.24,1,53,1,0,0,971,15.13,0.00,0.00,2.56,1.0000,2,10.50,0,0,0,0,34.803,0,5.10,0
11442,0.00,4032,14.16,1,53,1,0,0,969,15.13,0.00,0.00,2.56,1.0000,2,10.50,0,0,0,0,33.850,0,5.10,0
11545,0.00,4032,14.24,1,53,1,0,0,968,15.59,0.00,0.00,2.56,1.0000,2,12.00,0,0,0,0,33.215,0,5.10,0
11651,0.00,4032,14.16,1,53,1,0,0,1021,15.62,0.00,0.00,2.56,1.0000,2,12.00,0,0,0,0,33.215,0,5.49,0
11754,0.00,4032,14.24,1,53,1,0,0,955,15.59,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,33.215,0,5.49,0
11858,0.00,4032,14.16,1,53,1,0,0,946,15.60,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,33.533,0,5.49,0
11962,0.00,4032,14.32,1,53,1,0,0,948,15.33,0.00,0.00,2.56,1.0000,2,14.00,0,0,0,0,33.850,0,5.49,0
12066,0.00,4032,14.16,1,54,1,0,0,953,15.61,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,33.850,0,5.49,0
12170,0.00,4032,14.24,1,54,1,0,0,952,15.59,0.00,0.00,2.56,1.0000,2,14.00,0,0,0,0,33.533,0,5.49,0
12274,0.00,4032,14.16,1,54,1,0,0,960,15.61,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,32.897,0,5.10,0
12377,0.00,4032,14.24,1,54,1,0,0,950,14.60,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,32.580,0,5.10,0
12481,0.00,4032,14.16,1,54,1,0,0,949,14.58,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,32.580,0,5.10,0
12585,0.00,4032,14.16,1,54,1,0,0,940,14.60,0.00,0.00,2.56,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
12689,0.00,4032,14.16,1,54,1,0,0,938,14.57,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.580,0,5.10,0
12794,0.00,4032,14.24,1,54,1,0,0,936,14.61,0.00,0.00,2.56,1.0000,2,15.50,0,0,0,0,32.897,0,5.10,0
12897,0.00,4032,14.24,1,54,1,0,0,944,14.82,0.00,0.00,2.56,1.0000,2,15.00,0,0,0,0,32.897,0,5.49,0
13001,0.00,4032,14.00,1,54,1,0,0,943,14.55,0.00,0.00,2.56,1.0000,2,15.00,0,0,0,0,33.215,0,5.49,0
13105,0.00,4032,14.32,1,54,1,0,0,947,14.64,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,33.215,0,5.49,0
13209,0.00,4032,14.16,1,54,1,0,0,946,14.57,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,33.215,0,5.49,0
13314,0.00,4032,14.24,1,54,1,0,0,950,14.60,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,33.215,0,5.49,0
13417,0.00,4032,14.16,1,54,1,0,0,951,14.58,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,32.897,0,5.49,0
13522,0.00,4032,14.16,1,54,1,0,0,949,14.60,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,32.897,0,5.49,0
13625,0.00,4032,14.16,1,54,1,0,0,951,14.58,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,32.897,0,5.49,0
13729,0.00,4032,14.16,1,54,1,0,0,953,14.62,0.00,0.00,2.56,1.0000,2,14.50,0,0,0,0,32.897,0,5.49,0
13833,0.00,4032,14.16,1,54,1,0,0,942,14.61,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,32.897,0,5.10,0
13937,0.00,4032,14.16,1,54,1,0,0,932,14.62,0.00,0.00,2.56,1.0000,2,15.50,0,0,0,0,32.897,0,5.49,0
14041,0.00,4032,14.24,1,54,1,0,0,928,14.38,0.00,0.00,2.56,1.0000,2,16.00,0,0,0,0,33.215,0,5.10,0
14144,0.00,4032,14.08,1,54,1,0,0,923,14.78,0.00,0.00,2.30,1.0000,2,16.00,0,0,0,0,33.533,0,5.49,0
14248,0.00,4032,14.24,1,54,1,0,0,922,14.62,0.00,0.00,2.56,1.0000,2,16.00,0,0,0,0,33.533,0,5.10,0
14353,0.00,4032,14.16,1,54,1,0,0,919,14.60,0.00,0.00,2.56,1.0000,2,16.00,0,0,0,0,33.533,0,5.10,0
14457,0.00,4032,14.16,1,54,1,0,0,916,15.17,0.00,0.00,2.56,1.0000,2,16.00,0,0,0,0,33.850,0,5.10,0
14561,0.00,4032,14.24,1,54,1,0,0,918,14.60,0.00,0.00,2.56,1.0000,2,16.00,0,0,0,0,34.168,0,5.10,0
14665,0.00,4032,14.16,1,54,1,0,0,916,14.63,0.00,0.00,2.56,1.0000,2,16.00,0,0,0,0,34.168,0,5.10,0
14769,0.00,4032,14.16,1,54,1,0,0,918,14.59,0.00,0.00,2.56,1.0000,2,15.50,0,0,0,0,33.850,0,5.49,0
14872,0.00,4032,14.16,1,54,1,0,0,920,14.62,0.00,0.00,2.56,1.0000,2,15.50,0,0,0,0,34.168,0,5.10,0
14976,0.00,4032,14.24,1,54,1,0,0,930,14.59,0.00,0.00,2.56,1.0000,2,15.00,0,0,0,0,34.168,0,5.49,0
15080,0.00,4032,14.16,1,54,1,0,0,948,15.21,0.00,0.00,2.56,1.0000,2,14.00,0,0,0,0,33.850,0,5.49,0
15184,0.00,4032,14.16,1,54,1,0,0,949,15.38,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,33.215,0,5.10,0
15289,0.00,4032,14.24,1,54,1,0,0,957,15.20,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,33.215,0,5.10,0
15392,0.00,4032,13.92,1,54,1,0,0,956,15.14,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,32.897,0,5.10,0
15496,0.00,4032,14.24,1,54,1,0,0,959,15.10,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,32.897,0,5.10,0
15600,0.00,4032,14.08,1,54,1,0,0,954,15.13,0.00,0.00,2.56,1.0000,2,13.50,0,0,0,0,32.580,0,5.10,0
15704,3.14,4032,14.24,1,54,1,0,0,955,15.11,0.00,0.00,2.56,1.0000,2,17.50,0,0,0,0,35.121,0,5.88,0
15808,12.16,4032,14.16,1,54,1,0,0,972,15.12,0.00,0.00,2.56,1.0000,2,17.00,0,0,0,0,48.146,0,9.80,0
15912,10.20,4032,14.32,1,54,1,0,0,1047,14.67,0.00,0.00,3.07,1.0000,2,16.50,0,0,0,0,82.455,0,22.35,0
16016,0.00,4032,14.24,1,54,1,0,0,1286,14.57,0.00,0.00,4.35,1.0000,2,17.00,0,0,0,0,64.983,0,8.63,0
16120,0.00,4032,14.16,1,54,1,0,0,1494,14.57,0.00,0.00,4.35,1.0000,2,15.00,0,0,0,0,47.193,0,5.88,0
16224,0.00,4032,14.08,1,54,1,0,0,1558,15.44,0.00,0.00,3.58,1.0000,2,15.00,0,0,0,0,34.803,0,5.49,0
16328,0.00,4032,14.08,1,54,1,0,0,1510,17.12,0.00,0.00,2.82,1.0000,2,15.00,0,0,0,0,31.627,0,5.88,0
16432,0.00,4032,14.16,1,54,1,0,0,1448,18.58,0.00,0.00,2.82,1.0000,2,15.00,0,0,0,0,28.132,0,5.88,0
16535,0.00,4032,14.16,1,54,1,0,0,1378,16.49,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,26.226,0,5.10,0
16639,0.00,4032,14.16,1,54,1,0,0,1267,15.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,26.861,0,5.88,0
16744,0.00,4032,14.24,1,54,1,0,0,1193,14.10,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,27.814,0,6.27,0
16847,0.00,4032,14.16,1,54,1,0,0,1146,14.12,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,27.497,0,5.49,0
16952,0.00,4032,14.24,1,54,1,0,0,1098,13.10,0.00,0.00,2.05,1.0000,2,15.00,0,0,0,0,27.814,0,5.49,0
17055,0.00,4032,14.16,1,54,1,0,0,1049,13.12,0.00,0.00,2.05,1.0000,2,15.00,0,0,0,0,28.767,0,5.88,0
17160,0.00,4032,14.16,1,54,1,0,0,1034,13.10,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,29.720,0,5.49,0
17265,0.00,4032,14.24,1,54,1,0,0,1013,12.58,0.00,0.00,2.30,1.0000,2,19.00,0,0,0,0,30.038,0,5.10,0
17368,0.00,4032,14.16,1,54,1,0,0,1001,12.57,0.00,0.00,2.30,1.0000,2,19.00,0,0,0,0,30.038,0,5.10,0
17473,0.00,4032,14.16,1,54,1,0,0,989,12.57,0.00,0.00,2.30,1.0000,2,19.00,0,0,0,0,30.356,0,5.10,0
17577,0.00,4032,14.16,1,54,1,0,0,985,12.59,0.00,0.00,2.30,1.0000,2,19.00,0,0,0,0,30.356,0,5.10,0
17683,0.00,4032,14.24,1,54,1,0,0,977,13.11,0.00,0.00,2.30,1.0000,2,19.00,0,0,0,0,30.673,0,5.10,0
17787,0.00,4032,14.24,1,54,1,0,0,975,13.11,0.00,0.00,2.30,1.0000,2,19.00,0,0,0,0,30.991,0,5.10,0
17891,0.00,4032,14.24,1,54,1,0,0,972,13.50,0.00,0.00,2.30,1.0000,2,18.50,0,0,0,0,31.309,0,5.10,0
17995,0.00,4032,14.24,1,54,1,0,0,970,13.60,0.00,0.00,2.30,1.0000,2,18.50,0,0,0,0,30.991,0,5.10,0
