Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (4-byte)* (kPa absolute),Mass Airflow (g/s),Throttle Opening Angle (%)
1663,0.00,0.00,0.00,0.00,712,11.68,7,33,1.44,0,15.55,36544,50.0,0.0000,0.00,0.0000,0.00,0.00,26,95.16,3.18,6.27
1767,0.00,0.00,0.00,0.00,712,11.76,7,33,1.44,0,15.57,36480,50.0,0.0000,0.00,0.0000,0.00,0.00,26,95.16,3.18,6.27
1871,0.00,0.00,0.00,0.00,712,11.76,7,33,1.44,0,15.56,35264,50.0,0.0000,0.00,0.0000,0.00,0.00,26,95.16,3.18,6.27
1975,0.00,0.00,0.00,0.00,712,11.76,7,33,1.44,0,11.88,6144,50.0,0.0000,0.00,0.0000,0.00,0.00,26,95.16,3.18,6.27
2079,0.00,0.00,0.00,0.00,712,8.72,7,33,1.44,0,0.00,128,0.0,0.0000,0.00,0.0000,0.00,0.00,26,95.16,3.18,6.27
2183,0.00,0.00,0.00,0.00,712,9.28,7,33,1.44,0,0.00,64,0.0,0.9355,0.00,0.0000,0.00,15.00,26,95.16,0.00,6.27
2287,0.00,0.00,0.00,0.00,712,10.00,7,33,1.44,0,0.00,64,0.0,1.4315,1.54,0.0000,0.00,15.00,26,95.16,0.00,6.27
2391,0.00,0.00,0.00,0.00,712,9.52,7,33,1.44,106,0.00,64,0.0,1.3878,1.54,0.0000,0.00,15.00,26,94.69,1.65,6.27
2495,0.00,0.00,0.00,0.00,712,10.16,7,33,1.44,136,0.00,64,0.0,1.3878,1.28,0.0000,100.00,15.00,26,93.89,2.11,6.27
2598,0.00,0.00,0.00,0.00,712,10.00,7,33,1.44,274,0.00,128,0.0,1.2648,1.28,9.1655,100.00,15.00,26,87.54,7.18,6.27
2702,0.00,0.00,0.00,0.00,712,10.56,7,33,1.44,649,0.00,192,0.0,1.0665,8.45,7.2065,100.00,15.00,26,79.91,11.80,6.27
2806,0.00,0.00,0.00,0.00,712,12.48,7,33,1.26,832,0.00,8384,0.0,0.7782,7.17,6.1440,100.00,15.00,26,69.43,16.86,6.27
2911,0.00,0.00,0.00,0.00,712,13.52,7,33,1.22,1002,0.00,3840,0.0,0.7390,6.91,5.8742,100.00,15.00,26,61.49,18.38,6.67
3015,0.00,0.00,0.00,0.00,712,13.92,7,33,1.17,1110,0.00,4288,0.0,0.6693,6.40,5.5620,100.00,15.00,26,57.04,18.27,7.06
3119,0.00,0.00,0.00,0.00,712,14.16,7,33,1.11,1152,0.00,3904,0.0,0.6455,5.89,5.1410,100.00,15.00,26,52.12,17.17,7.06
3222,0.00,0.00,0.00,0.00,712,14.32,7,33,1.04,1159,0.00,3904,0.0,0.6430,5.38,4.7235,100.00,15.00,26,48.07,15.91,7.06
3326,0.00,0.00,0.00,0.00,712,14.32,7,33,0.97,1151,0.00,3904,0.0,0.6430,5.12,4.3390,100.00,15.00,26,45.92,14.95,7.06
3430,0.00,0.00,0.00,0.00,712,14.48,7,33,0.92,1122,0.00,3968,0.0,0.6668,4.86,4.0000,100.00,15.00,26,44.89,14.00,7.06
3535,0.00,0.00,0.00,0.00,712,14.40,7,33,0.87,1075,0.00,3904,0.0,0.6335,4.35,3.6903,100.00,15.00,26,43.78,13.07,7.06
3639,0.00,0.00,0.00,0.00,712,14.16,7,33,0.83,1042,0.00,3840,0.0,0.6218,4.35,3.4825,100.00,15.00,26,43.70,12.67,7.06
3743,0.00,0.00,0.00,0.00,712,14.32,7,33,0.81,988,0.00,3904,0.0,0.6620,4.10,3.3750,100.00,15.00,26,43.86,12.26,7.06
3847,0.00,0.00,0.00,0.00,712,14.32,7,33,0.79,957,0.00,3840,0.0,0.6335,3.84,3.2550,100.00,15.00,26,44.10,11.90,7.45
3952,0.00,0.00,0.00,0.00,712,14.32,7,33,0.78,930,0.00,3840,0.0,0.6502,3.84,3.2230,100.00,15.00,26,44.65,11.62,7.06
4055,0.00,0.00,0.00,0.00,712,14.32,7,33,0.77,894,0.00,3968,0.0,0.6265,3.84,3.1610,100.00,15.00,26,45.21,11.47,7.06
4159,0.00,0.00,0.00,0.00,712,14.32,7,33,0.78,856,0.00,3712,0.0,0.6312,3.84,3.1707,100.00,15.00,26,46.08,11.28,7.06
4264,0.00,0.00,0.00,0.00,712,14.32,7,33,0.78,849,0.00,3776,0.0,0.6502,3.84,3.1435,100.00,15.00,26,46.95,11.47,7.45
4368,0.00,0.00,0.00,0.00,712,14.24,7,33,0.79,848,0.00,3776,0.0,0.6525,3.84,3.1780,100.00,15.00,26,47.83,11.54,7.45
4471,0.00,0.00,0.00,0.00,712,14.24,7,33,0.79,849,0.00,4032,0.0,0.6763,3.84,3.2067,100.00,15.00,25,48.30,11.62,7.45
4576,0.00,0.00,0.00,0.00,712,14.32,7,33,0.80,851,0.00,3968,0.0,0.6240,3.84,3.1855,100.00,15.00,25,48.78,11.88,7.45
4680,0.00,0.00,0.00,0.00,712,14.48,7,33,0.81,870,0.00,3776,0.0,0.6265,3.84,3.2157,100.00,15.00,25,48.86,12.13,7.45
4783,0.00,0.00,0.00,0.00,712,14.24,7,33,0.82,882,0.00,3776,0.0,0.6668,3.84,3.1938,100.00,15.00,25,49.26,12.58,8.24
4887,0.00,0.00,0.00,0.00,712,14.32,7,32,0.82,908,0.00,3712,0.0,0.6265,3.84,3.2273,100.00,15.00,25,50.45,13.18,8.24
4992,0.00,0.00,0.00,0.00,712,14.48,7,32,0.83,936,0.00,3712,0.0,0.6192,3.84,3.2230,100.00,15.00,25,51.00,13.66,8.24
5095,0.00,0.00,0.00,0.00,712,14.16,7,32,0.84,978,0.00,3776,0.0,0.6502,3.84,3.2580,100.00,15.00,25,51.00,14.55,8.63
5198,0.00,0.00,0.00,0.00,712,14.48,7,32,0.85,1021,0.00,2176,0.0,0.6620,3.84,3.2490,100.00,15.00,25,50.69,14.88,8.63
5303,0.00,0.00,0.00,0.00,712,14.40,7,32,0.85,1066,0.00,5248,0.0,0.6240,3.84,3.2622,100.00,15.00,25,49.81,15.27,8.63
5407,0.00,0.00,0.00,0.00,712,14.32,7,32,0.86,1099,0.00,3776,0.0,0.6335,3.84,3.2252,100.00,15.00,25,48.86,15.65,8.63
5511,0.00,0.00,0.00,0.00,712,14.32,7,32,0.85,1128,0.00,3712,0.0,0.6265,3.84,3.2058,100.00,15.00,25,48.15,15.60,8.63
5614,0.00,0.00,0.00,0.00,712,14.40,7,32,0.84,1152,0.00,3648,0.0,0.6240,3.84,3.1433,100.00,15.00,25,47.27,15.65,8.63
5718,0.00,0.00,0.00,0.00,712,14.40,7,32,0.83,1170,0.00,3712,0.0,0.6288,3.84,3.0718,100.00,15.00,25,45.92,15.38,8.63
5823,0.00,0.00,0.00,0.00,712,14.32,7,32,0.82,1184,0.00,3648,0.0,0.6430,3.58,3.0148,100.00,15.00,25,45.05,15.18,8.24
5928,0.00,0.00,0.00,0.00,712,14.32,7,32,0.80,1190,0.00,3648,0.0,0.6265,3.58,2.9220,100.00,15.00,25,44.17,14.95,8.24
6033,0.00,0.00,0.00,0.00,712,14.32,7,32,0.79,1197,0.00,3648,0.0,0.6335,3.58,2.8440,100.00,15.00,25,43.54,14.74,8.63
6137,0.00,0.00,0.00,0.00,712,14.40,7,32,1.44,1193,0.00,3712,0.0,0.6430,3.84,3.2483,100.00,15.00,24,43.06,14.54,8.63
6240,0.00,0.00,0.00,0.00,712,14.48,7,32,0.76,1188,0.00,3712,0.0,0.6455,3.84,3.2715,100.00,15.00,24,41.55,13.64,7.84
6344,0.00,0.00,0.00,0.00,712,14.40,7,32,0.74,1172,0.00,3584,0.0,0.6455,3.84,3.1867,100.00,15.00,24,40.36,13.01,7.45
6449,0.00,0.00,0.00,0.00,712,14.40,7,32,0.72,1140,0.00,3520,0.0,0.6430,3.84,3.0947,100.00,15.00,24,39.41,12.27,7.06
6552,0.00,0.00,0.00,0.00,712,14.40,7,32,0.70,1098,0.00,3712,0.0,0.6430,3.58,3.0148,100.00,15.00,24,39.17,11.70,7.06
6656,0.00,0.00,0.00,0.00,712,14.40,7,32,0.69,1060,0.00,3584,0.0,0.6312,3.58,2.9592,100.00,15.00,24,39.41,11.35,7.06
6760,0.00,0.00,0.00,0.00,712,14.40,7,32,0.68,1011,0.00,3584,0.0,0.6478,3.58,2.9355,100.00,15.00,24,39.97,11.23,7.45
6864,0.00,0.00,0.00,0.00,712,14.48,7,32,0.68,967,0.00,3328,0.0,0.6265,3.58,2.9410,100.00,15.00,24,40.68,11.12,7.06
6968,0.00,0.00,0.00,0.00,712,14.32,7,32,0.68,944,0.00,3584,0.0,0.6502,3.58,2.9632,100.00,15.00,24,41.55,11.06,7.45
7071,0.00,0.00,0.00,0.00,712,14.48,7,32,0.69,919,0.00,3520,0.0,0.6240,3.58,2.9375,100.00,15.00,24,42.59,11.17,7.45
7176,0.00,0.00,0.00,0.00,712,14.32,7,32,0.70,902,0.00,3776,0.0,0.6478,3.58,2.9800,100.00,15.00,24,43.62,11.31,7.45
7280,0.00,0.00,0.00,0.00,712,14.40,7,32,0.71,896,0.00,2240,0.0,0.6240,3.58,2.9882,100.00,15.00,24,44.89,11.53,7.45
7384,0.00,0.00,0.00,0.00,712,14.48,7,32,0.73,886,0.00,1984,0.0,0.6145,3.58,3.0640,100.00,15.00,24,45.68,11.72,7.45
7487,0.00,0.00,0.00,0.00,712,14.32,7,32,0.74,890,0.00,3584,0.0,0.6598,3.84,3.0638,100.00,15.00,24,46.24,11.99,7.45
7591,0.00,0.00,0.00,0.00,712,14.32,7,31,0.76,906,0.00,3584,0.0,0.6478,3.84,3.1278,100.00,15.00,24,46.80,12.36,7.45
7696,0.00,0.00,0.00,0.00,712,14.48,7,31,0.77,927,0.00,3520,0.0,0.6240,3.84,3.1307,100.00,15.00,24,46.88,12.54,7.45
7800,0.00,0.00,0.00,0.00,712,14.32,7,31,0.78,944,0.00,3648,0.0,0.6455,3.84,3.1692,100.00,15.00,24,46.72,12.73,7.45
7903,0.00,0.00,0.00,0.00,712,14.48,7,31,0.79,951,0.00,3584,0.0,0.6265,3.84,3.1463,100.00,15.00,24,46.56,12.84,7.45
8009,0.00,0.00,0.00,0.00,712,14.32,7,31,0.79,969,0.00,3648,0.0,0.6455,3.84,3.1570,100.00,15.00,24,46.16,12.85,7.45
8112,0.00,0.00,0.00,0.00,712,14.48,7,31,0.80,980,0.00,3648,0.0,0.6335,3.84,3.1130,100.00,15.00,23,45.76,12.98,7.45
8216,0.00,0.00,0.00,0.00,712,14.32,7,31,0.79,990,0.00,3648,0.0,0.6455,3.84,3.1035,100.00,15.00,23,45.52,13.10,7.45
8321,0.00,0.00,0.00,0.00,712,14.40,7,31,0.79,995,0.00,3648,0.0,0.6620,3.84,3.0747,100.00,15.00,23,46.64,13.60,8.24
8424,0.00,0.00,0.00,0.00,712,14.16,7,31,0.80,1012,14.09,26944,50.0,0.6312,3.84,3.0975,100.00,15.00,23,47.27,14.02,8.24
8529,0.00,0.00,0.00,0.00,712,14.32,7,31,0.81,1040,14.10,26688,50.0,0.6573,3.84,3.0925,100.00,15.00,23,47.83,14.54,8.63
8633,0.00,0.00,0.00,0.00,712,14.48,7,31,0.81,1064,14.07,26688,50.0,0.6430,3.84,3.1125,100.00,15.00,23,47.83,14.87,8.63
8737,0.00,0.00,0.00,0.00,712,14.40,7,31,0.82,1090,14.07,29568,50.0,0.6382,3.84,3.0933,100.00,15.00,23,47.51,15.06,8.63
8841,0.00,0.00,0.00,0.00,712,14.48,7,31,0.82,1116,14.55,26944,50.0,0.6382,3.84,3.0965,100.00,15.00,23,47.11,15.31,8.63
8945,0.00,0.00,0.00,0.00,712,14.32,7,31,0.82,1140,14.09,29632,50.0,0.6360,3.84,3.0573,100.00,15.00,23,46.48,15.37,8.63
9049,0.00,0.00,0.00,0.00,712,14.24,7,31,0.81,1162,14.54,29824,50.0,0.6288,3.58,3.0100,100.00,15.00,23,45.92,15.35,8.63
9152,0.00,0.00,0.00,0.00,712,14.16,7,31,0.81,1176,14.54,33408,50.0,0.6360,3.58,2.9820,100.00,15.00,23,45.45,15.42,8.63
9257,0.00,0.00,0.00,0.00,712,14.40,7,31,0.80,1184,14.82,29760,50.0,0.6335,3.58,2.9263,100.00,15.00,23,44.89,15.29,8.63
9360,0.00,0.00,0.00,0.00,712,14.48,7,31,0.79,1190,14.53,29568,50.0,0.6408,3.58,2.8815,100.00,15.00,23,43.94,14.92,8.24
9465,0.00,0.00,0.00,0.00,712,14.48,7,31,0.78,1187,14.28,28032,50.0,0.6455,3.58,2.8165,100.00,15.00,23,43.38,14.76,8.63
9570,0.00,0.00,0.00,0.00,712,14.40,7,31,0.77,1182,14.54,29952,50.0,0.6668,3.33,2.7658,100.00,15.00,23,43.38,14.79,8.63
9673,0.00,0.00,0.00,0.00,712,14.32,7,31,0.76,1180,14.57,29696,50.0,0.6430,3.33,2.7348,100.00,15.00,23,43.38,14.77,8.63
9777,0.00,0.00,0.00,0.00,712,14.48,7,31,0.75,1188,14.57,29760,50.0,0.6408,3.33,2.7027,100.00,15.00,23,43.38,14.62,8.63
9882,0.00,0.00,0.00,0.00,712,14.48,7,31,0.75,1187,14.54,29696,50.0,0.6620,3.33,2.6930,100.00,15.00,23,43.62,14.76,9.02
9985,0.00,0.00,0.00,0.00,712,14.40,7,31,0.75,1193,14.07,26816,50.0,0.6335,3.33,2.6757,100.00,15.00,23,43.70,14.94,9.02
10089,0.00,0.00,0.00,0.00,712,14.32,7,31,0.75,1196,14.10,26624,50.0,0.6382,3.33,2.6643,100.00,15.00,23,43.86,14.87,9.02
10192,0.00,0.00,0.00,0.00,712,14.32,7,31,0.75,1200,14.10,26688,50.0,0.6335,3.33,2.6643,100.00,15.00,23,43.78,14.97,9.02
10297,0.00,0.00,0.00,0.00,712,14.16,7,31,0.75,1212,14.53,29888,50.0,0.6360,3.33,2.6505,100.00,15.00,23,43.54,15.05,8.63
10401,0.00,0.00,0.00,0.00,712,14.48,7,31,0.75,1218,14.54,31552,50.0,0.6550,3.33,2.6307,100.00,15.00,23,43.38,15.09,8.63
10505,0.00,0.00,0.00,0.00,712,14.40,7,31,0.75,1219,14.57,29696,50.0,0.6455,3.33,2.6230,100.00,15.00,23,43.06,15.02,8.63
10608,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1225,14.55,29696,50.0,0.6408,3.33,2.6052,100.00,15.00,22,43.06,15.13,9.02
10713,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1228,14.52,29760,50.0,0.6430,3.33,2.5970,100.00,15.00,22,42.98,15.18,9.02
10816,0.00,0.00,0.00,0.00,712,14.32,7,31,0.74,1236,14.54,33024,50.0,0.6335,3.33,2.5830,100.00,15.00,22,42.67,15.11,9.02
10920,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1243,15.09,33280,50.0,0.6430,3.33,2.5682,100.00,15.00,22,42.59,15.19,9.02
11025,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1245,15.10,29696,50.0,0.6430,3.07,2.5598,100.00,15.00,22,42.43,15.20,9.02
11128,0.00,0.00,0.00,0.00,712,14.48,7,31,0.74,1251,14.53,29888,50.0,0.6382,3.07,2.4800,100.00,15.00,22,42.27,15.13,9.02
11232,0.00,0.00,0.00,0.00,712,14.40,7,31,0.73,1250,14.54,30080,50.0,0.6408,3.07,2.4665,100.00,15.00,22,42.27,15.12,9.02
11337,0.00,0.00,0.00,0.00,712,14.40,7,31,0.73,1250,14.98,33280,50.0,0.6382,3.07,2.4690,100.00,15.00,22,42.43,15.40,9.02
11440,0.00,0.00,0.00,0.00,712,14.40,7,31,0.73,1254,15.10,33152,50.0,0.6408,3.07,2.4785,100.00,15.00,22,42.75,15.64,9.02
11544,0.00,0.00,0.00,0.00,712,14.48,7,31,0.74,1261,14.87,31808,50.0,0.6335,3.07,2.4890,100.00,15.00,22,42.75,15.66,9.02
11648,0.00,0.00,0.00,0.00,712,14.32,7,31,0.74,1266,14.82,32256,50.0,0.6430,3.07,2.5025,100.00,15.00,22,42.75,15.56,9.02
11752,0.00,0.00,0.00,0.00,712,14.48,7,31,0.74,1281,15.09,33408,50.0,0.6430,3.07,2.5013,100.00,15.00,22,42.67,15.81,9.02
11856,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1282,15.11,33152,50.0,0.6430,3.07,2.5025,100.00,15.00,22,42.51,15.90,9.02
11961,0.00,0.00,0.00,0.00,712,14.32,7,31,0.74,1284,15.07,33280,50.0,0.6360,3.07,2.5048,100.00,15.00,22,42.43,15.73,9.02
12066,0.00,0.00,0.00,0.00,712,14.48,7,31,0.74,1289,15.08,33344,50.0,0.6525,3.07,2.4922,100.00,15.00,22,42.19,15.72,9.02
12170,0.00,0.00,0.00,0.00,712,14.48,7,31,0.74,1296,15.11,33472,50.0,0.6360,3.07,2.4823,100.00,15.00,22,42.11,15.84,9.02
12275,0.00,0.00,0.00,0.00,712,14.32,7,31,0.74,1294,15.09,33088,50.0,0.6502,3.07,2.4735,100.00,15.00,22,42.03,15.92,9.02
12380,0.00,0.00,0.00,0.00,712,14.32,7,31,0.73,1297,15.08,33472,50.0,0.6408,3.07,2.4688,100.00,15.00,22,41.95,15.72,9.02
12484,0.00,0.00,0.00,0.00,712,14.40,7,31,0.73,1293,15.09,33344,50.0,0.6408,3.07,2.4545,100.00,15.00,22,41.95,15.66,9.02
12588,0.00,0.00,0.00,0.00,712,14.48,7,31,0.73,1300,15.11,34816,50.0,0.6408,3.07,2.4432,100.00,15.00,22,41.63,15.61,9.02
12692,0.00,0.00,0.00,0.00,712,14.40,7,31,0.73,1290,15.32,35008,50.0,0.6430,3.07,2.4223,100.00,15.00,22,41.47,15.43,9.02
12796,0.00,0.00,0.00,0.00,712,14.32,7,31,0.72,1288,15.07,33344,50.0,0.6382,3.07,2.4055,100.00,15.00,22,41.32,15.32,9.02
12901,0.00,0.00,0.00,0.00,712,14.48,7,31,0.72,1286,15.10,33280,50.0,0.6645,3.07,2.3878,100.00,15.00,22,41.16,15.27,9.02
13006,0.00,0.00,0.00,0.00,712,14.40,7,31,0.72,1288,15.11,33472,50.0,0.6360,3.07,2.3733,100.00,15.00,22,41.08,15.11,9.02
13111,0.00,0.00,0.00,0.00,712,14.32,7,31,0.72,1278,15.08,33472,50.0,0.6430,3.07,2.3613,100.00,15.00,22,41.16,15.24,9.02
13215,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1275,15.09,33728,50.0,0.6620,3.07,2.3550,100.00,15.00,22,41.16,15.14,9.02
13319,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1276,15.10,33280,50.0,0.6382,3.07,2.3458,100.00,15.00,22,41.00,15.10,8.63
13423,0.00,0.00,0.00,0.00,712,14.24,7,31,0.71,1282,14.58,29824,50.0,0.6430,3.07,2.3468,100.00,15.00,22,41.08,15.10,9.02
13527,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1280,14.56,29696,50.0,0.6455,3.07,2.3483,100.00,15.00,22,41.00,15.04,8.63
13633,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1268,14.52,29248,50.0,0.6430,3.07,2.3430,100.00,15.00,22,41.08,15.02,9.02
13736,0.00,0.00,0.00,0.00,712,14.32,7,31,0.71,1258,14.33,28224,50.0,0.6430,3.07,2.3390,100.00,15.00,22,41.16,14.85,8.63
13840,0.00,0.00,0.00,0.00,712,14.48,7,31,0.71,1258,14.58,29824,50.0,0.6430,3.07,2.3378,100.00,15.00,22,41.24,14.90,8.63
13944,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1262,14.56,29760,50.0,0.6502,3.07,2.3392,100.00,15.00,22,41.24,14.90,8.63
14047,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1262,14.55,30144,50.0,0.6288,3.07,2.3395,100.00,15.00,22,41.24,14.90,8.63
14151,0.00,0.00,0.00,0.00,712,14.16,7,31,0.71,1257,14.57,29888,50.0,0.6430,3.07,2.3405,100.00,15.00,22,41.16,14.97,8.63
14256,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1254,14.58,29760,50.0,0.6382,3.07,2.3413,100.00,15.00,22,41.16,14.93,8.63
14359,0.00,0.00,0.00,0.00,712,14.48,7,31,0.71,1254,14.54,29696,50.0,0.6430,3.07,2.3407,100.00,15.00,22,41.08,14.77,8.63
14463,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1250,14.55,30144,50.0,0.6430,3.07,2.3382,100.00,15.00,22,41.00,14.77,8.63
14567,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1254,14.56,29824,50.0,0.6382,3.07,2.3380,100.00,15.00,22,41.08,14.73,8.63
14672,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1249,14.81,31424,50.0,0.6408,3.07,2.3295,100.00,15.00,22,41.08,14.62,8.63
14775,0.00,0.00,0.00,0.00,712,14.48,7,31,0.71,1243,14.55,29952,50.0,0.6455,3.07,2.3290,100.00,15.00,22,41.08,14.60,8.63
14880,0.00,0.00,0.00,0.00,712,14.40,7,31,0.71,1242,14.55,29952,50.0,0.6430,3.07,2.3308,100.00,15.00,22,41.32,14.71,9.02
14983,0.00,0.00,0.00,0.00,712,14.16,7,31,0.71,1242,14.55,29824,50.0,0.6620,3.07,2.3418,100.00,15.00,21,41.63,14.94,9.02
15087,0.00,0.00,0.00,0.00,712,14.48,7,31,0.71,1244,14.58,29824,50.0,0.6645,3.07,2.3750,100.00,15.00,21,41.87,14.97,9.02
15191,0.00,0.00,0.00,0.00,712,14.40,7,31,0.72,1256,14.55,30016,50.0,0.6360,3.07,2.3860,100.00,15.00,21,41.95,15.13,9.02
15295,0.00,0.00,0.00,0.00,712,14.32,7,31,0.72,1258,15.06,33728,50.0,0.6312,3.07,2.3927,100.00,15.00,21,41.95,15.15,9.02
15398,0.00,0.00,0.00,0.00,712,14.16,7,31,0.72,1262,14.58,29888,50.0,0.6430,3.07,2.3992,100.00,15.00,21,42.03,15.47,9.02
15503,0.00,0.00,0.00,0.00,712,14.40,7,31,0.72,1267,15.11,33344,50.0,0.6455,3.07,2.4030,100.00,15.00,21,41.87,15.37,9.02
15606,0.00,0.00,0.00,0.00,712,14.48,7,31,0.72,1270,14.55,30016,50.0,0.6360,3.07,2.4055,100.00,15.00,21,42.03,15.35,9.02
15711,0.00,0.00,0.00,0.00,712,14.32,7,31,0.73,1278,14.55,29888,50.0,0.6408,3.07,2.4120,100.00,15.00,21,42.19,15.56,9.02
15814,0.00,0.00,0.00,0.00,712,14.48,7,31,0.73,1285,14.34,28224,50.0,0.6645,3.07,2.4345,100.00,15.00,21,42.43,15.83,9.02
15919,0.00,0.00,0.00,0.00,712,14.48,7,31,0.73,1288,14.32,29696,50.0,0.6360,3.07,2.4457,100.00,15.00,21,42.43,15.92,9.02
16022,0.00,0.00,0.00,0.00,712,14.32,7,31,0.73,1299,14.55,30016,50.0,0.6620,3.07,2.4567,100.00,15.00,21,42.19,15.98,9.02
16127,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1307,14.56,30016,50.0,0.6620,3.07,2.4590,100.00,15.00,21,42.11,15.96,9.02
16230,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1314,14.58,29824,50.0,0.6382,3.07,2.4580,100.00,15.00,21,41.95,15.96,9.02
16334,0.00,0.00,0.00,0.00,712,14.40,7,31,0.74,1311,14.56,29824,50.0,0.6430,3.07,2.4503,100.00,15.00,21,41.71,16.13,9.02
16438,0.00,0.00,0.00,0.00,712,14.48,7,31,0.73,1318,14.54,29952,50.0,0.6335,3.07,2.4315,100.00,15.00,21,41.55,15.93,9.02
16543,0.00,0.00,0.00,0.00,712,14.32,7,31,0.73,1320,14.55,30016,50.0,0.6382,3.07,2.4200,100.00,15.00,21,41.32,15.87,9.02
