Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (psi absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
1039,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.49,0.0000
1142,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
1248,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.49,0.0000
1351,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.49,0.0000
1454,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.88,0.0000
1558,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.88,0.0000
1662,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.49,0.0000
1767,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.49,0.0000
1871,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.49,0.0000
1974,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.88,0.0000
2079,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.49,0.0000
2182,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.88,0.0000
2286,11.84,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.88,0.0000
2390,7.52,7,1,41,1.39,0,12.89,7552,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.88,0.0000
2494,9.28,7,1,41,1.39,0,0.00,256,13.80,0.00,0.0000,0.00,0.0000,0.00,0.00,25,2.97,5.88,0.0000
2598,9.68,7,1,41,1.39,0,0.00,128,13.76,1.02,1.3760,1.02,0.0000,0.00,15.00,25,0.00,5.88,0.0000
2701,9.92,7,1,41,1.39,0,0.00,128,13.76,1.02,1.3760,1.28,0.0000,0.00,15.00,25,0.00,5.88,0.0000
2806,10.08,7,1,41,1.39,234,0.00,64,13.66,1.02,1.2570,1.28,0.0000,100.00,15.00,25,2.01,5.88,0.0000
2910,10.48,7,1,41,1.39,310,0.00,128,13.07,1.25,1.2370,1.28,0.0000,100.00,15.00,25,5.48,5.88,0.0000
3014,10.72,7,1,41,1.39,623,0.00,128,12.10,1.45,1.1735,7.17,5.9808,100.00,15.00,25,10.32,5.88,0.0000
3118,11.12,7,1,41,1.28,656,0.00,128,11.08,1.45,1.0108,6.91,5.9810,100.00,15.00,25,11.03,5.49,0.0000
3222,12.56,7,1,41,1.22,737,0.00,36288,10.42,1.43,0.8337,6.40,5.6710,100.00,15.00,25,12.90,6.27,0.0000
3326,12.96,7,1,41,1.17,711,0.00,3968,9.83,1.41,0.7735,6.14,5.3605,100.00,15.00,25,12.46,6.27,0.0000
3429,12.96,7,1,41,1.13,748,0.00,3968,9.22,1.39,0.7712,5.89,5.0890,100.00,15.00,25,11.93,6.27,0.0000
3534,13.12,7,1,41,1.09,795,0.00,3840,8.94,1.37,0.7458,5.63,4.8507,100.00,15.00,25,12.71,6.67,0.0000
3637,13.44,7,1,41,1.06,845,0.00,3968,8.65,1.36,0.7228,5.38,4.6580,100.00,15.00,25,12.97,6.67,0.0000
3742,13.68,7,1,41,1.03,886,0.00,3904,8.32,1.34,0.7298,5.12,4.4970,100.00,15.00,25,13.29,6.67,0.0000
3845,13.84,7,1,41,1.00,904,0.00,3968,7.95,1.33,0.6810,5.12,4.3300,100.00,15.00,25,13.46,6.67,0.0000
3949,14.08,7,1,41,0.97,929,0.00,3968,7.72,1.30,0.6787,4.86,4.1075,100.00,15.00,25,13.60,6.67,0.0000
4053,14.24,7,1,41,0.95,949,0.00,3968,7.36,1.29,0.6620,4.61,3.9810,100.00,15.00,25,13.34,6.67,0.0000
4157,14.24,7,1,41,0.93,943,0.00,3968,7.15,1.25,0.6335,4.35,3.7757,100.00,15.00,25,13.10,6.67,0.0000
4261,14.32,7,1,41,0.90,944,0.00,3904,6.94,1.24,0.6620,4.10,3.6393,100.00,15.00,25,12.74,6.67,0.0000
4366,14.24,7,1,41,0.88,935,0.00,3968,6.79,1.19,0.6360,4.10,3.4695,100.00,15.00,25,12.49,6.67,0.0000
4469,14.24,7,1,41,0.85,921,0.00,3776,6.67,1.19,0.6715,4.10,3.3188,100.00,15.00,25,12.11,6.67,0.0000
4573,14.24,7,1,41,0.84,916,0.00,3840,6.61,1.18,0.6360,3.84,3.2067,100.00,15.00,25,11.89,6.67,0.0000
4677,14.16,7,1,41,0.82,898,0.00,3840,6.57,1.18,0.6430,3.84,3.1478,100.00,15.00,25,11.70,6.67,0.0000
4781,14.32,7,1,41,0.81,877,0.00,3712,6.57,1.17,0.6598,3.84,3.0845,100.00,15.00,25,11.27,6.67,0.0000
4885,14.32,7,1,41,0.80,867,0.00,3776,6.57,1.17,0.6598,3.58,3.0425,100.00,15.00,25,11.15,6.67,0.0000
4990,14.24,7,1,41,0.79,860,0.00,3776,6.60,1.15,0.6430,3.58,3.0215,100.00,15.00,25,11.20,6.67,0.0000
5094,14.24,7,1,41,0.79,851,0.00,3904,6.61,1.15,0.6382,3.58,2.9800,100.00,15.00,25,11.31,8.24,0.0000
5197,14.24,7,1,41,0.80,861,0.00,3776,6.91,1.14,0.6715,3.58,3.0055,100.00,15.00,25,11.87,7.45,0.0000
5301,14.40,7,1,41,0.80,879,0.00,3648,7.13,1.14,0.6787,3.58,3.0097,100.00,15.00,25,12.29,7.45,0.0000
5405,14.24,7,1,41,0.81,920,0.00,3776,7.21,1.14,0.6360,3.58,3.0473,100.00,15.00,25,12.82,7.45,0.0000
5510,14.32,7,1,41,0.82,958,0.00,3584,7.21,1.13,0.6573,3.84,3.0515,100.00,15.00,25,13.44,7.84,0.0000
5613,14.24,7,1,41,0.83,990,0.00,2176,7.18,1.13,0.6312,3.58,3.0573,100.00,15.00,25,13.84,7.84,0.0000
5717,14.32,7,1,41,0.83,1032,0.00,5312,7.05,1.12,0.6525,3.58,3.0577,100.00,15.00,25,14.24,7.84,0.0000
5821,14.32,7,1,41,0.83,1074,0.00,3776,6.94,1.12,0.6645,3.58,3.0520,100.00,15.00,25,14.38,7.84,0.0000
5925,14.24,7,1,41,0.83,1099,0.00,3776,6.79,1.12,0.6502,3.58,3.0190,100.00,15.00,25,14.46,7.45,0.0000
6028,14.32,7,1,41,0.82,1122,0.00,3776,6.59,1.11,0.6455,3.58,2.9655,100.00,15.00,25,14.18,7.45,0.0000
6133,14.32,7,1,41,0.80,1130,0.00,3776,6.33,1.11,0.6408,3.58,2.8695,100.00,15.00,25,13.66,7.45,0.0000
6236,14.32,7,1,41,0.77,1128,0.00,3776,6.12,1.10,0.6430,3.33,2.7673,100.00,15.00,25,13.32,7.45,0.0000
6341,14.32,7,1,41,0.75,1125,0.00,3712,6.02,1.10,0.6430,3.33,2.6898,100.00,15.00,25,13.05,7.45,0.0000
6445,14.32,7,1,41,0.74,1114,0.00,3712,5.95,1.09,0.6408,3.33,2.6082,100.00,15.00,25,12.67,7.45,0.0000
6549,14.32,7,1,41,0.72,1106,0.00,3584,5.90,1.09,0.6502,3.07,2.5705,100.00,15.00,25,12.59,7.84,0.0000
6652,14.40,7,1,41,0.71,1098,0.00,3712,5.91,1.09,0.6715,3.07,2.5055,100.00,15.00,25,12.61,7.84,0.0000
6756,14.32,7,1,41,0.70,1151,0.00,3648,5.95,1.08,0.6525,3.07,2.4770,100.00,15.00,25,12.61,7.84,0.0000
6860,14.16,7,1,41,0.70,1087,0.00,3584,5.98,1.08,0.6693,3.07,2.4688,100.00,15.00,25,12.68,7.84,0.0000
6965,14.32,7,1,41,0.70,1092,0.00,3648,6.05,1.08,0.6455,3.07,2.4607,100.00,15.00,25,12.83,8.24,0.0000
7069,14.32,7,1,41,0.70,1097,0.00,3648,6.11,1.08,0.6525,3.07,2.4678,100.00,15.00,25,13.05,7.84,0.0000
7173,14.40,7,1,41,0.70,1108,0.00,3584,6.11,1.07,0.6455,3.07,2.4708,100.00,15.00,25,13.16,7.84,0.0000
7277,14.32,7,1,41,0.70,1123,0.00,3520,6.15,1.07,0.6408,3.07,2.4647,100.00,15.00,25,13.28,7.84,0.0000
7382,14.32,7,1,41,0.71,1141,0.00,3520,6.13,1.07,0.6335,3.07,2.4773,100.00,15.00,25,13.49,7.84,0.0000
7485,14.32,7,1,41,0.71,1156,0.00,3520,6.07,1.07,0.6455,3.07,2.4668,100.00,15.00,25,13.56,7.84,0.0000
7589,14.32,7,1,41,0.71,1172,0.00,3520,6.03,1.07,0.6455,3.07,2.4573,100.00,15.00,25,13.64,7.84,0.0000
7692,14.32,7,1,41,0.70,1190,0.00,1920,5.96,1.06,0.6382,3.07,2.4358,100.00,15.00,25,13.59,7.84,0.0000
7797,14.40,7,1,41,0.70,1197,0.00,1984,5.95,1.06,0.6430,3.07,2.4170,100.00,15.00,25,13.55,7.84,0.0000
7900,14.32,7,1,41,0.69,1200,0.00,3712,5.87,1.06,0.6408,3.07,2.3902,100.00,15.00,25,13.50,7.84,0.0000
8005,14.32,7,1,41,0.69,1204,0.00,3520,5.82,1.05,0.6455,3.07,2.3275,100.00,15.00,25,13.40,7.84,-0.0020
8108,14.32,7,1,41,0.68,1203,0.00,3584,5.77,1.05,0.6525,3.07,2.3502,100.00,15.00,25,13.25,7.84,-0.0022
8213,14.16,7,1,41,0.67,1201,0.00,3648,5.72,1.05,0.6502,3.07,2.2750,100.00,15.00,25,13.30,7.84,-0.0023
8316,14.40,7,1,41,0.67,1198,0.00,3584,5.72,1.05,0.6525,3.07,2.2870,100.00,15.00,25,13.12,7.84,-0.0021
8421,14.40,7,1,41,0.66,1195,0.00,3584,5.68,1.05,0.6525,2.82,2.2723,100.00,15.00,25,12.96,7.84,-0.0020
8524,14.32,7,1,41,0.66,1192,0.00,3584,5.67,1.05,0.6455,2.82,2.2520,100.00,15.00,25,12.80,7.84,-0.0018
8628,14.32,7,1,41,0.66,1186,0.00,3456,5.66,1.05,0.6360,2.82,2.2403,100.00,15.00,25,12.73,7.84,-0.0016
8732,14.40,7,1,41,0.66,1182,0.00,3584,5.62,1.05,0.6502,2.82,2.2250,100.00,15.00,25,12.69,7.84,-0.0015
8837,14.40,7,1,41,0.65,1180,15.54,36480,5.67,1.05,0.6478,2.82,2.2170,100.00,15.00,25,12.66,7.84,0.0000
8940,14.32,7,1,41,0.65,1178,15.68,38144,5.64,1.05,0.6360,2.82,2.2098,100.00,15.00,25,12.64,7.84,0.0000
9044,14.24,7,1,41,0.65,1179,14.98,33216,5.62,1.04,0.6478,2.82,2.2033,100.00,15.00,25,12.65,7.45,0.0000
9149,14.24,7,1,41,0.65,1177,16.23,39936,5.62,1.04,0.6573,2.82,2.1960,100.00,15.00,25,12.54,7.45,0.0000
9253,14.16,7,1,41,0.64,1172,15.54,36416,5.59,1.04,0.6478,2.82,2.1888,100.00,15.00,25,12.48,7.45,0.0000
9356,14.32,7,1,41,0.64,1173,15.57,36288,5.58,1.04,0.6573,2.82,2.1808,100.00,15.00,25,12.39,7.45,0.0000
9461,14.32,7,1,41,0.64,1172,15.65,36416,5.58,1.04,0.6455,2.82,2.1910,100.00,15.00,25,12.38,7.45,0.0000
9565,14.40,7,1,41,0.64,1171,15.53,36416,5.59,1.04,0.6478,2.82,2.1680,100.00,15.00,25,12.37,7.45,0.0000
9670,14.40,7,1,41,0.64,1168,15.57,39744,5.60,1.04,0.6550,2.82,2.1625,100.00,15.00,25,12.35,7.45,0.0000
9773,14.40,7,1,41,0.64,1167,16.07,39744,5.55,1.04,0.6668,2.82,2.1575,100.00,15.00,25,12.21,7.45,0.0000
9878,14.32,7,1,41,0.63,1162,15.83,38272,5.55,1.04,0.6715,2.82,2.1492,100.00,15.00,25,12.14,7.45,0.0000
9981,14.32,7,1,41,0.63,1092,15.85,39744,5.53,1.04,0.6455,2.82,2.1433,100.00,15.00,25,12.10,7.45,0.0000
10086,14.40,7,1,41,0.63,1090,16.07,39936,5.53,1.04,0.6455,2.82,2.1387,100.00,15.00,25,12.07,7.45,0.0000
10189,14.40,7,1,41,0.63,1088,16.07,39872,5.54,1.03,0.6715,2.82,2.1353,100.00,15.00,25,12.06,7.45,0.0000
10293,14.40,7,1,41,0.63,1089,16.11,39872,5.55,1.03,0.6645,2.82,2.1325,100.00,15.00,25,12.06,7.45,0.0000
10396,14.40,7,1,41,0.63,1151,16.07,39936,5.55,1.03,0.6598,2.82,2.1315,100.00,15.00,25,12.16,7.45,0.0000
10501,14.40,7,1,41,0.63,1149,16.08,39808,5.55,1.03,0.6525,2.82,2.1347,100.00,15.00,25,12.14,7.45,0.0000
10605,14.40,7,1,41,0.63,1151,16.56,42880,5.55,1.03,0.6478,2.82,2.1358,100.00,15.00,25,12.16,7.45,0.0000
10709,14.40,7,1,41,0.63,1147,16.07,39936,5.58,1.03,0.6478,2.82,2.1393,100.00,15.00,25,12.12,7.45,0.0000
10813,14.40,7,1,41,0.64,1148,16.07,39936,5.59,1.03,0.6693,2.82,2.1410,100.00,15.00,25,12.13,7.45,0.0000
10916,14.40,7,1,41,0.64,1148,16.09,39808,5.59,1.03,0.6645,2.82,2.1412,100.00,15.00,25,12.24,7.45,0.0000
11021,14.32,7,1,41,0.64,1150,16.06,40064,5.58,1.03,0.6525,2.82,2.1427,100.00,15.00,25,12.25,7.45,0.0000
11125,14.24,7,1,41,0.64,1089,16.03,41344,5.60,1.03,0.6502,2.82,2.1452,100.00,15.00,25,12.18,7.45,0.0000
11228,14.16,7,1,41,0.64,1091,16.46,40064,5.59,1.03,0.6478,2.82,2.1442,100.00,15.00,25,12.32,7.45,0.0000
11334,14.16,7,1,41,0.64,1158,16.07,40064,5.59,1.03,0.6478,2.82,2.1597,100.00,15.00,25,12.11,7.45,0.0000
11437,14.08,7,1,41,0.64,1159,16.08,39872,5.58,1.03,0.6478,2.82,2.1412,100.00,15.00,25,12.38,7.45,0.0000
11542,14.16,7,1,41,0.64,1162,16.10,39872,5.54,1.03,0.6525,2.82,2.1423,100.00,15.00,25,12.29,7.45,0.0000
11646,14.24,7,1,41,0.64,1160,16.07,40064,5.55,1.03,0.6550,2.82,2.1360,100.00,15.00,25,12.25,7.45,0.0000
11749,14.32,7,1,41,0.64,1162,16.09,39936,5.55,1.03,0.6550,2.82,2.1335,100.00,15.00,25,12.26,7.45,0.0000
11853,14.32,7,1,41,0.64,1160,16.10,39872,5.55,1.03,0.6573,2.82,2.1307,100.00,15.00,25,12.25,7.45,0.0000
11957,14.32,7,1,41,0.64,1164,16.11,41472,5.55,1.03,0.6645,2.82,2.1280,100.00,15.00,25,12.18,7.45,0.0000
12062,14.32,7,1,41,0.63,1165,16.33,38336,5.54,1.03,0.6693,2.82,2.1252,100.00,15.00,25,12.20,7.45,0.0000
12166,14.40,7,1,41,0.63,1162,16.11,39808,5.53,1.03,0.6455,2.82,2.1208,100.00,15.00,25,12.17,7.45,0.0000
12271,14.32,7,1,41,0.63,1166,16.07,40000,5.53,1.02,0.6478,2.82,2.1172,100.00,15.00,25,12.20,7.45,0.0000
12375,14.32,7,1,41,0.63,1168,16.10,39936,5.52,1.02,0.6550,2.82,2.1150,100.00,15.00,25,12.22,7.45,0.0000
12479,14.32,7,1,41,0.63,1167,16.10,39872,5.51,1.02,0.6645,2.82,2.1130,100.00,15.00,25,12.09,7.45,0.0000
12584,14.32,7,1,41,0.63,1168,16.08,40000,5.51,1.02,0.6693,2.82,2.1098,100.00,15.00,25,12.11,7.45,0.0000
12686,14.32,7,1,41,0.63,1168,16.10,39808,5.51,1.02,0.6478,2.82,2.1070,100.00,15.00,25,12.23,7.45,0.0000
12791,14.32,7,1,41,0.63,1167,16.09,39936,5.51,1.02,0.6502,2.82,2.1015,100.00,15.00,25,12.21,7.45,0.0000
12894,14.32,7,1,41,0.63,1165,16.07,40000,5.51,1.02,0.6550,2.82,2.0972,100.00,15.00,25,12.07,7.45,0.0000
12999,14.32,7,1,41,0.63,1163,16.09,39808,5.51,1.02,0.6430,2.82,2.0943,100.00,15.00,25,12.05,7.45,0.0000
13102,14.32,7,1,40,0.63,1162,16.09,39936,5.50,1.02,0.6455,2.82,2.0920,100.00,15.00,25,12.16,7.45,0.0000
13207,14.24,7,1,40,0.63,1160,16.09,41216,5.50,1.02,0.6430,2.82,2.0900,100.00,15.00,25,12.01,7.45,0.0000
13312,14.24,7,1,40,0.63,1160,16.33,41472,5.49,1.02,0.6360,2.82,2.0885,100.00,15.00,25,12.02,7.45,0.0000
13416,14.24,7,1,40,0.63,1158,16.09,39872,5.49,1.02,0.6382,2.82,2.0863,100.00,15.00,25,11.99,7.45,0.0000
13521,14.32,7,1,40,0.63,1156,16.08,40000,5.46,1.02,0.6360,2.82,2.0820,100.00,15.00,25,11.98,7.45,0.0000
13625,14.32,7,1,40,0.62,1215,16.10,36352,5.46,1.02,0.6382,2.82,2.0802,100.00,15.00,25,11.93,7.45,0.0000
13729,14.32,7,1,40,0.62,1213,15.56,39936,5.49,1.02,0.6408,2.82,2.0790,100.00,15.00,25,12.03,7.45,0.0000
13834,14.32,7,1,40,0.62,1152,16.11,36480,5.47,1.02,0.6382,2.82,2.0777,100.00,15.00,25,12.00,7.45,0.0000
13937,14.32,7,1,40,0.62,1148,15.58,39744,5.47,1.02,0.6478,2.82,2.0777,100.00,15.00,25,12.03,7.45,0.0000
14041,14.32,7,1,40,0.62,1150,15.83,36288,5.49,1.02,0.6478,2.82,2.0785,100.00,15.00,25,11.92,7.45,0.0000
14145,14.32,7,1,40,0.62,1150,15.70,38400,5.51,1.02,0.6430,2.82,2.0793,100.00,15.00,25,11.91,7.45,0.0000
14249,14.32,7,1,40,0.63,1148,15.45,36352,5.51,1.02,0.6360,2.82,2.0783,100.00,15.00,25,11.89,7.45,0.0000
14353,14.24,7,1,40,0.62,1148,16.09,40000,5.51,1.02,0.6430,2.82,2.0785,100.00,15.00,25,12.00,7.45,0.0000
14457,14.32,7,1,40,0.63,1146,16.08,40000,5.53,1.02,0.6645,2.82,2.0830,100.00,15.00,25,11.99,7.45,0.0000
14561,14.32,7,1,40,0.63,1148,15.59,36416,5.53,1.02,0.6573,2.82,2.0857,100.00,15.00,25,12.02,7.45,0.0000
14666,14.32,7,1,40,0.63,1154,15.56,36544,5.59,1.02,0.6525,2.82,2.0943,100.00,15.00,25,12.32,7.45,0.0000
14769,14.32,7,1,40,0.63,1159,15.55,36480,5.61,1.02,0.6525,2.82,2.1145,100.00,15.00,25,12.49,7.84,0.0039
14873,14.32,7,1,40,0.64,1163,15.58,36352,5.62,1.02,0.6550,2.82,2.1267,100.00,15.00,25,12.40,7.84,0.0050
14978,14.24,7,1,40,0.64,1170,15.66,36544,5.65,1.02,0.6430,2.82,2.1378,100.00,15.00,25,12.59,7.84,0.0058
15082,14.32,7,1,40,0.64,1174,15.56,36480,5.67,1.02,0.6408,2.82,2.1490,100.00,15.00,25,12.64,7.84,0.0066
15187,14.32,7,1,40,0.65,1175,15.58,39616,5.68,1.02,0.6478,2.82,2.1587,100.00,15.00,25,12.94,7.84,0.0072
15290,14.40,7,1,40,0.64,1184,16.09,38336,5.65,1.02,0.6382,2.82,2.1690,100.00,15.00,25,13.01,7.84,0.0078
15394,14.32,7,1,40,0.65,1193,15.55,36352,5.65,1.02,0.6382,2.82,2.1735,100.00,15.00,25,13.11,7.84,0.0078
15499,14.32,7,1,40,0.65,1207,15.59,36416,5.70,1.02,0.6360,2.82,2.1790,100.00,15.00,25,13.26,7.84,0.0078
15602,14.32,7,1,40,0.65,1215,15.56,40064,5.72,1.02,0.6478,2.82,2.1848,100.00,15.00,25,13.28,7.84,0.0077
15707,14.40,7,1,40,0.66,1226,16.09,36480,5.72,1.02,0.6502,2.82,2.1845,100.00,15.00,25,13.31,7.84,0.0072
15810,14.32,7,1,40,0.65,1235,15.63,39872,5.64,1.02,0.6455,2.82,2.1797,100.00,15.00,25,13.31,7.84,0.0061
15914,14.32,7,1,40,0.65,1243,16.10,36672,5.59,1.02,0.6478,2.82,2.1710,100.00,15.00,25,13.27,7.84,0.0049
16018,14.32,7,1,40,0.65,1247,15.46,36480,5.55,1.01,0.6408,2.82,2.1480,100.00,15.00,25,13.19,7.84,0.0000
16122,14.16,7,1,40,0.65,1245,15.59,36480,5.53,1.01,0.6598,2.82,2.1355,100.00,15.00,25,13.25,8.24,0.0000
16226,14.40,7,1,40,0.64,1243,15.46,35008,5.49,1.01,0.6573,2.82,2.1285,100.00,15.00,25,13.36,8.24,0.0000
16329,14.32,7,1,40,0.64,1244,15.32,36224,5.53,1.01,0.6502,2.82,2.1270,100.00,15.00,25,13.23,8.24,0.0000
16434,14.32,7,1,40,0.64,1248,15.58,36480,5.55,1.01,0.6502,2.82,2.1250,100.00,15.00,25,13.41,8.24,0.0000
16537,14.24,7,1,40,0.64,1252,15.56,36608,5.55,1.01,0.6502,2.82,2.1278,100.00,15.00,25,13.35,8.24,0.0000
16642,14.40,7,1,40,0.64,1254,15.58,36416,5.55,1.01,0.6502,2.82,2.1280,100.00,15.00,25,13.37,7.84,0.0000
16745,14.32,7,1,40,0.64,1248,15.58,36416,5.55,1.01,0.6478,2.82,2.1250,100.00,15.00,25,13.47,8.24,0.0000
16849,14.32,7,1,40,0.64,1250,15.66,36608,5.55,1.01,0.6478,2.82,2.1273,100.00,15.00,25,13.50,8.24,0.0000
16954,14.24,7,1,40,0.64,1253,15.59,36480,5.55,1.01,0.6550,2.82,2.1285,100.00,15.00,24,13.41,8.24,0.0000
17057,14.32,7,1,40,0.64,1255,15.58,36480,5.55,1.01,0.6598,2.82,2.1300,100.00,15.00,24,13.46,8.24,0.0000
17162,14.32,7,1,40,0.64,1258,15.56,36672,5.55,1.01,0.6430,2.82,2.1292,100.00,15.00,24,13.49,8.24,0.0000
17265,14.32,7,1,40,0.64,1258,15.59,36416,5.55,1.01,0.6430,2.82,2.1300,100.00,15.00,24,13.51,8.24,0.0000
17370,14.16,7,1,40,0.64,1258,15.57,36544,5.55,1.01,0.6478,2.82,2.1315,100.00,15.00,24,13.58,8.24,0.0000
17474,14.40,7,1,40,0.64,1254,15.81,33408,5.55,1.01,0.6502,2.82,2.1338,100.00,15.00,24,13.53,8.24,0.0000
17578,14.40,7,1,40,0.64,1256,15.11,33408,5.55,1.01,0.6478,2.82,2.1343,100.00,15.00,24,13.51,8.24,0.0000
17683,14.32,7,1,40,0.65,1258,15.12,33472,5.55,1.01,0.6525,2.82,2.1370,100.00,15.00,24,13.41,8.24,0.0000
17786,14.40,7,1,40,0.65,1264,15.20,33536,5.55,1.01,0.6668,2.82,2.1362,100.00,15.00,24,13.53,8.24,0.0000
17891,14.24,7,1,40,0.64,1256,15.29,36416,5.55,1.01,0.6502,2.82,2.1338,100.00,15.00,24,13.53,8.24,0.0000
17995,14.40,7,1,40,0.65,1256,15.22,33472,5.55,1.01,0.6502,2.82,2.1320,100.00,15.00,24,13.45,8.24,0.0000
18100,14.24,7,1,40,0.64,1259,15.10,33536,5.55,1.01,0.6525,2.82,2.1430,100.00,15.00,24,13.37,8.24,0.0000
18204,14.32,7,1,40,0.64,1263,15.13,33344,5.55,1.01,0.6430,2.82,2.1260,100.00,15.00,24,13.56,8.24,0.0000
18307,14.32,7,1,40,0.64,1266,15.18,32384,5.55,1.01,0.6382,2.82,2.1303,100.00,15.00,24,13.60,8.24,0.0000
18412,14.24,7,1,40,0.64,1262,14.86,31936,5.55,1.01,0.6478,2.82,2.1305,100.00,15.00,24,13.59,8.24,0.0000
18516,14.40,7,1,40,0.64,1263,15.12,33344,5.54,1.01,0.6502,2.82,2.1305,100.00,15.00,24,13.63,7.84,0.0000
18620,14.32,7,1,40,0.64,1266,15.11,33600,5.54,1.01,0.6430,2.82,2.1325,100.00,15.00,24,13.38,7.84,0.0000
18724,14.32,7,1,40,0.64,1260,15.01,33472,5.50,1.01,0.6478,2.82,2.1225,100.00,15.00,24,13.33,7.84,0.0000
18828,14.32,7,1,40,0.64,1262,15.13,33408,5.46,1.01,0.6478,2.82,2.1263,100.00,15.00,24,13.11,7.84,0.0000
18933,14.32,7,1,40,0.63,1255,15.10,33536,5.45,1.01,0.6525,2.82,2.0985,100.00,15.00,24,13.01,7.84,0.0000
19036,14.40,7,1,40,0.63,1241,15.10,33536,5.42,1.01,0.6502,2.82,2.0878,100.00,15.00,24,13.01,7.84,0.0000
